; Candidate 3322
; ADRP+ADD at VM 0xfffffff00872f098 (fileoff 0x172b098): page=0x1fea02000 add_imm=0xd90

0xfffffff00872f018: 18008052  mov	w24, #0
0xfffffff00872f01c: 3c912a91  add	x28, x9, #0xaa4
0xfffffff00872f020: e93e41b9  ldr	w9, [x23, #0x13c]
0xfffffff00872f024: 14598152  mov	w20, #0xac8
0xfffffff00872f028: ea0309aa  mov	x10, x9
0xfffffff00872f02c: f40b00f9  str	x20, [sp, #0x10]
0xfffffff00872f030: aa0a00b4  cbz	x10, #0xfffffff00872f184
0xfffffff00872f034: 160080d2  mov	x22, #0
0xfffffff00872f038: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00872f03c: 19585cf9  ldr	x25, [x0, #0x38b0]
0xfffffff00872f040: 2a03148b  add	x10, x25, x20
0xfffffff00872f044: 4b694039  ldrb	w11, [x10, #0x1a]
0xfffffff00872f048: 4b090035  cbnz	w11, #0xfffffff00872f170
0xfffffff00872f04c: 980b0079  strh	w24, [x28, #4]
0xfffffff00872f050: 9f0f0079  strh	wzr, [x28, #6]
0xfffffff00872f054: 9b170079  strh	w27, [x28, #0xa]
0xfffffff00872f058: 481540b9  ldr	w8, [x10, #0x14]
0xfffffff00872f05c: e90f40f9  ldr	x9, [sp, #0x18]
0xfffffff00872f060: 2101088b  add	x1, x9, x8
0xfffffff00872f064: e2a30091  add	x2, sp, #0x28
0xfffffff00872f068: e3830091  add	x3, sp, #0x20
0xfffffff00872f06c: 6f10ff97  bl	#0xfffffff0086f3228
0xfffffff00872f070: 80090034  cbz	w0, #0xfffffff00872f1a0
0xfffffff00872f074: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00872f078: 150940f9  ldr	x21, [x8, #0x10]
0xfffffff00872f07c: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff00872f080: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00872f084: c90100b4  cbz	x9, #0xfffffff00872f0bc
0xfffffff00872f088: 09818052  mov	w9, #0x408
0xfffffff00872f08c: 0851ff90  adrp	x8, #0xfffffff00714f000
0xfffffff00872f090: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00872f094: e82700a9  stp	x8, x9, [sp]
0xfffffff00872f098: 0050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00872f09c: 00403691  add	x0, x0, #0xd90
0xfffffff00872f0a0: 6196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872f0a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872f0a8: 02008052  mov	w2, #0
0xfffffff00872f0ac: 4350fff0  adrp	x3, #0xfffffff00713a000
0xfffffff00872f0b0: 63243791  add	x3, x3, #0xdc9
0xfffffff00872f0b4: 1f10f097  bl	#0xfffffff008333130
0xfffffff00872f0b8: e82340b9  ldr	w8, [sp, #0x20]
0xfffffff00872f0bc: a84228ab  adds	x8, x21, w8, uxtw
0xfffffff00872f0c0: 02070054  b.hs	#0xfffffff00872f1a0
0xfffffff00872f0c4: 881700b9  str	w8, [x28, #0x14]
0xfffffff00872f0c8: 2803148b  add	x8, x25, x20
0xfffffff00872f0cc: 091140b9  ldr	w9, [x8, #0x10]
0xfffffff00872f0d0: 891b00b9  str	w9, [x28, #0x18]
0xfffffff00872f0d4: 090140b9  ldr	w9, [x8]
0xfffffff00872f0d8: 2a1d0011  add	w10, w9, #7
0xfffffff00872f0dc: 3f010071  cmp	w9, #0
0xfffffff00872f0e0: 4ab1891a  csel	w10, w10, w9, lt
0xfffffff00872f0e4: 4a491353  lsl	w10, w10, #0xd
0xfffffff00872f0e8: 4a3d1012  and	w10, w10, #0xffff0000
0xfffffff00872f0ec: 0b0940b9  ldr	w11, [x8, #8]
0xfffffff00872f0f0: 6c1d0011  add	w12, w11, #7
0xfffffff00872f0f4: 7f010071  cmp	w11, #0
0xfffffff00872f0f8: 8cb18b1a  csel	w12, w12, w11, lt
0xfffffff00872f0fc: 4a0d8c2a  orr	w10, w10, w12, asr #3
0xfffffff00872f100: 8a1f00b9  str	w10, [x28, #0x1c]
0xfffffff00872f104: 0a0540b9  ldr	w10, [x8, #4]
0xfffffff00872f108: 4c050051  sub	w12, w10, #1
0xfffffff00872f10c: 4a190011  add	w10, w10, #6
0xfffffff00872f110: 9f010071  cmp	w12, #0
0xfffffff00872f114: 4ab18c1a  csel	w10, w10, w12, lt
