; Candidate 16769
; ADRP+ADD at VM 0xfffffff009f51fac (fileoff 0x2f4dfac): page=0x1fd912000 add_imm=0xdb7

0xfffffff009f51f2c: 046a7997  bl	#0xfffffff007dac73c
0xfffffff009f51f30: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009f51f34: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff009f51f38: c8010035  cbnz	w8, #0xfffffff009f51f70
0xfffffff009f51f3c: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009f51f40: 0b8942f9  ldr	x11, [x8, #0x510]
0xfffffff009f51f44: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff009f51f48: ea0317aa  mov	x10, x23
0xfffffff009f51f4c: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f51f50: 88c8fed0  adrp	x8, #0xfffffff007863000
0xfffffff009f51f54: 08b11691  add	x8, x8, #0x5ac
0xfffffff009f51f58: 49588052  mov	w9, #0x2c2
0xfffffff009f51f5c: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff009f51f60: e80300f9  str	x8, [sp]
0xfffffff009f51f64: 80c8fed0  adrp	x0, #0xfffffff007863000
0xfffffff009f51f68: 00141991  add	x0, x0, #0x645
0xfffffff009f51f6c: 56b6fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f51f70: e00314aa  mov	x0, x20
0xfffffff009f51f74: d6667997  bl	#0xfffffff007dabacc
0xfffffff009f51f78: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff009f51f7c: e8010035  cbnz	w8, #0xfffffff009f51fb8
0xfffffff009f51f80: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009f51f84: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f51f88: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff009f51f8c: 0a4340f9  ldr	x10, [x24, #0x80]
0xfffffff009f51f90: eb0317aa  mov	x11, x23
0xfffffff009f51f94: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f51f98: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f51f9c: 88c8fed0  adrp	x8, #0xfffffff007863000
0xfffffff009f51fa0: 08fd2a91  add	x8, x8, #0xabf
0xfffffff009f51fa4: 498f8052  mov	w9, #0x47a
0xfffffff009f51fa8: e82700a9  stp	x8, x9, [sp]
0xfffffff009f51fac: 80c8fed0  adrp	x0, #0xfffffff007863000
0xfffffff009f51fb0: 00dc3691  add	x0, x0, #0xdb7
0xfffffff009f51fb4: 44b6fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f51fb8: 888f8052  mov	w8, #0x47c
0xfffffff009f51fbc: 881e00b9  str	w8, [x20, #0x1c]
0xfffffff009f51fc0: 88424079  ldrh	w8, [x20, #0x20]
0xfffffff009f51fc4: 08050011  add	w8, w8, #1
0xfffffff009f51fc8: 88420079  strh	w8, [x20, #0x20]
0xfffffff009f51fcc: e00314aa  mov	x0, x20
0xfffffff009f51fd0: 93128a97  bl	#0xfffffff0081d6a1c
0xfffffff009f51fd4: 773600b9  str	w23, [x19, #0x34]
0xfffffff009f51fd8: e00317aa  mov	x0, x23
0xfffffff009f51fdc: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff009f51fe0: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff009f51fe4: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff009f51fe8: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff009f51fec: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff009f51ff0: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff009f51ff4: ff430491  add	sp, sp, #0x110
0xfffffff009f51ff8: ff0f5fd6  retab	
0xfffffff009f51ffc: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff009f52000: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009f52004: 022540b9  ldr	w2, [x8, #0x24]
0xfffffff009f52008: 01008052  mov	w1, #0
0xfffffff009f5200c: edea7797  bl	#0xfffffff007d4cbc0
0xfffffff009f52010: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff009f52014: 89018052  mov	w9, #0xc
0xfffffff009f52018: 0900a872  movk	w9, #0x4000, lsl #16
0xfffffff009f5201c: 091900b9  str	w9, [x8, #0x18]
0xfffffff009f52020: e94340f9  ldr	x9, [sp, #0x80]
0xfffffff009f52024: 090500f9  str	x9, [x8, #8]
0xfffffff009f52028: 690a40f9  ldr	x9, [x19, #0x10]
