; Candidate 3174
; ADRP+ADD at VM 0xfffffff008719544 (fileoff 0x1715544): page=0x1fea18000 add_imm=0xd90

0xfffffff0087194c4: 1f050031  cmn	w8, #1
0xfffffff0087194c8: 00030054  b.eq	#0xfffffff008719528
0xfffffff0087194cc: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0087194d0: c00200b4  cbz	x0, #0xfffffff008719528
0xfffffff0087194d4: ec74fe97  bl	#0xfffffff0086b6884
0xfffffff0087194d8: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0087194dc: 2575fe97  bl	#0xfffffff0086b6970
0xfffffff0087194e0: f40300aa  mov	x20, x0
0xfffffff0087194e4: 12000014  b	#0xfffffff00871952c
0xfffffff0087194e8: a851fff0  adrp	x8, #0xfffffff007150000
0xfffffff0087194ec: 08c12c91  add	x8, x8, #0xb30
0xfffffff0087194f0: e80300f9  str	x8, [sp]
0xfffffff0087194f4: c050ff90  adrp	x0, #0xfffffff007131000
0xfffffff0087194f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087194fc: 2197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008719500: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008719504: e350fff0  adrp	x3, #0xfffffff007138000
0xfffffff008719508: 63602791  add	x3, x3, #0x9d8
0xfffffff00871950c: 02008052  mov	w2, #0
0xfffffff008719510: 0867f097  bl	#0xfffffff008333130
0xfffffff008719514: 14008052  mov	w20, #0
0xfffffff008719518: 08008012  mov	w8, #-1
0xfffffff00871951c: 684a00b9  str	w8, [x19, #0x48]
0xfffffff008719520: 7f5200b9  str	wzr, [x19, #0x50]
0xfffffff008719524: 11000014  b	#0xfffffff008719568
0xfffffff008719528: 14008052  mov	w20, #0
0xfffffff00871952c: 9f02156b  cmp	w20, w21
0xfffffff008719530: a2010054  b.hs	#0xfffffff008719564
0xfffffff008719534: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff008719538: a851fff0  adrp	x8, #0xfffffff007150000
0xfffffff00871953c: 08c12c91  add	x8, x8, #0xb30
0xfffffff008719540: e80300f9  str	x8, [sp]
0xfffffff008719544: c050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008719548: 00403691  add	x0, x0, #0xd90
0xfffffff00871954c: 2197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008719550: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008719554: e350fff0  adrp	x3, #0xfffffff007138000
0xfffffff008719558: 63b42c91  add	x3, x3, #0xb2d
0xfffffff00871955c: 02008052  mov	w2, #0
0xfffffff008719560: f466f097  bl	#0xfffffff008333130
0xfffffff008719564: 745200b9  str	w20, [x19, #0x50]
0xfffffff008719568: e00314aa  mov	x0, x20
0xfffffff00871956c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008719570: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008719574: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008719578: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00871957c: ff830191  add	sp, sp, #0x60
0xfffffff008719580: ff0f5fd6  retab	
0xfffffff008719584: a0008052  mov	w0, #5
0xfffffff008719588: e10315aa  mov	x1, x21
0xfffffff00871958c: ef75fe97  bl	#0xfffffff0086b6d48
0xfffffff008719590: 400500b4  cbz	x0, #0xfffffff008719638
0xfffffff008719594: f60300aa  mov	x22, x0
0xfffffff008719598: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00871959c: 74020191  add	x20, x19, #0x40
0xfffffff0087195a0: 100040f9  ldr	x16, [x0]
0xfffffff0087195a4: f10300aa  mov	x17, x0
0xfffffff0087195a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087195ac: 301ac1da  autda	x16, x17
0xfffffff0087195b0: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0087195b4: e90310aa  mov	x9, x16
0xfffffff0087195b8: 81008052  mov	w1, #4
0xfffffff0087195bc: e20316aa  mov	x2, x22
0xfffffff0087195c0: e30314aa  mov	x3, x20
