; Candidate 9336
; ADRP+ADD at VM 0xfffffff008a26e88 (fileoff 0x1a22e88): page=0x1fe876000 add_imm=0xe2f

0xfffffff008a26e08: 78538052  mov	w24, #0x29b
0xfffffff008a26e0c: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a26e10: bb43ffd0  adrp	x27, #0xfffffff00729c000
0xfffffff008a26e14: 7b733a91  add	x27, x27, #0xe9c
0xfffffff008a26e18: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a26e1c: 8043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a26e20: 00003991  add	x0, x0, #0xe40
0xfffffff008a26e24: 2181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a26e28: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a26e2c: c343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a26e30: 63281b91  add	x3, x3, #0x6ca
0xfffffff008a26e34: 02028052  mov	w2, #0x10
0xfffffff008a26e38: be30e497  bl	#0xfffffff008333130
0xfffffff008a26e3c: 900240f9  ldr	x16, [x20]
0xfffffff008a26e40: f10314aa  mov	x17, x20
0xfffffff008a26e44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a26e48: 301ac1da  autda	x16, x17
0xfffffff008a26e4c: f10310aa  mov	x17, x16
0xfffffff008a26e50: f147c1da  xpacd	x17
0xfffffff008a26e54: 1f0211eb  cmp	x16, x17
0xfffffff008a26e58: 40000054  b.eq	#0xfffffff008a26e60
0xfffffff008a26e5c: 408e38d4  brk	#0xc472
0xfffffff008a26e60: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a26e64: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a26e68: e00314aa  mov	x0, x20
0xfffffff008a26e6c: 010080d2  mov	x1, #0
0xfffffff008a26e70: f10308aa  mov	x17, x8
0xfffffff008a26e74: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a26e78: 31093fd7  blraa	x9, x17
0xfffffff008a26e7c: f35b02a9  stp	x19, x22, [sp, #0x20]
0xfffffff008a26e80: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008a26e84: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a26e88: a043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a26e8c: 00bc3891  add	x0, x0, #0xe2f
0xfffffff008a26e90: 64c0e497  bl	#0xfffffff008357020
0xfffffff008a26e94: 480340b9  ldr	w8, [x26]
0xfffffff008a26e98: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a26e9c: 20010054  b.eq	#0xfffffff008a26ec0
0xfffffff008a26ea0: e80316aa  mov	x8, x22
0xfffffff008a26ea4: 047d4093  sxtw	x4, w8
0xfffffff008a26ea8: 20070011  add	w0, w25, #1
0xfffffff008a26eac: e10314aa  mov	x1, x20
0xfffffff008a26eb0: e20315aa  mov	x2, x21
0xfffffff008a26eb4: e30313aa  mov	x3, x19
0xfffffff008a26eb8: 050080d2  mov	x5, #0
0xfffffff008a26ebc: 125cdd97  bl	#0xfffffff00817df04
0xfffffff008a26ec0: e00316aa  mov	x0, x22
0xfffffff008a26ec4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008a26ec8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008a26ecc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008a26ed0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008a26ed4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008a26ed8: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008a26edc: ff430291  add	sp, sp, #0x90
0xfffffff008a26ee0: ff0f5fd6  retab	
0xfffffff008a26ee4: 900240f9  ldr	x16, [x20]
0xfffffff008a26ee8: f10314aa  mov	x17, x20
0xfffffff008a26eec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a26ef0: 301ac1da  autda	x16, x17
0xfffffff008a26ef4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a26ef8: 1002118b  add	x16, x16, x17
0xfffffff008a26efc: 080240f9  ldr	x8, [x16]
0xfffffff008a26f00: e90310aa  mov	x9, x16
0xfffffff008a26f04: e00314aa  mov	x0, x20
