; Candidate 8535
; ADRP+ADD at VM 0xfffffff0088b0468 (fileoff 0x18ac468): page=0x1fe939000 add_imm=0xe80

0xfffffff0088b03e8: 2a050011  add	w10, w9, #1
0xfffffff0088b03ec: aa5201b9  str	w10, [x21, #0x150]
0xfffffff0088b03f0: 4a008052  mov	w10, #2
0xfffffff0088b03f4: aa5601b9  str	w10, [x21, #0x154]
0xfffffff0088b03f8: 8a0a0091  add	x10, x20, #2
0xfffffff0088b03fc: aaae00f9  str	x10, [x21, #0x158]
0xfffffff0088b0400: 2a090011  add	w10, w9, #2
0xfffffff0088b0404: aa6201b9  str	w10, [x21, #0x160]
0xfffffff0088b0408: 2a008052  mov	w10, #1
0xfffffff0088b040c: aa6601b9  str	w10, [x21, #0x164]
0xfffffff0088b0410: 8a120091  add	x10, x20, #4
0xfffffff0088b0414: aab600f9  str	x10, [x21, #0x168]
0xfffffff0088b0418: 29110011  add	w9, w9, #4
0xfffffff0088b041c: a97201b9  str	w9, [x21, #0x170]
0xfffffff0088b0420: bf7601b9  str	wzr, [x21, #0x174]
0xfffffff0088b0424: 2e000014  b	#0xfffffff0088b04dc
0xfffffff0088b0428: 610f0094  bl	#0xfffffff0088b41ac
0xfffffff0088b042c: f70300aa  mov	x23, x0
0xfffffff0088b0430: 80008052  mov	w0, #4
0xfffffff0088b0434: 072dff97  bl	#0xfffffff00887b850
0xfffffff0088b0438: e80316aa  mov	x8, x22
0xfffffff0088b043c: e85704a9  stp	x8, x21, [sp, #0x40]
0xfffffff0088b0440: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff0088b0444: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b0448: 08dd1191  add	x8, x8, #0x477
0xfffffff0088b044c: e9fd8052  mov	w9, #0x7ef
0xfffffff0088b0450: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b0454: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b0458: 08751191  add	x8, x8, #0x45d
0xfffffff0088b045c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b0460: c80f8052  mov	w8, #0x7e
0xfffffff0088b0464: f72300a9  stp	x23, x8, [sp]
0xfffffff0088b0468: c049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b046c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b0470: c18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088b0474: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b0478: a34dff90  adrp	x3, #0xfffffff007264000
0xfffffff0088b047c: 63101491  add	x3, x3, #0x504
0xfffffff0088b0480: 02008052  mov	w2, #0
0xfffffff0088b0484: 2b0bea97  bl	#0xfffffff008333130
0xfffffff0088b0488: 177d8012  mov	w23, #-0x3e9
0xfffffff0088b048c: 72000014  b	#0xfffffff0088b0654
0xfffffff0088b0490: 695641b9  ldr	w9, [x19, #0x154]
0xfffffff0088b0494: a94201b9  str	w9, [x21, #0x140]
0xfffffff0088b0498: 3f050071  cmp	w9, #1
0xfffffff0088b049c: 0b020054  b.lt	#0xfffffff0088b04dc
0xfffffff0088b04a0: ac0e40f9  ldr	x12, [x21, #0x18]
0xfffffff0088b04a4: ab1640b9  ldr	w11, [x21, #0x14]
0xfffffff0088b04a8: ca060011  add	w10, w22, #1
0xfffffff0088b04ac: 6b050011  add	w11, w11, #1
0xfffffff0088b04b0: 8c050091  add	x12, x12, #1
0xfffffff0088b04b4: ad520591  add	x13, x21, #0x154
0xfffffff0088b04b8: ac411ff8  stur	x12, [x13, #-0xc]
0xfffffff0088b04bc: 5f01096b  cmp	w10, w9
0xfffffff0088b04c0: ee079f1a  cset	w14, ne
0xfffffff0088b04c4: abb93f29  stp	w11, w14, [x13, #-4]
0xfffffff0088b04c8: 6b050011  add	w11, w11, #1
0xfffffff0088b04cc: 8c050091  add	x12, x12, #1
0xfffffff0088b04d0: ad410091  add	x13, x13, #0x10
0xfffffff0088b04d4: 290500f1  subs	x9, x9, #1
0xfffffff0088b04d8: 01ffff54  b.ne	#0xfffffff0088b04b8
0xfffffff0088b04dc: df0e0071  cmp	w22, #3
0xfffffff0088b04e0: 00040054  b.eq	#0xfffffff0088b0560
0xfffffff0088b04e4: df0a0071  cmp	w22, #2
