; Candidate 6371
; ADRP+ADD at VM 0xfffffff008827ad0 (fileoff 0x1823ad0): page=0x1fe9c2000 add_imm=0xe80

0xfffffff008827a50: 17020034  cbz	w23, #0xfffffff008827a90
0xfffffff008827a54: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827a58: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008827a5c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008827a60: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827a64: 09a52f91  add	x9, x8, #0xbe9
0xfffffff008827a68: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827a6c: 08653291  add	x8, x8, #0xc99
0xfffffff008827a70: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008827a74: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008827a78: e80a8052  mov	w8, #0x57
0xfffffff008827a7c: 404ffff0  adrp	x0, #0xfffffff007212000
0xfffffff008827a80: 00701b91  add	x0, x0, #0x6dc
0xfffffff008827a84: f62300a9  stp	x22, x8, [sp]
0xfffffff008827a88: 763ed697  bl	#0xfffffff007db7460
0xfffffff008827a8c: 19000014  b	#0xfffffff008827af0
0xfffffff008827a90: c7310294  bl	#0xfffffff0088b41ac
0xfffffff008827a94: f60300aa  mov	x22, x0
0xfffffff008827a98: 00018052  mov	w0, #8
0xfffffff008827a9c: 6d4f0194  bl	#0xfffffff00887b850
0xfffffff008827aa0: e80315aa  mov	x8, x21
0xfffffff008827aa4: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008827aa8: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008827aac: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008827ab0: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827ab4: 0aa52f91  add	x10, x8, #0xbe9
0xfffffff008827ab8: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827abc: 08653291  add	x8, x8, #0xc99
0xfffffff008827ac0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008827ac4: e80a8052  mov	w8, #0x57
0xfffffff008827ac8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008827acc: f60300f9  str	x22, [sp]
0xfffffff008827ad0: 004effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008827ad4: 00003a91  add	x0, x0, #0xe80
0xfffffff008827ad8: 018fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008827adc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008827ae0: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff008827ae4: 631c3891  add	x3, x3, #0xe07
0xfffffff008827ae8: 02008052  mov	w2, #0
0xfffffff008827aec: 912dec97  bl	#0xfffffff008333130
0xfffffff008827af0: e00315aa  mov	x0, x21
0xfffffff008827af4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008827af8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008827afc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008827b00: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008827b04: ff830291  add	sp, sp, #0xa0
0xfffffff008827b08: ff0f5fd6  retab	
0xfffffff008827b0c: 7f2303d5  pacibsp	
0xfffffff008827b10: ff4302d1  sub	sp, sp, #0x90
0xfffffff008827b14: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008827b18: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008827b1c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008827b20: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008827b24: fd030291  add	x29, sp, #0x80
0xfffffff008827b28: f40301aa  mov	x20, x1
0xfffffff008827b2c: f30300aa  mov	x19, x0
0xfffffff008827b30: e00a8052  mov	w0, #0x57
0xfffffff008827b34: 01018052  mov	w1, #8
0xfffffff008827b38: 264f0194  bl	#0xfffffff00887b7d0
0xfffffff008827b3c: c0020034  cbz	w0, #0xfffffff008827b94
0xfffffff008827b40: e00a8052  mov	w0, #0x57
0xfffffff008827b44: 354f0194  bl	#0xfffffff00887b818
0xfffffff008827b48: f60300aa  mov	x22, x0
0xfffffff008827b4c: 98310294  bl	#0xfffffff0088b41ac
