; Candidate 3916
; ADRP+ADD at VM 0xfffffff0087733b4 (fileoff 0x176f3b4): page=0x1fe9be000 add_imm=0xd90

0xfffffff008773334: fdc30091  add	x29, sp, #0x30
0xfffffff008773338: 080080d2  mov	x8, #0
0xfffffff00877333c: 15008052  mov	w21, #0
0xfffffff008773340: 091041b9  ldr	w9, [x0, #0x110]
0xfffffff008773344: 0a0c8052  mov	w10, #0x60
0xfffffff008773348: 29010a9b  madd	x9, x9, x10, x0
0xfffffff00877334c: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff008773350: 0b118052  mov	w11, #0x88
0xfffffff008773354: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff008773358: 539d40f9  ldr	x19, [x10, #0x138]
0xfffffff00877335c: 29ad4b79  ldrh	w9, [x9, #0x5d6]
0xfffffff008773360: 14008012  mov	w20, #-1
0xfffffff008773364: 2a008052  mov	w10, #1
0xfffffff008773368: eb030aaa  mov	x11, x10
0xfffffff00877336c: 6a06088b  add	x10, x19, x8, lsl #1
0xfffffff008773370: 4a394079  ldrh	w10, [x10, #0x1c]
0xfffffff008773374: 9f060031  cmn	w20, #1
0xfffffff008773378: 0801941a  csel	w8, w8, w20, eq
0xfffffff00877337c: 5f010071  cmp	w10, #0
0xfffffff008773380: b506951a  cinc	w21, w21, ne
0xfffffff008773384: 9402881a  csel	w20, w20, w8, eq
0xfffffff008773388: 28008052  mov	w8, #1
0xfffffff00877338c: 0a008052  mov	w10, #0
0xfffffff008773390: cbfe0737  tbnz	w11, #0, #0xfffffff008773368
0xfffffff008773394: 36150012  and	w22, w9, #0x3f
0xfffffff008773398: bf020071  cmp	w21, #0
0xfffffff00877339c: 841a413a  ccmn	w20, #1, #4, ne
0xfffffff0087733a0: a1010054  b.ne	#0xfffffff0087733d4
0xfffffff0087733a4: 08128052  mov	w8, #0x90
0xfffffff0087733a8: 094fffd0  adrp	x9, #0xfffffff007155000
0xfffffff0087733ac: 29f12991  add	x9, x9, #0xa7c
0xfffffff0087733b0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087733b4: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087733b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087733bc: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087733c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087733c4: 834effb0  adrp	x3, #0xfffffff007144000
0xfffffff0087733c8: 63d40091  add	x3, x3, #0x35
0xfffffff0087733cc: 02008052  mov	w2, #0
0xfffffff0087733d0: 58ffee97  bl	#0xfffffff008333130
0xfffffff0087733d4: 891f8652  mov	w9, #0x30fc
0xfffffff0087733d8: 4900a072  movk	w9, #2, lsl #16
0xfffffff0087733dc: 88028352  mov	w8, #0x1814
0xfffffff0087733e0: ca7e081b  mul	w10, w22, w8
0xfffffff0087733e4: 4801090b  add	w8, w10, w9
0xfffffff0087733e8: 0b3d1e12  and	w11, w8, #0x3fffc
0xfffffff0087733ec: 2c008052  mov	w12, #1
0xfffffff0087733f0: 0c62a072  movk	w12, #0x310, lsl #16
0xfffffff0087733f4: 6b010c2a  orr	w11, w11, w12
0xfffffff0087733f8: 6b0200b9  str	w11, [x19]
0xfffffff0087733fc: ab299252  mov	w11, #0x914d
0xfffffff008773400: cb7ba072  movk	w11, #0x3de, lsl #16
0xfffffff008773404: 6b1a03b9  str	w11, [x19, #0x318]
0xfffffff008773408: 6bfe06b9  str	w11, [x19, #0x6fc]
0xfffffff00877340c: 08610c11  add	w8, w8, #0x318
0xfffffff008773410: 083d1e12  and	w8, w8, #0x3fffc
0xfffffff008773414: 2b008052  mov	w11, #1
0xfffffff008773418: 0b2da072  movk	w11, #0x168, lsl #16
0xfffffff00877341c: 08010b2a  orr	w8, w8, w11
0xfffffff008773420: 68de0bb9  str	w8, [x19, #0xbdc]
0xfffffff008773424: 6b364079  ldrh	w11, [x19, #0x1a]
0xfffffff008773428: 7f0900f1  cmp	x11, #2
0xfffffff00877342c: 03010054  b.lo	#0xfffffff00877344c
0xfffffff008773430: 6c323591  add	x12, x19, #0xd4c
