; Candidate 13263
; ADRP+ADD at VM 0xfffffff0092505bc (fileoff 0x224c5bc): page=0x1fe26b000 add_imm=0xd33

0xfffffff00925053c: 0040621e  fcvt	s0, d0
0xfffffff009250540: 6102631e  ucvtf	d1, w19
0xfffffff009250544: 6813ffd0  adrp	x8, #0xfffffff0074be000
0xfffffff009250548: 021542fd  ldr	d2, [x8, #0x428]
0xfffffff00925054c: 2108621e  fmul	d1, d1, d2
0xfffffff009250550: 21086b1e  fmul	d1, d1, d11
0xfffffff009250554: 6109611e  fmul	d1, d11, d1
0xfffffff009250558: 6813ffd0  adrp	x8, #0xfffffff0074be000
0xfffffff00925055c: 021d42fd  ldr	d2, [x8, #0x438]
0xfffffff009250560: 0209621e  fmul	d2, d8, d2
0xfffffff009250564: 4108611e  fmul	d1, d2, d1
0xfffffff009250568: 2108691e  fmul	d1, d1, d9
0xfffffff00925056c: 2140621e  fcvt	s1, d1
0xfffffff009250570: 2028201e  fadd	s0, s1, s0
0xfffffff009250574: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009250578: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00925057c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009250580: e923416d  ldp	d9, d8, [sp, #0x10]
0xfffffff009250584: eb2bc56c  ldp	d11, d10, [sp], #0x50
0xfffffff009250588: ff0f5fd6  retab	
0xfffffff00925058c: 7f2303d5  pacibsp	
0xfffffff009250590: eb2bbb6d  stp	d11, d10, [sp, #-0x50]!
0xfffffff009250594: e923016d  stp	d9, d8, [sp, #0x10]
0xfffffff009250598: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00925059c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0092505a0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0092505a4: fd030191  add	x29, sp, #0x40
0xfffffff0092505a8: f40300aa  mov	x20, x0
0xfffffff0092505ac: c0008052  mov	w0, #6
0xfffffff0092505b0: e082c297  bl	#0xfffffff0082f1130
0xfffffff0092505b4: f30300aa  mov	x19, x0
0xfffffff0092505b8: e01f00b4  cbz	x0, #0xfffffff0092509b4
0xfffffff0092505bc: 4013fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff0092505c0: 00cc3491  add	x0, x0, #0xd33
0xfffffff0092505c4: 875ac397  bl	#0xfffffff008326fe0
0xfffffff0092505c8: f50300aa  mov	x21, x0
0xfffffff0092505cc: 700240f9  ldr	x16, [x19]
0xfffffff0092505d0: f10313aa  mov	x17, x19
0xfffffff0092505d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092505d8: 301ac1da  autda	x16, x17
0xfffffff0092505dc: 112080d2  mov	x17, #0x100
0xfffffff0092505e0: 1002118b  add	x16, x16, x17
0xfffffff0092505e4: 080240f9  ldr	x8, [x16]
0xfffffff0092505e8: e90310aa  mov	x9, x16
0xfffffff0092505ec: 4113fff0  adrp	x1, #0xfffffff0074bb000
0xfffffff0092505f0: 21e03391  add	x1, x1, #0xcf8
0xfffffff0092505f4: e00313aa  mov	x0, x19
0xfffffff0092505f8: e20315aa  mov	x2, x21
0xfffffff0092505fc: f10309aa  mov	x17, x9
0xfffffff009250600: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff009250604: 11093fd7  blraa	x8, x17
0xfffffff009250608: 750100b4  cbz	x21, #0xfffffff009250634
0xfffffff00925060c: b00240f9  ldr	x16, [x21]
0xfffffff009250610: f10315aa  mov	x17, x21
0xfffffff009250614: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009250618: 301ac1da  autda	x16, x17
0xfffffff00925061c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009250620: e90310aa  mov	x9, x16
0xfffffff009250624: e00315aa  mov	x0, x21
0xfffffff009250628: f10309aa  mov	x17, x9
0xfffffff00925062c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009250630: 11093fd7  blraa	x8, x17
0xfffffff009250634: 800240fd  ldr	d0, [x20]
0xfffffff009250638: 0820601e  fcmp	d0, #0.0
