; Candidate 15976
; ADRP+ADD at VM 0xfffffff009df39bc (fileoff 0x2def9bc): page=0x1fd8af000 add_imm=0xe45

0xfffffff009df393c: 48020054  b.hi	#0xfffffff009df3984
0xfffffff009df3940: 1f1600f1  cmp	x16, #5
0xfffffff009df3944: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff009df3948: 11000090  adrp	x17, #0xfffffff009df3000
0xfffffff009df394c: 31022a91  add	x17, x17, #0xa80
0xfffffff009df3950: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff009df3954: 11000010  adr	x17, #0xfffffff009df3954
0xfffffff009df3958: 3002108b  add	x16, x17, x16
0xfffffff009df395c: 00021fd6  br	x16
0xfffffff009df3960: 9f2403d5  bti	j
0xfffffff009df3964: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009df3968: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009df396c: ff030191  add	sp, sp, #0x40
0xfffffff009df3970: ff2303d5  autibsp	
0xfffffff009df3974: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df3978: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df3980
0xfffffff009df397c: 208e38d4  brk	#0xc471
0xfffffff009df3980: b5030014  b	#0xfffffff009df4854
0xfffffff009df3984: 004040f9  ldr	x0, [x0, #0x80]
0xfffffff009df3988: 100040f9  ldr	x16, [x0]
0xfffffff009df398c: f10300aa  mov	x17, x0
0xfffffff009df3990: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df3994: 301ac1da  autda	x16, x17
0xfffffff009df3998: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009df399c: e90310aa  mov	x9, x16
0xfffffff009df39a0: f10309aa  mov	x17, x9
0xfffffff009df39a4: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009df39a8: 11093fd7  blraa	x8, x17
0xfffffff009df39ac: 28c5fef0  adrp	x8, #0xfffffff00769a000
0xfffffff009df39b0: 08c92e91  add	x8, x8, #0xbb2
0xfffffff009df39b4: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff009df39b8: e00300f9  str	x0, [sp]
0xfffffff009df39bc: 60c5fef0  adrp	x0, #0xfffffff0076a2000
0xfffffff009df39c0: 00143991  add	x0, x0, #0xe45
0xfffffff009df39c4: 978d9597  bl	#0xfffffff008357020
0xfffffff009df39c8: 20000014  b	#0xfffffff009df3a48
0xfffffff009df39cc: 9f2403d5  bti	j
0xfffffff009df39d0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009df39d4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009df39d8: ff030191  add	sp, sp, #0x40
0xfffffff009df39dc: ff2303d5  autibsp	
0xfffffff009df39e0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df39e4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df39ec
0xfffffff009df39e8: 208e38d4  brk	#0xc471
0xfffffff009df39ec: 79040014  b	#0xfffffff009df4bd0
0xfffffff009df39f0: 9f2403d5  bti	j
0xfffffff009df39f4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009df39f8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009df39fc: ff030191  add	sp, sp, #0x40
0xfffffff009df3a00: ff2303d5  autibsp	
0xfffffff009df3a04: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df3a08: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df3a10
0xfffffff009df3a0c: 208e38d4  brk	#0xc471
0xfffffff009df3a10: a7040014  b	#0xfffffff009df4cac
0xfffffff009df3a14: 9f2403d5  bti	j
0xfffffff009df3a18: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009df3a1c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009df3a20: ff030191  add	sp, sp, #0x40
0xfffffff009df3a24: ff2303d5  autibsp	
0xfffffff009df3a28: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df3a2c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df3a34
0xfffffff009df3a30: 208e38d4  brk	#0xc471
0xfffffff009df3a34: 8c020014  b	#0xfffffff009df4464
0xfffffff009df3a38: 9f2403d5  bti	j
