; Candidate 712
; ADRP+ADD at VM 0xfffffff0080426dc (fileoff 0x103e6dc): page=0x1ff02a000 add_imm=0xdbc

0xfffffff00804265c: e8821691  add	x8, x23, #0x5a0
0xfffffff008042660: ffd202f9  str	xzr, [x23, #0x5a0]
0xfffffff008042664: e8d602f9  str	x8, [x23, #0x5a8]
0xfffffff008042668: e9c21691  add	x9, x23, #0x5b0
0xfffffff00804266c: ffda02f9  str	xzr, [x23, #0x5b0]
0xfffffff008042670: e9de02f9  str	x9, [x23, #0x5b8]
0xfffffff008042674: e8e202f9  str	x8, [x23, #0x5c0]
0xfffffff008042678: e9f202f9  str	x9, [x23, #0x5e0]
0xfffffff00804267c: e8021891  add	x8, x23, #0x600
0xfffffff008042680: ff0203f9  str	xzr, [x23, #0x600]
0xfffffff008042684: e80603f9  str	x8, [x23, #0x608]
0xfffffff008042688: e9421891  add	x9, x23, #0x610
0xfffffff00804268c: ff0a03f9  str	xzr, [x23, #0x610]
0xfffffff008042690: e90e03f9  str	x9, [x23, #0x618]
0xfffffff008042694: e81203f9  str	x8, [x23, #0x620]
0xfffffff008042698: e92203f9  str	x9, [x23, #0x640]
0xfffffff00804269c: e8821991  add	x8, x23, #0x660
0xfffffff0080426a0: ff3203f9  str	xzr, [x23, #0x660]
0xfffffff0080426a4: e83603f9  str	x8, [x23, #0x668]
0xfffffff0080426a8: e9c21991  add	x9, x23, #0x670
0xfffffff0080426ac: ff3a03f9  str	xzr, [x23, #0x670]
0xfffffff0080426b0: e93e03f9  str	x9, [x23, #0x678]
0xfffffff0080426b4: e84203f9  str	x8, [x23, #0x680]
0xfffffff0080426b8: e95203f9  str	x9, [x23, #0x6a0]
0xfffffff0080426bc: f76203f9  str	x23, [x23, #0x6c0]
0xfffffff0080426c0: e8da46b9  ldr	w8, [x23, #0x6d8]
0xfffffff0080426c4: 08050011  add	w8, w8, #1
0xfffffff0080426c8: e8da06b9  str	w8, [x23, #0x6d8]
0xfffffff0080426cc: 7b0000b4  cbz	x27, #0xfffffff0080426d8
0xfffffff0080426d0: 74070091  add	x20, x27, #1
0xfffffff0080426d4: 02000014  b	#0xfffffff0080426dc
0xfffffff0080426d8: 9f020039  strb	wzr, [x20]
0xfffffff0080426dc: 4081ffd0  adrp	x0, #0xfffffff00706c000
0xfffffff0080426e0: 00f03691  add	x0, x0, #0xdbc
0xfffffff0080426e4: e1031caa  mov	x1, x28
0xfffffff0080426e8: c2018052  mov	w2, #0xe
0xfffffff0080426ec: e96bf497  bl	#0xfffffff007d5d690
0xfffffff0080426f0: fa0317aa  mov	x26, x23
0xfffffff0080426f4: 80e5ff35  cbnz	w0, #0xfffffff0080423a4
0xfffffff0080426f8: 080e01d0  adrp	x8, #0xfffffff00a204000
0xfffffff0080426fc: 29008052  mov	w9, #1
0xfffffff008042700: 094107b9  str	w9, [x8, #0x740]
0xfffffff008042704: fa0317aa  mov	x26, x23
0xfffffff008042708: 27ffff17  b	#0xfffffff0080423a4
0xfffffff00804270c: a0c9ffb0  adrp	x0, #0xfffffff007977000
0xfffffff008042710: 00c01b91  add	x0, x0, #0x6f0
0xfffffff008042714: 07000014  b	#0xfffffff008042730
0xfffffff008042718: 000e01d0  adrp	x0, #0xfffffff00a204000
0xfffffff00804271c: 00e01c91  add	x0, x0, #0x738
0xfffffff008042720: e10317aa  mov	x1, x23
0xfffffff008042724: 7bfaff97  bl	#0xfffffff008041110
0xfffffff008042728: a0c9ffb0  adrp	x0, #0xfffffff007977000
0xfffffff00804272c: 00c01c91  add	x0, x0, #0x730
0xfffffff008042730: e10317aa  mov	x1, x23
0xfffffff008042734: 361df797  bl	#0xfffffff007e09c0c
0xfffffff008042738: 60c9ffb0  adrp	x0, #0xfffffff00796f000
0xfffffff00804273c: 00201a91  add	x0, x0, #0x688
0xfffffff008042740: e10313aa  mov	x1, x19
0xfffffff008042744: 02808052  mov	w2, #0x400
0xfffffff008042748: c990f597  bl	#0xfffffff007da6a6c
0xfffffff00804274c: 000080d2  mov	x0, #0
0xfffffff008042750: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008042754: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008042758: f65743a9  ldp	x22, x21, [sp, #0x30]
