; Candidate 14813
; ADRP+ADD at VM 0xfffffff0099643f4 (fileoff 0x29603f4): page=0x1fdc86000 add_imm=0xd67

0xfffffff009964374: 28cd16b9  str	w8, [x9, #0x16cc]
0xfffffff009964378: 08150071  subs	w8, w8, #5
0xfffffff00996437c: e8279f1a  cset	w8, lo
0xfffffff009964380: 08040037  tbnz	w8, #0, #0xfffffff009964400
0xfffffff009964384: 01000014  b	#0xfffffff009964388
0xfffffff009964388: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00996438c: 490f83d2  mov	x9, #0x187a
0xfffffff009964390: 0801098b  add	x8, x8, x9
0xfffffff009964394: 08014039  ldrb	w8, [x8]
0xfffffff009964398: 48030036  tbz	w8, #0, #0xfffffff009964400
0xfffffff00996439c: 01000014  b	#0xfffffff0099643a0
0xfffffff0099643a0: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff0099643a4: 100040f9  ldr	x16, [x0]
0xfffffff0099643a8: e80300aa  mov	x8, x0
0xfffffff0099643ac: f10308aa  mov	x17, x8
0xfffffff0099643b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099643b4: 301ac1da  autda	x16, x17
0xfffffff0099643b8: 113d80d2  mov	x17, #0x1e8
0xfffffff0099643bc: 1002118b  add	x16, x16, x17
0xfffffff0099643c0: 080240f9  ldr	x8, [x16]
0xfffffff0099643c4: e90310aa  mov	x9, x16
0xfffffff0099643c8: 010080d2  mov	x1, #0
0xfffffff0099643cc: f10309aa  mov	x17, x9
0xfffffff0099643d0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0099643d4: 11093fd7  blraa	x8, x17
0xfffffff0099643d8: e9030091  mov	x9, sp
0xfffffff0099643dc: 200100f9  str	x0, [x9]
0xfffffff0099643e0: 28e4feb0  adrp	x8, #0xfffffff0075e9000
0xfffffff0099643e4: 08f93a91  add	x8, x8, #0xebe
0xfffffff0099643e8: 280500f9  str	x8, [x9, #8]
0xfffffff0099643ec: a88181d2  mov	x8, #0xc0d
0xfffffff0099643f0: 280900f9  str	x8, [x9, #0x10]
0xfffffff0099643f4: 20e4fed0  adrp	x0, #0xfffffff0075ea000
0xfffffff0099643f8: 009c3591  add	x0, x0, #0xd67
0xfffffff0099643fc: 44c0ac97  bl	#0xfffffff00849450c
0xfffffff009964400: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff009964404: a1835ef8  ldur	x1, [x29, #-0x18]
0xfffffff009964408: 09aa82d2  mov	x9, #0x1550
0xfffffff00996440c: e80300aa  mov	x8, x0
0xfffffff009964410: 0201098b  add	x2, x8, x9
0xfffffff009964414: 100040f9  ldr	x16, [x0]
0xfffffff009964418: e80300aa  mov	x8, x0
0xfffffff00996441c: f10308aa  mov	x17, x8
0xfffffff009964420: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009964424: 301ac1da  autda	x16, x17
0xfffffff009964428: 114b81d2  mov	x17, #0xa58
0xfffffff00996442c: 1002118b  add	x16, x16, x17
0xfffffff009964430: 080240f9  ldr	x8, [x16]
0xfffffff009964434: e90310aa  mov	x9, x16
0xfffffff009964438: a3008052  mov	w3, #5
0xfffffff00996443c: f10309aa  mov	x17, x9
0xfffffff009964440: 71dbf1f2  movk	x17, #0x8edb, lsl #48
0xfffffff009964444: 11093fd7  blraa	x8, x17
0xfffffff009964448: a0835ef8  ldur	x0, [x29, #-0x18]
0xfffffff00996444c: 100040f9  ldr	x16, [x0]
0xfffffff009964450: e80300aa  mov	x8, x0
0xfffffff009964454: f10308aa  mov	x17, x8
0xfffffff009964458: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00996445c: 301ac1da  autda	x16, x17
0xfffffff009964460: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009964464: e90310aa  mov	x9, x16
0xfffffff009964468: f10309aa  mov	x17, x9
0xfffffff00996446c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009964470: 11093fd7  blraa	x8, x17
