; Candidate 6107
; ADRP+ADD at VM 0xfffffff0088152a4 (fileoff 0x18112a4): page=0x1fe9d4000 add_imm=0xe80

0xfffffff008815224: f50300aa  mov	x21, x0
0xfffffff008815228: e17b0294  bl	#0xfffffff0088b41ac
0xfffffff00881522c: f40300aa  mov	x20, x0
0xfffffff008815230: 00018052  mov	w0, #8
0xfffffff008815234: 87990194  bl	#0xfffffff00887b850
0xfffffff008815238: d5010034  cbz	w21, #0xfffffff008815270
0xfffffff00881523c: c88a4fb9  ldr	w8, [x22, #0xf88]
0xfffffff008815240: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008815244: a9be8052  mov	w9, #0x5f5
0xfffffff008815248: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff00881524c: 08c51e91  add	x8, x8, #0x7b1
0xfffffff008815250: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008815254: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008815258: 880e8052  mov	w8, #0x74
0xfffffff00881525c: 4050ffb0  adrp	x0, #0xfffffff00721e000
0xfffffff008815260: 000c1f91  add	x0, x0, #0x7c3
0xfffffff008815264: f42300a9  stp	x20, x8, [sp]
0xfffffff008815268: 7e88d697  bl	#0xfffffff007db7460
0xfffffff00881526c: 16000014  b	#0xfffffff0088152c4
0xfffffff008815270: cf7b0294  bl	#0xfffffff0088b41ac
0xfffffff008815274: f40300aa  mov	x20, x0
0xfffffff008815278: 00018052  mov	w0, #8
0xfffffff00881527c: 75990194  bl	#0xfffffff00887b850
0xfffffff008815280: c88a4fb9  ldr	w8, [x22, #0xf88]
0xfffffff008815284: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008815288: a9be8052  mov	w9, #0x5f5
0xfffffff00881528c: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815290: 08c51e91  add	x8, x8, #0x7b1
0xfffffff008815294: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008815298: 880e8052  mov	w8, #0x74
0xfffffff00881529c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088152a0: f40300f9  str	x20, [sp]
0xfffffff0088152a4: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088152a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088152ac: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088152b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088152b4: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff0088152b8: 63101591  add	x3, x3, #0x544
0xfffffff0088152bc: 02008052  mov	w2, #0
0xfffffff0088152c0: 9c77ec97  bl	#0xfffffff008333130
0xfffffff0088152c4: 00008052  mov	w0, #0
0xfffffff0088152c8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088152cc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088152d0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088152d4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088152d8: ff030291  add	sp, sp, #0x80
0xfffffff0088152dc: ff0f5fd6  retab	
0xfffffff0088152e0: 7f2303d5  pacibsp	
0xfffffff0088152e4: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0088152e8: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff0088152ec: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0088152f0: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0088152f4: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0088152f8: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0088152fc: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008815300: fd030391  add	x29, sp, #0xc0
0xfffffff008815304: f40301aa  mov	x20, x1
0xfffffff008815308: f30300aa  mov	x19, x0
0xfffffff00881530c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008815310: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008815314: 800e8052  mov	w0, #0x74
0xfffffff008815318: 01018052  mov	w1, #8
0xfffffff00881531c: 2d990194  bl	#0xfffffff00887b7d0
0xfffffff008815320: 40020034  cbz	w0, #0xfffffff008815368
