; Candidate 2286
; ADRP+ADD at VM 0xfffffff00860a5a0 (fileoff 0x16065a0): page=0x1ccd000 add_imm=0xe78

0xfffffff00860a520: e83f0039  strb	w8, [sp, #0xf]
0xfffffff00860a524: e2330091  add	x2, sp, #0xc
0xfffffff00860a528: e00317aa  mov	x0, x23
0xfffffff00860a52c: 01c68052  mov	w1, #0x630
0xfffffff00860a530: 83008052  mov	w3, #4
0xfffffff00860a534: 64020094  bl	#0xfffffff00860aec4
0xfffffff00860a538: 289effb0  adrp	x8, #0xfffffff0079cf000
0xfffffff00860a53c: 08a12491  add	x8, x8, #0x928
0xfffffff00860a540: 09411891  add	x9, x8, #0x610
0xfffffff00860a544: 080943f9  ldr	x8, [x8, #0x610]
0xfffffff00860a548: e00317aa  mov	x0, x23
0xfffffff00860a54c: e10316aa  mov	x1, x22
0xfffffff00860a550: e20315aa  mov	x2, x21
0xfffffff00860a554: e30314aa  mov	x3, x20
0xfffffff00860a558: e40313aa  mov	x4, x19
0xfffffff00860a55c: f10309aa  mov	x17, x9
0xfffffff00860a560: 71a8f3f2  movk	x17, #0x9d43, lsl #48
0xfffffff00860a564: 11093fd7  blraa	x8, x17
0xfffffff00860a568: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00860a56c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00860a570: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00860a574: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00860a578: ff430191  add	sp, sp, #0x50
0xfffffff00860a57c: ff0f5fd6  retab	
0xfffffff00860a580: 5f2403d5  bti	c
0xfffffff00860a584: 5c68f317  b	#0xfffffff0082e46f4
0xfffffff00860a588: 5f2403d5  bti	c
0xfffffff00860a58c: 00008052  mov	w0, #0
0xfffffff00860a590: c0035fd6  ret	
0xfffffff00860a594: 7f2303d5  pacibsp	
0xfffffff00860a598: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00860a59c: fd030091  mov	x29, sp
0xfffffff00860a5a0: 60e600b0  adrp	x0, #0xfffffff00a2d7000
0xfffffff00860a5a4: 00e03991  add	x0, x0, #0xe78
0xfffffff00860a5a8: a157ffb0  adrp	x1, #0xfffffff0070ff000
0xfffffff00860a5ac: 21743f91  add	x1, x1, #0xfdd
0xfffffff00860a5b0: 62e600b0  adrp	x2, #0xfffffff00a2d7000
0xfffffff00860a5b4: 42a03d91  add	x2, x2, #0xf68
0xfffffff00860a5b8: 03218052  mov	w3, #0x108
0xfffffff00860a5bc: 5f65f397  bl	#0xfffffff0082e3b38
0xfffffff00860a5c0: 109efff0  adrp	x16, #0xfffffff0079cd000
0xfffffff00860a5c4: 10020091  add	x16, x16, #0
0xfffffff00860a5c8: 10420091  add	x16, x16, #0x10
0xfffffff00860a5cc: f10300aa  mov	x17, x0
0xfffffff00860a5d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00860a5d4: 300ac1da  pacda	x16, x17
0xfffffff00860a5d8: 100000f9  str	x16, [x0]
0xfffffff00860a5dc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00860a5e0: ff0f5fd6  retab	
0xfffffff00860a5e4: 5f2403d5  bti	c
0xfffffff00860a5e8: 60e600b0  adrp	x0, #0xfffffff00a2d7000
0xfffffff00860a5ec: 00e03991  add	x0, x0, #0xe78
0xfffffff00860a5f0: 4168f317  b	#0xfffffff0082e46f4
0xfffffff00860a5f4: 7f2303d5  pacibsp	
0xfffffff00860a5f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00860a5fc: fd030091  mov	x29, sp
0xfffffff00860a600: a157ffd0  adrp	x1, #0xfffffff007100000
0xfffffff00860a604: 21100191  add	x1, x1, #0x44
0xfffffff00860a608: a29dffb0  adrp	x2, #0xfffffff0079bf000
0xfffffff00860a60c: 428842f9  ldr	x2, [x2, #0x510]
0xfffffff00860a610: 031f8052  mov	w3, #0xf8
0xfffffff00860a614: 4965f397  bl	#0xfffffff0082e3b38
0xfffffff00860a618: 109efff0  adrp	x16, #0xfffffff0079cd000
0xfffffff00860a61c: 10c21a91  add	x16, x16, #0x6b0
