; Candidate 13984
; ADRP+ADD at VM 0xfffffff009695d44 (fileoff 0x2691d44): page=0x1fdef7000 add_imm=0xdf3

0xfffffff009695cc4: e00315aa  mov	x0, x21
0xfffffff009695cc8: e55fb197  bl	#0xfffffff0082edc5c
0xfffffff009695ccc: f40300aa  mov	x20, x0
0xfffffff009695cd0: f8bf0039  strb	w24, [sp, #0x2f]
0xfffffff009695cd4: 68464239  ldrb	w8, [x19, #0x91]
0xfffffff009695cd8: 88000035  cbnz	w8, #0xfffffff009695ce8
0xfffffff009695cdc: 684a4239  ldrb	w8, [x19, #0x92]
0xfffffff009695ce0: 0801182a  orr	w8, w8, w24
0xfffffff009695ce4: 480f0035  cbnz	w8, #0xfffffff009695ecc
0xfffffff009695ce8: e00313aa  mov	x0, x19
0xfffffff009695cec: dabbb397  bl	#0xfffffff008384c54
0xfffffff009695cf0: e00e0037  tbnz	w0, #0, #0xfffffff009695ecc
0xfffffff009695cf4: 700240f9  ldr	x16, [x19]
0xfffffff009695cf8: f10313aa  mov	x17, x19
0xfffffff009695cfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009695d00: 301ac1da  autda	x16, x17
0xfffffff009695d04: 113d80d2  mov	x17, #0x1e8
0xfffffff009695d08: 1002118b  add	x16, x16, x17
0xfffffff009695d0c: 080240f9  ldr	x8, [x16]
0xfffffff009695d10: e90310aa  mov	x9, x16
0xfffffff009695d14: e00313aa  mov	x0, x19
0xfffffff009695d18: 010080d2  mov	x1, #0
0xfffffff009695d1c: f10309aa  mov	x17, x9
0xfffffff009695d20: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009695d24: 11093fd7  blraa	x8, x17
0xfffffff009695d28: 28008052  mov	w8, #1
0xfffffff009695d2c: f5a301a9  stp	x21, x8, [sp, #0x18]
0xfffffff009695d30: e803182a  mov	w8, w24
0xfffffff009695d34: a9f7fef0  adrp	x9, #0xfffffff00758c000
0xfffffff009695d38: 29453991  add	x9, x9, #0xe51
0xfffffff009695d3c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009695d40: e00300f9  str	x0, [sp]
0xfffffff009695d44: a0f7fef0  adrp	x0, #0xfffffff00758c000
0xfffffff009695d48: 00cc3791  add	x0, x0, #0xdf3
0xfffffff009695d4c: b504b397  bl	#0xfffffff008357020
0xfffffff009695d50: 900240f9  ldr	x16, [x20]
0xfffffff009695d54: f10314aa  mov	x17, x20
0xfffffff009695d58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009695d5c: 301ac1da  autda	x16, x17
0xfffffff009695d60: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff009695d64: e90310aa  mov	x9, x16
0xfffffff009695d68: e1bf0091  add	x1, sp, #0x2f
0xfffffff009695d6c: e00314aa  mov	x0, x20
0xfffffff009695d70: 22008052  mov	w2, #1
0xfffffff009695d74: f10309aa  mov	x17, x9
0xfffffff009695d78: 9150e8f2  movk	x17, #0x4284, lsl #48
0xfffffff009695d7c: 11093fd7  blraa	x8, x17
0xfffffff009695d80: d50100b4  cbz	x21, #0xfffffff009695db8
0xfffffff009695d84: b60100b4  cbz	x22, #0xfffffff009695db8
0xfffffff009695d88: 900240f9  ldr	x16, [x20]
0xfffffff009695d8c: f10314aa  mov	x17, x20
0xfffffff009695d90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009695d94: 301ac1da  autda	x16, x17
0xfffffff009695d98: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff009695d9c: e90310aa  mov	x9, x16
0xfffffff009695da0: e00314aa  mov	x0, x20
0xfffffff009695da4: e10316aa  mov	x1, x22
0xfffffff009695da8: e20315aa  mov	x2, x21
0xfffffff009695dac: f10309aa  mov	x17, x9
0xfffffff009695db0: 9150e8f2  movk	x17, #0x4284, lsl #48
0xfffffff009695db4: 11093fd7  blraa	x8, x17
0xfffffff009695db8: 700240f9  ldr	x16, [x19]
0xfffffff009695dbc: f10313aa  mov	x17, x19
0xfffffff009695dc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
