; Candidate 5059
; ADRP+ADD at VM 0xfffffff0087d54f8 (fileoff 0x17d14f8): page=0x1b05000 add_imm=0xd08

0xfffffff0087d5478: ff430291  add	sp, sp, #0x90
0xfffffff0087d547c: ff0f5fd6  retab	
0xfffffff0087d5480: 4b7b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d5484: f70300aa  mov	x23, x0
0xfffffff0087d5488: 80008052  mov	w0, #4
0xfffffff0087d548c: f1980294  bl	#0xfffffff00887b850
0xfffffff0087d5490: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5494: 08cd2a91  add	x8, x8, #0xab3
0xfffffff0087d5498: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087d549c: 68908052  mov	w8, #0x483
0xfffffff0087d54a0: e951ff90  adrp	x9, #0xfffffff007211000
0xfffffff0087d54a4: 29f92791  add	x9, x9, #0x9fe
0xfffffff0087d54a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d54ac: c851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d54b0: 08712591  add	x8, x8, #0x95c
0xfffffff0087d54b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d54b8: 680e8052  mov	w8, #0x73
0xfffffff0087d54bc: f72300a9  stp	x23, x8, [sp]
0xfffffff0087d54c0: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d54c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d54c8: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d54cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d54d0: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d54d4: 63dc1791  add	x3, x3, #0x5f7
0xfffffff0087d54d8: 02008052  mov	w2, #0
0xfffffff0087d54dc: 1577ed97  bl	#0xfffffff008333130
0xfffffff0087d54e0: b6ffff17  b	#0xfffffff0087d53b8
0xfffffff0087d54e4: 5f2403d5  bti	c
0xfffffff0087d54e8: 833cec17  b	#0xfffffff0082e46f4
0xfffffff0087d54ec: 7f2303d5  pacibsp	
0xfffffff0087d54f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0087d54f4: fd030091  mov	x29, sp
0xfffffff0087d54f8: 20d800b0  adrp	x0, #0xfffffff00a2da000
0xfffffff0087d54fc: 00203491  add	x0, x0, #0xd08
0xfffffff0087d5500: c151fff0  adrp	x1, #0xfffffff007210000
0xfffffff0087d5504: 21702591  add	x1, x1, #0x95c
0xfffffff0087d5508: 8291fff0  adrp	x2, #0xfffffff007a08000
0xfffffff0087d550c: 421842f9  ldr	x2, [x2, #0x430]
0xfffffff0087d5510: 031a8052  mov	w3, #0xd0
0xfffffff0087d5514: 8939ec97  bl	#0xfffffff0082e3b38
0xfffffff0087d5518: 9091fff0  adrp	x16, #0xfffffff007a08000
0xfffffff0087d551c: 10c22991  add	x16, x16, #0xa70
0xfffffff0087d5520: 10420091  add	x16, x16, #0x10
0xfffffff0087d5524: f10300aa  mov	x17, x0
0xfffffff0087d5528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d552c: 300ac1da  pacda	x16, x17
0xfffffff0087d5530: 100000f9  str	x16, [x0]
0xfffffff0087d5534: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0087d5538: ff0f5fd6  retab	
0xfffffff0087d553c: 5f2403d5  bti	c
0xfffffff0087d5540: 20d800b0  adrp	x0, #0xfffffff00a2da000
0xfffffff0087d5544: 00203491  add	x0, x0, #0xd08
0xfffffff0087d5548: 6b3cec17  b	#0xfffffff0082e46f4
0xfffffff0087d554c: 5f2403d5  bti	c
0xfffffff0087d5550: 1f0000f9  str	xzr, [x0]
0xfffffff0087d5554: c0035fd6  ret	
0xfffffff0087d5558: 5f2403d5  bti	c
0xfffffff0087d555c: 1f0000f9  str	xzr, [x0]
0xfffffff0087d5560: c0035fd6  ret	
0xfffffff0087d5564: 7f2303d5  pacibsp	
0xfffffff0087d5568: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0087d556c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087d5570: fd430091  add	x29, sp, #0x10
0xfffffff0087d5574: f30300aa  mov	x19, x0
