; Candidate 6152
; ADRP+ADD at VM 0xfffffff0088177c8 (fileoff 0x18137c8): page=0x1fe9d2000 add_imm=0xe80

0xfffffff008817748: 2050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff00881774c: 00343b91  add	x0, x0, #0xecd
0xfffffff008817750: fc2300a9  stp	x28, x8, [sp]
0xfffffff008817754: 437fd697  bl	#0xfffffff007db7460
0xfffffff008817758: 22000014  b	#0xfffffff0088177e0
0xfffffff00881775c: 94720294  bl	#0xfffffff0088b41ac
0xfffffff008817760: f90300aa  mov	x25, x0
0xfffffff008817764: c0008052  mov	w0, #6
0xfffffff008817768: 3a900194  bl	#0xfffffff00887b850
0xfffffff00881776c: e8031baa  mov	x8, x27
0xfffffff008817770: e84300f9  str	x8, [sp, #0x80]
0xfffffff008817774: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008817778: e83f00f9  str	x8, [sp, #0x78]
0xfffffff00881777c: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff008817780: e83b00f9  str	x8, [sp, #0x70]
0xfffffff008817784: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff008817788: e83700f9  str	x8, [sp, #0x68]
0xfffffff00881778c: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff008817790: e8031aaa  mov	x8, x26
0xfffffff008817794: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff008817798: f8d704a9  stp	x24, x21, [sp, #0x48]
0xfffffff00881779c: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff0088177a0: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0088177a4: a90358f8  ldur	x9, [x29, #-0x80]
0xfffffff0088177a8: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff0088177ac: 080d3491  add	x8, x8, #0xd03
0xfffffff0088177b0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088177b4: 880e8052  mov	w8, #0x74
0xfffffff0088177b8: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff0088177bc: 636c3191  add	x3, x3, #0xc5b
0xfffffff0088177c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088177c4: f90300f9  str	x25, [sp]
0xfffffff0088177c8: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088177cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088177d0: 818fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088177d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088177d8: 02008052  mov	w2, #0
0xfffffff0088177dc: 556eec97  bl	#0xfffffff008333130
0xfffffff0088177e0: e0031baa  mov	x0, x27
0xfffffff0088177e4: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff0088177e8: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff0088177ec: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff0088177f0: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff0088177f4: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff0088177f8: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff0088177fc: ffc30491  add	sp, sp, #0x130
0xfffffff008817800: ff0f5fd6  retab	
0xfffffff008817804: e0031baa  mov	x0, x27
0xfffffff008817808: a18358f8  ldur	x1, [x29, #-0x78]
0xfffffff00881780c: 49e6ff97  bl	#0xfffffff008811130
0xfffffff008817810: 800c0034  cbz	w0, #0xfffffff0088179a0
0xfffffff008817814: fc0300aa  mov	x28, x0
0xfffffff008817818: 800e8052  mov	w0, #0x74
0xfffffff00881781c: 81008052  mov	w1, #4
0xfffffff008817820: ec8f0194  bl	#0xfffffff00887b7d0
0xfffffff008817824: 600f0034  cbz	w0, #0xfffffff008817a10
0xfffffff008817828: 800e8052  mov	w0, #0x74
0xfffffff00881782c: fb8f0194  bl	#0xfffffff00887b818
0xfffffff008817830: a00318b8  stur	w0, [x29, #-0x80]
0xfffffff008817834: 5e720294  bl	#0xfffffff0088b41ac
0xfffffff008817838: a08317f8  stur	x0, [x29, #-0x88]
0xfffffff00881783c: 80008052  mov	w0, #4
0xfffffff008817840: 04900194  bl	#0xfffffff00887b850
0xfffffff008817844: a80358b8  ldur	w8, [x29, #-0x80]
