; Candidate 12644
; ADRP+ADD at VM 0xfffffff0090e1958 (fileoff 0x20dd958): page=0x1fe38d000 add_imm=0xeab

0xfffffff0090e18d8: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff0090e18dc: 601cffb0  adrp	x0, #0xfffffff00746e000
0xfffffff0090e18e0: 00243991  add	x0, x0, #0xe49
0xfffffff0090e18e4: e80300f9  str	x8, [sp]
0xfffffff0090e18e8: ced5c997  bl	#0xfffffff008357020
0xfffffff0090e18ec: 20000014  b	#0xfffffff0090e196c
0xfffffff0090e18f0: 969100f0  adrp	x22, #0xfffffff00a314000
0xfffffff0090e18f4: d6e21691  add	x22, x22, #0x5b8
0xfffffff0090e18f8: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e18fc: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e1900: 571cfff0  adrp	x23, #0xfffffff00746c000
0xfffffff0090e1904: f7522c91  add	x23, x23, #0xb14
0xfffffff0090e1908: c90240f9  ldr	x9, [x22]
0xfffffff0090e190c: 3f0100f1  cmp	x9, #0
0xfffffff0090e1910: f802889a  csel	x24, x23, x8, eq
0xfffffff0090e1914: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1918: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e191c: f902889a  csel	x25, x23, x8, eq
0xfffffff0090e1920: a2340094  bl	#0xfffffff0090eeba8
0xfffffff0090e1924: c80240f9  ldr	x8, [x22]
0xfffffff0090e1928: 491cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e192c: 29852c91  add	x9, x9, #0xb21
0xfffffff0090e1930: 1f0100f1  cmp	x8, #0
0xfffffff0090e1934: e802899a  csel	x8, x23, x9, eq
0xfffffff0090e1938: f52305a9  stp	x21, x8, [sp, #0x50]
0xfffffff0090e193c: e02304a9  stp	x0, x8, [sp, #0x40]
0xfffffff0090e1940: 480d8352  mov	w8, #0x186a
0xfffffff0090e1944: e86703a9  stp	x8, x25, [sp, #0x30]
0xfffffff0090e1948: f75f02a9  stp	x23, x23, [sp, #0x20]
0xfffffff0090e194c: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1950: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090e1954: f75f01a9  stp	x23, x23, [sp, #0x10]
0xfffffff0090e1958: 601cffb0  adrp	x0, #0xfffffff00746e000
0xfffffff0090e195c: 00ac3a91  add	x0, x0, #0xeab
0xfffffff0090e1960: e86300a9  stp	x8, x24, [sp]
0xfffffff0090e1964: afd5c997  bl	#0xfffffff008357020
0xfffffff0090e1968: 540a0034  cbz	w20, #0xfffffff0090e1ab0
0xfffffff0090e196c: ff6f00b9  str	wzr, [sp, #0x6c]
0xfffffff0090e1970: 90fffff0  adrp	x16, #0xfffffff0090d4000
0xfffffff0090e1974: 10220791  add	x16, x16, #0x1c8
0xfffffff0090e1978: d12587d2  mov	x17, #0x392e
0xfffffff0090e197c: 3002c1da  pacia	x16, x17
0xfffffff0090e1980: e00310aa  mov	x0, x16
0xfffffff0090e1984: e3c30191  add	x3, sp, #0x70
0xfffffff0090e1988: e4b30191  add	x4, sp, #0x6c
0xfffffff0090e198c: 010080d2  mov	x1, #0
0xfffffff0090e1990: 22008052  mov	w2, #1
0xfffffff0090e1994: 3a3b0094  bl	#0xfffffff0090f067c
0xfffffff0090e1998: 1f200031  cmn	w0, #8
0xfffffff0090e199c: 20160054  b.eq	#0xfffffff0090e1c60
0xfffffff0090e19a0: f40300aa  mov	x20, x0
0xfffffff0090e19a4: 20120035  cbnz	w0, #0xfffffff0090e1be8
0xfffffff0090e19a8: 949100f0  adrp	x20, #0xfffffff00a314000
0xfffffff0090e19ac: 94e21691  add	x20, x20, #0x5b8
0xfffffff0090e19b0: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e19b4: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e19b8: 551cfff0  adrp	x21, #0xfffffff00746c000
0xfffffff0090e19bc: b5522c91  add	x21, x21, #0xb14
0xfffffff0090e19c0: 890240f9  ldr	x9, [x20]
0xfffffff0090e19c4: 3f0100f1  cmp	x9, #0
0xfffffff0090e19c8: b602889a  csel	x22, x21, x8, eq
0xfffffff0090e19cc: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e19d0: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e19d4: b702889a  csel	x23, x21, x8, eq
