; Candidate 313
; ADRP+ADD at VM 0xfffffff007e935ac (fileoff 0xe8f5ac): page=0x2364000 add_imm=0xe90

0xfffffff007e9352c: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff007e93530: e1830091  add	x1, sp, #0x20
0xfffffff007e93534: e8e30029  stp	w8, w24, [sp, #4]
0xfffffff007e93538: e80300b9  str	w8, [sp]
0xfffffff007e9353c: e00313aa  mov	x0, x19
0xfffffff007e93540: 030080d2  mov	x3, #0
0xfffffff007e93544: e50314aa  mov	x5, x20
0xfffffff007e93548: 27008052  mov	w7, #1
0xfffffff007e9354c: 3dcefe97  bl	#0xfffffff007e46e40
0xfffffff007e93550: c0000035  cbnz	w0, #0xfffffff007e93568
0xfffffff007e93554: d6820091  add	x22, x22, #0x20
0xfffffff007e93558: 390700f1  subs	x25, x25, #1
0xfffffff007e9355c: 61fdff54  b.ne	#0xfffffff007e93508
0xfffffff007e93560: 15008052  mov	w21, #0
0xfffffff007e93564: 02000014  b	#0xfffffff007e9356c
0xfffffff007e93568: f50300aa  mov	x21, x0
0xfffffff007e9356c: 880640f9  ldr	x8, [x20, #8]
0xfffffff007e93570: 080540f9  ldr	x8, [x8, #8]
0xfffffff007e93574: e00314aa  mov	x0, x20
0xfffffff007e93578: d15785d2  mov	x17, #0x2abe
0xfffffff007e9357c: 11093fd7  blraa	x8, x17
0xfffffff007e93580: e00315aa  mov	x0, x21
0xfffffff007e93584: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff007e93588: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff007e9358c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff007e93590: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff007e93594: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff007e93598: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff007e9359c: ff430291  add	sp, sp, #0x90
0xfffffff007e935a0: ff0f5fd6  retab	
0xfffffff007e935a4: 089f41f9  ldr	x8, [x24, #0x338]
0xfffffff007e935a8: 48ffff17  b	#0xfffffff007e932c8
0xfffffff007e935ac: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e935b0: 00403a91  add	x0, x0, #0xe90
0xfffffff007e935b4: e10317aa  mov	x1, x23
0xfffffff007e935b8: 02008052  mov	w2, #0
0xfffffff007e935bc: 4f61fc97  bl	#0xfffffff007dabaf8
0xfffffff007e935c0: 81ffff17  b	#0xfffffff007e933c4
0xfffffff007e935c4: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e935c8: 00403a91  add	x0, x0, #0xe90
0xfffffff007e935cc: e10317aa  mov	x1, x23
0xfffffff007e935d0: 6564fc97  bl	#0xfffffff007dac764
0xfffffff007e935d4: 94ffff17  b	#0xfffffff007e93424
0xfffffff007e935d8: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e935dc: 00403a91  add	x0, x0, #0xe90
0xfffffff007e935e0: e10317aa  mov	x1, x23
0xfffffff007e935e4: 02008052  mov	w2, #0
0xfffffff007e935e8: 4461fc97  bl	#0xfffffff007dabaf8
0xfffffff007e935ec: a1ffff17  b	#0xfffffff007e93470
0xfffffff007e935f0: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e935f4: 00403a91  add	x0, x0, #0xe90
0xfffffff007e935f8: e10317aa  mov	x1, x23
0xfffffff007e935fc: 5a64fc97  bl	#0xfffffff007dac764
0xfffffff007e93600: a3ffff17  b	#0xfffffff007e9348c
0xfffffff007e93604: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e93608: 00403a91  add	x0, x0, #0xe90
0xfffffff007e9360c: e10317aa  mov	x1, x23
0xfffffff007e93610: 02008052  mov	w2, #0
0xfffffff007e93614: 3961fc97  bl	#0xfffffff007dabaf8
0xfffffff007e93618: 08034039  ldrb	w8, [x24]
0xfffffff007e9361c: 08f6ff35  cbnz	w8, #0xfffffff007e934dc
0xfffffff007e93620: a6ffff17  b	#0xfffffff007e934b8
0xfffffff007e93624: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e93628: 00403a91  add	x0, x0, #0xe90
