; Candidate 2820
; ADRP+ADD at VM 0xfffffff0086eb674 (fileoff 0x16e7674): page=0x1fea46000 add_imm=0xd90

0xfffffff0086eb5f4: 3721d91a  lsl	w23, w9, w25
0xfffffff0086eb5f8: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb5fc: 3f01166a  tst	w9, w22
0xfffffff0086eb600: 40020054  b.eq	#0xfffffff0086eb648
0xfffffff0086eb604: f82300a9  stp	x24, x8, [sp]
0xfffffff0086eb608: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb60c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb610: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb614: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb618: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb61c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086eb620: 02008052  mov	w2, #0
0xfffffff0086eb624: c31ef197  bl	#0xfffffff008333130
0xfffffff0086eb628: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb62c: 07000014  b	#0xfffffff0086eb648
0xfffffff0086eb630: 17008052  mov	w23, #0
0xfffffff0086eb634: 18000014  b	#0xfffffff0086eb694
0xfffffff0086eb638: 17008052  mov	w23, #0
0xfffffff0086eb63c: e8030aaa  mov	x8, x10
0xfffffff0086eb640: f80309aa  mov	x24, x9
0xfffffff0086eb644: f90314aa  mov	x25, x20
0xfffffff0086eb648: e903194b  neg	w9, w25
0xfffffff0086eb64c: 0927c91a  lsr	w9, w24, w9
0xfffffff0086eb650: 3701172a  orr	w23, w9, w23
0xfffffff0086eb654: 0923d91a  lsl	w9, w24, w25
0xfffffff0086eb658: 0801194b  sub	w8, w8, w25
0xfffffff0086eb65c: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086eb660: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb664: 3f01166a  tst	w9, w22
0xfffffff0086eb668: 60010054  b.eq	#0xfffffff0086eb694
0xfffffff0086eb66c: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff0086eb670: f45700a9  stp	x20, x21, [sp]
0xfffffff0086eb674: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb678: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb67c: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb680: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb684: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb688: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086eb68c: 02008052  mov	w2, #0
0xfffffff0086eb690: a81ef197  bl	#0xfffffff008333130
0xfffffff0086eb694: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb698: 68000034  cbz	w8, #0xfffffff0086eb6a4
0xfffffff0086eb69c: 742a40b9  ldr	w20, [x19, #0x28]
0xfffffff0086eb6a0: 1e000014  b	#0xfffffff0086eb718
0xfffffff0086eb6a4: 14008052  mov	w20, #0
0xfffffff0086eb6a8: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086eb6ac: 89008052  mov	w9, #4
0xfffffff0086eb6b0: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086eb6b4: 945e1853  lsl	w20, w20, #8
0xfffffff0086eb6b8: 7f010aeb  cmp	x11, x10
0xfffffff0086eb6bc: 02010054  b.hs	#0xfffffff0086eb6dc
0xfffffff0086eb6c0: 08210011  add	w8, w8, #8
0xfffffff0086eb6c4: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086eb6c8: 6c050091  add	x12, x11, #1
0xfffffff0086eb6cc: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086eb6d0: 6b014039  ldrb	w11, [x11]
0xfffffff0086eb6d4: 94020b2a  orr	w20, w20, w11
0xfffffff0086eb6d8: eb030caa  mov	x11, x12
0xfffffff0086eb6dc: 29050071  subs	w9, w9, #1
0xfffffff0086eb6e0: a1feff54  b.ne	#0xfffffff0086eb6b4
0xfffffff0086eb6e4: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb6e8: 3f01166a  tst	w9, w22
0xfffffff0086eb6ec: 60010054  b.eq	#0xfffffff0086eb718
0xfffffff0086eb6f0: f42300a9  stp	x20, x8, [sp]
