; Candidate 12628
; ADRP+ADD at VM 0xfffffff0090d1b3c (fileoff 0x20cdb3c): page=0x1fe39b000 add_imm=0xdbf

0xfffffff0090d1abc: 160040f9  ldr	x22, [x0]
0xfffffff0090d1ac0: 22000094  bl	#0xfffffff0090d1b48
0xfffffff0090d1ac4: e103132a  mov	w1, w19
0xfffffff0090d1ac8: e20314aa  mov	x2, x20
0xfffffff0090d1acc: f10315aa  mov	x17, x21
0xfffffff0090d1ad0: 91bdf4f2  movk	x17, #0xa5ec, lsl #48
0xfffffff0090d1ad4: d10a3fd7  blraa	x22, x17
0xfffffff0090d1ad8: 1f000071  cmp	w0, #0
0xfffffff0090d1adc: e0179f1a  cset	w0, eq
0xfffffff0090d1ae0: c21cfff0  adrp	x2, #0xfffffff00746c000
0xfffffff0090d1ae4: 42c03591  add	x2, x2, #0xd70
0xfffffff0090d1ae8: 01098052  mov	w1, #0x48
0xfffffff0090d1aec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0090d1af0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0090d1af4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0090d1af8: ff2303d5  autibsp	
0xfffffff0090d1afc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090d1b00: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0090d1b08
0xfffffff0090d1b04: 208e38d4  brk	#0xc471
0xfffffff0090d1b08: 98750014  b	#0xfffffff0090ef168
0xfffffff0090d1b0c: 5f2403d5  bti	c
0xfffffff0090d1b10: c05c8052  mov	w0, #0x2e6
0xfffffff0090d1b14: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0090d1b18: c0035fd6  ret	
0xfffffff0090d1b1c: 7f2303d5  pacibsp	
0xfffffff0090d1b20: ff8300d1  sub	sp, sp, #0x20
0xfffffff0090d1b24: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090d1b28: fd430091  add	x29, sp, #0x10
0xfffffff0090d1b2c: c81cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090d1b30: 08793591  add	x8, x8, #0xd5e
0xfffffff0090d1b34: 290c8052  mov	w9, #0x61
0xfffffff0090d1b38: e82700a9  stp	x8, x9, [sp]
0xfffffff0090d1b3c: c01cfff0  adrp	x0, #0xfffffff00746c000
0xfffffff0090d1b40: 00fc3691  add	x0, x0, #0xdbf
0xfffffff0090d1b44: 720acf97  bl	#0xfffffff00849450c
0xfffffff0090d1b48: 7f2303d5  pacibsp	
0xfffffff0090d1b4c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0090d1b50: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090d1b54: fd430091  add	x29, sp, #0x10
0xfffffff0090d1b58: e853ffd0  adrp	x8, #0xfffffff007b4f000
0xfffffff0090d1b5c: 08a12591  add	x8, x8, #0x968
0xfffffff0090d1b60: 000140f9  ldr	x0, [x8]
0xfffffff0090d1b64: e00700f9  str	x0, [sp, #8]
0xfffffff0090d1b68: 1f0000f1  cmp	x0, #0
0xfffffff0090d1b6c: e0079f1a  cset	w0, ne
0xfffffff0090d1b70: c21cfff0  adrp	x2, #0xfffffff00746c000
0xfffffff0090d1b74: 42e43791  add	x2, x2, #0xdf9
0xfffffff0090d1b78: 61078052  mov	w1, #0x3b
0xfffffff0090d1b7c: 7b750094  bl	#0xfffffff0090ef168
0xfffffff0090d1b80: e00740f9  ldr	x0, [sp, #8]
0xfffffff0090d1b84: 108c40f8  ldr	x16, [x0, #8]!
0xfffffff0090d1b88: e00700f9  str	x0, [sp, #8]
0xfffffff0090d1b8c: d00100b4  cbz	x16, #0xfffffff0090d1bc4
0xfffffff0090d1b90: f10300aa  mov	x17, x0
0xfffffff0090d1b94: 9105f8f2  movk	x17, #0xc02c, lsl #48
0xfffffff0090d1b98: 3012c1da  autia	x16, x17
0xfffffff0090d1b9c: f10310aa  mov	x17, x16
0xfffffff0090d1ba0: f143c1da  xpaci	x17
0xfffffff0090d1ba4: 1f0211eb  cmp	x16, x17
0xfffffff0090d1ba8: 40000054  b.eq	#0xfffffff0090d1bb0
0xfffffff0090d1bac: 008e38d4  brk	#0xc470
0xfffffff0090d1bb0: 11aa90d2  mov	x17, #0x8550
0xfffffff0090d1bb4: 3002c1da  pacia	x16, x17
0xfffffff0090d1bb8: 1f0200f1  cmp	x16, #0
