; Candidate 2544
; ADRP+ADD at VM 0xfffffff0086aef8c (fileoff 0x16aaf8c): page=0x1ff34c000 add_imm=0xe10

0xfffffff0086aef0c: 0d54f317  b	#0xfffffff008383f40
0xfffffff0086aef10: 5f2403d5  bti	c
0xfffffff0086aef14: 200020d4  brk	#1
0xfffffff0086aef18: 5f2403d5  bti	c
0xfffffff0086aef1c: 200020d4  brk	#1
0xfffffff0086aef20: 5f2403d5  bti	c
0xfffffff0086aef24: 40e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086aef28: 00c03d91  add	x0, x0, #0xf70
0xfffffff0086aef2c: c0035fd6  ret	
0xfffffff0086aef30: 7f2303d5  pacibsp	
0xfffffff0086aef34: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086aef38: fd030091  mov	x29, sp
0xfffffff0086aef3c: e153ffb0  adrp	x1, #0xfffffff00712b000
0xfffffff0086aef40: 21d80991  add	x1, x1, #0x276
0xfffffff0086aef44: a299ffb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086aef48: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086aef4c: 03128052  mov	w3, #0x90
0xfffffff0086aef50: fad2f097  bl	#0xfffffff0082e3b38
0xfffffff0086aef54: 109afff0  adrp	x16, #0xfffffff0079f1000
0xfffffff0086aef58: 10222e91  add	x16, x16, #0xb88
0xfffffff0086aef5c: 10420091  add	x16, x16, #0x10
0xfffffff0086aef60: f10300aa  mov	x17, x0
0xfffffff0086aef64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aef68: 300ac1da  pacda	x16, x17
0xfffffff0086aef6c: 100000f9  str	x16, [x0]
0xfffffff0086aef70: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086aef74: ff0f5fd6  retab	
0xfffffff0086aef78: 5f2403d5  bti	c
0xfffffff0086aef7c: 000080d2  mov	x0, #0
0xfffffff0086aef80: c0035fd6  ret	
0xfffffff0086aef84: 5f2403d5  bti	c
0xfffffff0086aef88: e10300aa  mov	x1, x0
0xfffffff0086aef8c: 609aff90  adrp	x0, #0xfffffff0079fa000
0xfffffff0086aef90: 00403891  add	x0, x0, #0xe10
0xfffffff0086aef94: a9e1f017  b	#0xfffffff0082e7638
0xfffffff0086aef98: 5f2403d5  bti	c
0xfffffff0086aef9c: e20301aa  mov	x2, x1
0xfffffff0086aefa0: e10300aa  mov	x1, x0
0xfffffff0086aefa4: 609aff90  adrp	x0, #0xfffffff0079fa000
0xfffffff0086aefa8: 00403891  add	x0, x0, #0xe10
0xfffffff0086aefac: bce1f017  b	#0xfffffff0082e769c
0xfffffff0086aefb0: 7f2303d5  pacibsp	
0xfffffff0086aefb4: ff8301d1  sub	sp, sp, #0x60
0xfffffff0086aefb8: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0086aefbc: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0086aefc0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0086aefc4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0086aefc8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0086aefcc: fd430191  add	x29, sp, #0x50
0xfffffff0086aefd0: e80301aa  mov	x8, x1
0xfffffff0086aefd4: f30300aa  mov	x19, x0
0xfffffff0086aefd8: f4588052  mov	w20, #0x2c7
0xfffffff0086aefdc: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086aefe0: a999ffb0  adrp	x9, #0xfffffff0079e3000
0xfffffff0086aefe4: 29b546f9  ldr	x9, [x9, #0xd68]
0xfffffff0086aefe8: 210140f9  ldr	x1, [x9]
0xfffffff0086aefec: e00308aa  mov	x0, x8
0xfffffff0086aeff0: 41d3f097  bl	#0xfffffff0082e3cf4
0xfffffff0086aeff4: ff0f0079  strh	wzr, [sp, #6]
0xfffffff0086aeff8: 400800b4  cbz	x0, #0xfffffff0086af100
0xfffffff0086aeffc: f60300aa  mov	x22, x0
0xfffffff0086af000: 100040f9  ldr	x16, [x0]
0xfffffff0086af004: f10300aa  mov	x17, x0
0xfffffff0086af008: 31b4f9f2  movk	x17, #0xcda1, lsl #48
