; Candidate 8564
; ADRP+ADD at VM 0xfffffff0088b2300 (fileoff 0x18ae300): page=0x1fe937000 add_imm=0xe80

0xfffffff0088b2280: a8000035  cbnz	w8, #0xfffffff0088b2294
0xfffffff0088b2284: 682a40b9  ldr	w8, [x19, #0x28]
0xfffffff0088b2288: 09930091  add	x9, x24, #0x24
0xfffffff0088b228c: 1f010071  cmp	w8, #0
0xfffffff0088b2290: 3901999a  csel	x25, x9, x25, eq
0xfffffff0088b2294: 280340b9  ldr	w8, [x25]
0xfffffff0088b2298: 68020fb9  str	w8, [x19, #0xf00]
0xfffffff0088b229c: 48008052  mov	w8, #2
0xfffffff0088b22a0: 680600b9  str	w8, [x19, #4]
0xfffffff0088b22a4: 86fdff17  b	#0xfffffff0088b18bc
0xfffffff0088b22a8: c1070094  bl	#0xfffffff0088b41ac
0xfffffff0088b22ac: fa0300aa  mov	x26, x0
0xfffffff0088b22b0: 80008052  mov	w0, #4
0xfffffff0088b22b4: 6725ff97  bl	#0xfffffff00887b850
0xfffffff0088b22b8: 081740f9  ldr	x8, [x24, #0x28]
0xfffffff0088b22bc: e90319aa  mov	x9, x25
0xfffffff0088b22c0: 6a0240b9  ldr	w10, [x19]
0xfffffff0088b22c4: 0b0340b9  ldr	w11, [x24]
0xfffffff0088b22c8: eba704a9  stp	x11, x9, [sp, #0x48]
0xfffffff0088b22cc: eaa303a9  stp	x10, x8, [sp, #0x38]
0xfffffff0088b22d0: e84affd0  adrp	x8, #0xfffffff007210000
0xfffffff0088b22d4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b22d8: 292e8152  mov	w9, #0x971
0xfffffff0088b22dc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088b22e0: 084cffd0  adrp	x8, #0xfffffff007234000
0xfffffff0088b22e4: 08e12091  add	x8, x8, #0x838
0xfffffff0088b22e8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b22ec: c80f8052  mov	w8, #0x7e
0xfffffff0088b22f0: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b22f4: 63742d91  add	x3, x3, #0xb5d
0xfffffff0088b22f8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b22fc: fa0300f9  str	x26, [sp]
0xfffffff0088b2300: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b2304: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b2308: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b230c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b2310: 02008052  mov	w2, #0
0xfffffff0088b2314: 8703ea97  bl	#0xfffffff008333130
0xfffffff0088b2318: fefdff17  b	#0xfffffff0088b1b10
0xfffffff0088b231c: a4070094  bl	#0xfffffff0088b41ac
0xfffffff0088b2320: fa0300aa  mov	x26, x0
0xfffffff0088b2324: 80008052  mov	w0, #4
0xfffffff0088b2328: 4a25ff97  bl	#0xfffffff00887b850
0xfffffff0088b232c: 680240b9  ldr	w8, [x19]
0xfffffff0088b2330: 093740b9  ldr	w9, [x24, #0x34]
0xfffffff0088b2334: f52704a9  stp	x21, x9, [sp, #0x40]
0xfffffff0088b2338: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088b233c: e84affd0  adrp	x8, #0xfffffff007210000
0xfffffff0088b2340: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b2344: c9268152  mov	w9, #0x936
0xfffffff0088b2348: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b234c: 084cffd0  adrp	x8, #0xfffffff007234000
0xfffffff0088b2350: 08e12091  add	x8, x8, #0x838
0xfffffff0088b2354: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b2358: c80f8052  mov	w8, #0x7e
0xfffffff0088b235c: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088b2360: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b2364: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b2368: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b236c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b2370: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b2374: 63302991  add	x3, x3, #0xa4c
0xfffffff0088b2378: 02008052  mov	w2, #0
0xfffffff0088b237c: 6d03ea97  bl	#0xfffffff008333130
