; Candidate 15977
; ADRP+ADD at VM 0xfffffff009df4198 (fileoff 0x2df0198): page=0x1fd8ae000 add_imm=0xcee

0xfffffff009df4118: 08020491  add	x8, x16, #0x100
0xfffffff009df411c: 098240f9  ldr	x9, [x16, #0x100]
0xfffffff009df4120: f0fffff0  adrp	x16, #0xfffffff009df3000
0xfffffff009df4124: 10f23091  add	x16, x16, #0xc3c
0xfffffff009df4128: 31a897d2  mov	x17, #0xbd41
0xfffffff009df412c: 3002c1da  pacia	x16, x17
0xfffffff009df4130: e10310aa  mov	x1, x16
0xfffffff009df4134: e20313aa  mov	x2, x19
0xfffffff009df4138: 030080d2  mov	x3, #0
0xfffffff009df413c: 040080d2  mov	x4, #0
0xfffffff009df4140: 050080d2  mov	x5, #0
0xfffffff009df4144: 060080d2  mov	x6, #0
0xfffffff009df4148: f10308aa  mov	x17, x8
0xfffffff009df414c: 51bbeff2  movk	x17, #0x7dda, lsl #48
0xfffffff009df4150: 31093fd7  blraa	x9, x17
0xfffffff009df4154: 80020034  cbz	w0, #0xfffffff009df41a4
0xfffffff009df4158: e00313aa  mov	x0, x19
0xfffffff009df415c: 67310094  bl	#0xfffffff009e006f8
0xfffffff009df4160: 604240f9  ldr	x0, [x19, #0x80]
0xfffffff009df4164: 100040f9  ldr	x16, [x0]
0xfffffff009df4168: f10300aa  mov	x17, x0
0xfffffff009df416c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df4170: 301ac1da  autda	x16, x17
0xfffffff009df4174: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009df4178: e90310aa  mov	x9, x16
0xfffffff009df417c: f10309aa  mov	x17, x9
0xfffffff009df4180: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009df4184: 11093fd7  blraa	x8, x17
0xfffffff009df4188: 68c5fed0  adrp	x8, #0xfffffff0076a2000
0xfffffff009df418c: 08912a91  add	x8, x8, #0xaa4
0xfffffff009df4190: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff009df4194: e00300f9  str	x0, [sp]
0xfffffff009df4198: 60c5fed0  adrp	x0, #0xfffffff0076a2000
0xfffffff009df419c: 00b83391  add	x0, x0, #0xcee
0xfffffff009df41a0: a08b9597  bl	#0xfffffff008357020
0xfffffff009df41a4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009df41a8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009df41ac: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009df41b0: ff430191  add	sp, sp, #0x50
0xfffffff009df41b4: ff0f5fd6  retab	
0xfffffff009df41b8: 7f2303d5  pacibsp	
0xfffffff009df41bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009df41c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009df41c4: fd430091  add	x29, sp, #0x10
0xfffffff009df41c8: f30300aa  mov	x19, x0
0xfffffff009df41cc: 007440f9  ldr	x0, [x0, #0xe8]
0xfffffff009df41d0: 600300b4  cbz	x0, #0xfffffff009df423c
0xfffffff009df41d4: e20301aa  mov	x2, x1
0xfffffff009df41d8: 100040f9  ldr	x16, [x0]
0xfffffff009df41dc: f10300aa  mov	x17, x0
0xfffffff009df41e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df41e4: 301ac1da  autda	x16, x17
0xfffffff009df41e8: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff009df41ec: e90310aa  mov	x9, x16
0xfffffff009df41f0: 010080d2  mov	x1, #0
0xfffffff009df41f4: 03008452  mov	w3, #0x2000
0xfffffff009df41f8: f10309aa  mov	x17, x9
0xfffffff009df41fc: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff009df4200: 11093fd7  blraa	x8, x17
0xfffffff009df4204: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff009df4208: 100040f9  ldr	x16, [x0]
0xfffffff009df420c: f10300aa  mov	x17, x0
0xfffffff009df4210: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df4214: 301ac1da  autda	x16, x17
