; Candidate 10668
; ADRP+ADD at VM 0xfffffff008de29d0 (fileoff 0x1dde9d0): page=0x1fe5e2000 add_imm=0xd54

0xfffffff008de2950: e32efff0  adrp	x3, #0xfffffff0073c1000
0xfffffff008de2954: 63480d91  add	x3, x3, #0x352
0xfffffff008de2958: 052fff90  adrp	x5, #0xfffffff0073c2000
0xfffffff008de295c: a58c0191  add	x5, x5, #0x63
0xfffffff008de2960: e10314aa  mov	x1, x20
0xfffffff008de2964: 02008252  mov	w2, #0x1000
0xfffffff008de2968: 64a18052  mov	w4, #0x50b
0xfffffff008de296c: d7100094  bl	#0xfffffff008de6cc8
0xfffffff008de2970: e00314aa  mov	x0, x20
0xfffffff008de2974: 01008252  mov	w1, #0x1000
0xfffffff008de2978: 7d100094  bl	#0xfffffff008de6b6c
0xfffffff008de297c: f3a800b0  adrp	x19, #0xfffffff00a2ff000
0xfffffff008de2980: 73422c91  add	x19, x19, #0xb10
0xfffffff008de2984: 95000034  cbz	w21, #0xfffffff008de2994
0xfffffff008de2988: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff008de298c: 400000b4  cbz	x0, #0xfffffff008de2994
0xfffffff008de2990: 6c330094  bl	#0xfffffff008def740
0xfffffff008de2994: bf020071  cmp	w21, #0
0xfffffff008de2998: c8088052  mov	w8, #0x46
0xfffffff008de299c: 49018052  mov	w9, #0xa
0xfffffff008de29a0: 2801881a  csel	w8, w9, w8, eq
0xfffffff008de29a4: 69024039  ldrb	w9, [x19]
0xfffffff008de29a8: 1f01096b  cmp	w8, w9
0xfffffff008de29ac: 83010054  b.lo	#0xfffffff008de29dc
0xfffffff008de29b0: e80315aa  mov	x8, x21
0xfffffff008de29b4: 087d4093  sxtw	x8, w8
0xfffffff008de29b8: 092fff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008de29bc: 2a8d0191  add	x10, x9, #0x63
0xfffffff008de29c0: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de29c4: 299d0c91  add	x9, x9, #0x327
0xfffffff008de29c8: e92b00a9  stp	x9, x10, [sp]
0xfffffff008de29cc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de29d0: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de29d4: 00503591  add	x0, x0, #0xd54
0xfffffff008de29d8: 92d1d597  bl	#0xfffffff008357020
0xfffffff008de29dc: e00315aa  mov	x0, x21
0xfffffff008de29e0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008de29e4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008de29e8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008de29ec: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008de29f0: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008de29f4: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008de29f8: ffc30291  add	sp, sp, #0xb0
0xfffffff008de29fc: ff0f5fd6  retab	
0xfffffff008de2a00: 289c8052  mov	w8, #0x4e1
0xfffffff008de2a04: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de2a08: 29490d91  add	x9, x9, #0x352
0xfffffff008de2a0c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de2a10: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2a14: 08493991  add	x8, x8, #0xe52
0xfffffff008de2a18: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2a1c: 4add1491  add	x10, x10, #0x537
0xfffffff008de2a20: 12000014  b	#0xfffffff008de2a68
0xfffffff008de2a24: 489c8052  mov	w8, #0x4e2
0xfffffff008de2a28: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de2a2c: 29490d91  add	x9, x9, #0x352
0xfffffff008de2a30: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de2a34: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2a38: 08493991  add	x8, x8, #0xe52
0xfffffff008de2a3c: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2a40: 4ac91d91  add	x10, x10, #0x772
0xfffffff008de2a44: 09000014  b	#0xfffffff008de2a68
0xfffffff008de2a48: 689c8052  mov	w8, #0x4e3
0xfffffff008de2a4c: e92efff0  adrp	x9, #0xfffffff0073c1000
