; Candidate 5709
; ADRP+ADD at VM 0xfffffff0088014f4 (fileoff 0x17fd4f4): page=0x1fe9e8000 add_imm=0xe80

0xfffffff008801474: c050ff90  adrp	x0, #0xfffffff007219000
0xfffffff008801478: 00280391  add	x0, x0, #0xca
0xfffffff00880147c: f9d7d697  bl	#0xfffffff007db7460
0xfffffff008801480: 25000014  b	#0xfffffff008801514
0xfffffff008801484: 4acb0294  bl	#0xfffffff0088b41ac
0xfffffff008801488: f70300aa  mov	x23, x0
0xfffffff00880148c: e00314aa  mov	x0, x20
0xfffffff008801490: f0e80194  bl	#0xfffffff00887b850
0xfffffff008801494: 28034079  ldrh	w8, [x25]
0xfffffff008801498: aa835af8  ldur	x10, [x29, #-0x58]
0xfffffff00880149c: 49a94329  ldp	w9, w10, [x10, #0x1c]
0xfffffff0088014a0: 2b0f40b9  ldr	w11, [x25, #0xc]
0xfffffff0088014a4: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0088014a8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088014ac: e80313aa  mov	x8, x19
0xfffffff0088014b0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088014b4: f70300f9  str	x23, [sp]
0xfffffff0088014b8: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088014bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088014c0: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088014c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088014c8: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff0088014cc: 638c2d91  add	x3, x3, #0xb63
0xfffffff0088014d0: 02008052  mov	w2, #0
0xfffffff0088014d4: 17c7ec97  bl	#0xfffffff008333130
0xfffffff0088014d8: 0f000014  b	#0xfffffff008801514
0xfffffff0088014dc: 28034079  ldrh	w8, [x25]
0xfffffff0088014e0: aa835af8  ldur	x10, [x29, #-0x58]
0xfffffff0088014e4: 49a94329  ldp	w9, w10, [x10, #0x1c]
0xfffffff0088014e8: 2b0f40b9  ldr	w11, [x25, #0xc]
0xfffffff0088014ec: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0088014f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0088014f4: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088014f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088014fc: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff008801500: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008801504: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff008801508: 63642c91  add	x3, x3, #0xb19
0xfffffff00880150c: 02008052  mov	w2, #0
0xfffffff008801510: 08c7ec97  bl	#0xfffffff008333130
0xfffffff008801514: e00313aa  mov	x0, x19
0xfffffff008801518: e10314aa  mov	x1, x20
0xfffffff00880151c: ade80194  bl	#0xfffffff00887b7d0
0xfffffff008801520: 600b0034  cbz	w0, #0xfffffff00880168c
0xfffffff008801524: e00313aa  mov	x0, x19
0xfffffff008801528: bce80194  bl	#0xfffffff00887b818
0xfffffff00880152c: 3503f837  tbnz	w21, #0x1f, #0xfffffff008801590
0xfffffff008801530: b8021b12  and	w24, w21, #0x20
0xfffffff008801534: 1b000052  eor	w27, w0, #1
0xfffffff008801538: 1dcb0294  bl	#0xfffffff0088b41ac
0xfffffff00880153c: f70300aa  mov	x23, x0
0xfffffff008801540: e00314aa  mov	x0, x20
0xfffffff008801544: c3e80194  bl	#0xfffffff00887b850
0xfffffff008801548: 6817582a  orr	w8, w27, w24, lsr #5
0xfffffff00880154c: 68040037  tbnz	w8, #0, #0xfffffff0088015d8
0xfffffff008801550: 28674a39  ldrb	w8, [x25, #0x299]
0xfffffff008801554: 29a342b9  ldr	w9, [x25, #0x2a0]
0xfffffff008801558: 2aa742b9  ldr	w10, [x25, #0x2a4]
0xfffffff00880155c: 2bab42b9  ldr	w11, [x25, #0x2a8]
0xfffffff008801560: 2cb342b9  ldr	w12, [x25, #0x2b0]
0xfffffff008801564: 2daf42b9  ldr	w13, [x25, #0x2ac]
0xfffffff008801568: 2eb742b9  ldr	w14, [x25, #0x2b4]
0xfffffff00880156c: ed3b04a9  stp	x13, x14, [sp, #0x40]
0xfffffff008801570: eb3303a9  stp	x11, x12, [sp, #0x30]
