; Candidate 4881
; ADRP+ADD at VM 0xfffffff0087cb538 (fileoff 0x17c7538): page=0x1fea1e000 add_imm=0xe80

0xfffffff0087cb4b8: c6c00294  bl	#0xfffffff00887b7d0
0xfffffff0087cb4bc: 40cb0034  cbz	w0, #0xfffffff0087cce24
0xfffffff0087cb4c0: 60008052  mov	w0, #3
0xfffffff0087cb4c4: d5c00294  bl	#0xfffffff00887b818
0xfffffff0087cb4c8: f40300aa  mov	x20, x0
0xfffffff0087cb4cc: 38a30394  bl	#0xfffffff0088b41ac
0xfffffff0087cb4d0: f30300aa  mov	x19, x0
0xfffffff0087cb4d4: 80008052  mov	w0, #4
0xfffffff0087cb4d8: dec00294  bl	#0xfffffff00887b850
0xfffffff0087cb4dc: b4590034  cbz	w20, #0xfffffff0087cc010
0xfffffff0087cb4e0: 0852fff0  adrp	x8, #0xfffffff00720e000
0xfffffff0087cb4e4: 08450891  add	x8, x8, #0x211
0xfffffff0087cb4e8: e99a8052  mov	w9, #0x4d7
0xfffffff0087cb4ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cb4f0: 2852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087cb4f4: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cb4f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cb4fc: 68008052  mov	w8, #3
0xfffffff0087cb500: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cb504: 2052ff90  adrp	x0, #0xfffffff00720f000
0xfffffff0087cb508: 00e82a91  add	x0, x0, #0xaba
0xfffffff0087cb50c: a5020014  b	#0xfffffff0087cbfa0
0xfffffff0087cb510: b3735838  ldurb	w19, [x29, #-0x79]
0xfffffff0087cb514: 26a30394  bl	#0xfffffff0088b41ac
0xfffffff0087cb518: f40300aa  mov	x20, x0
0xfffffff0087cb51c: e0008052  mov	w0, #7
0xfffffff0087cb520: ccc00294  bl	#0xfffffff00887b850
0xfffffff0087cb524: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cb528: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087cb52c: a80f8052  mov	w8, #0x7d
0xfffffff0087cb530: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cb534: f40300f9  str	x20, [sp]
0xfffffff0087cb538: e050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cb53c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cb540: e191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cb544: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cb548: 6353ffd0  adrp	x3, #0xfffffff007239000
0xfffffff0087cb54c: 63ac0591  add	x3, x3, #0x16b
0xfffffff0087cb550: 02008052  mov	w2, #0
0xfffffff0087cb554: f79eed97  bl	#0xfffffff008333130
0xfffffff0087cb558: 01c740b9  ldr	w1, [x24, #0xc4]
0xfffffff0087cb55c: e0031baa  mov	x0, x27
0xfffffff0087cb560: e5eaff97  bl	#0xfffffff0087c60f4
0xfffffff0087cb564: bfc318b8  stur	wzr, [x29, #-0x74]
0xfffffff0087cb568: b50359b8  ldur	w21, [x29, #-0x70]
0xfffffff0087cb56c: 686f4bb9  ldr	w8, [x27, #0xb6c]
0xfffffff0087cb570: 08050011  add	w8, w8, #1
0xfffffff0087cb574: 691f088b  add	x9, x27, x8, lsl #7
0xfffffff0087cb578: 2aa10b91  add	x10, x9, #0x2e8
0xfffffff0087cb57c: 6a3311f9  str	x10, [x27, #0x2260]
0xfffffff0087cb580: 6b534039  ldrb	w11, [x27, #0x14]
0xfffffff0087cb584: 4a0d158b  add	x10, x10, x21, lsl #3
0xfffffff0087cb588: 4a3540f9  ldr	x10, [x10, #0x68]
0xfffffff0087cb58c: ab040034  cbz	w11, #0xfffffff0087cb620
0xfffffff0087cb590: ca0200f9  str	x10, [x22]
0xfffffff0087cb594: 280543b9  ldr	w8, [x9, #0x304]
0xfffffff0087cb598: c85200b9  str	w8, [x22, #0x50]
0xfffffff0087cb59c: 28b141f9  ldr	x8, [x9, #0x360]
0xfffffff0087cb5a0: c80600f9  str	x8, [x22, #8]
0xfffffff0087cb5a4: 68874bb9  ldr	w8, [x27, #0xb84]
0xfffffff0087cb5a8: 680f088b  add	x8, x27, x8, lsl #3
0xfffffff0087cb5ac: 092541f9  ldr	x9, [x8, #0x248]
0xfffffff0087cb5b0: c92200f9  str	x9, [x22, #0x40]
0xfffffff0087cb5b4: 084d41f9  ldr	x8, [x8, #0x298]
