; Candidate 15873
; ADRP+ADD at VM 0xfffffff009db4cc0 (fileoff 0x2db0cc0): page=0x608000 add_imm=0xd28

0xfffffff009db4c40: 21d80f91  add	x1, x1, #0x3f6
0xfffffff009db4c44: 42300090  adrp	x2, #0xfffffff00a3bc000
0xfffffff009db4c48: 42e02691  add	x2, x2, #0x9b8
0xfffffff009db4c4c: 03268052  mov	w3, #0x130
0xfffffff009db4c50: babb9497  bl	#0xfffffff0082e3b38
0xfffffff009db4c54: 30fbfef0  adrp	x16, #0xfffffff007d1b000
0xfffffff009db4c58: 10221e91  add	x16, x16, #0x788
0xfffffff009db4c5c: 10420091  add	x16, x16, #0x10
0xfffffff009db4c60: f10300aa  mov	x17, x0
0xfffffff009db4c64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db4c68: 300ac1da  pacda	x16, x17
0xfffffff009db4c6c: 100000f9  str	x16, [x0]
0xfffffff009db4c70: 40300090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db4c74: 00a03491  add	x0, x0, #0xd28
0xfffffff009db4c78: 01c6fed0  adrp	x1, #0xfffffff007676000
0xfffffff009db4c7c: 21441d91  add	x1, x1, #0x751
0xfffffff009db4c80: c2fafe90  adrp	x2, #0xfffffff007d0c000
0xfffffff009db4c84: 42dc45f9  ldr	x2, [x2, #0xbb8]
0xfffffff009db4c88: 03068052  mov	w3, #0x30
0xfffffff009db4c8c: abbb9497  bl	#0xfffffff0082e3b38
0xfffffff009db4c90: 30fbfef0  adrp	x16, #0xfffffff007d1b000
0xfffffff009db4c94: 10e22291  add	x16, x16, #0x8b8
0xfffffff009db4c98: 10420091  add	x16, x16, #0x10
0xfffffff009db4c9c: f10300aa  mov	x17, x0
0xfffffff009db4ca0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db4ca4: 300ac1da  pacda	x16, x17
0xfffffff009db4ca8: 100000f9  str	x16, [x0]
0xfffffff009db4cac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009db4cb0: ff0f5fd6  retab	
0xfffffff009db4cb4: 7f2303d5  pacibsp	
0xfffffff009db4cb8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009db4cbc: fd030091  mov	x29, sp
0xfffffff009db4cc0: 40300090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db4cc4: 00a03491  add	x0, x0, #0xd28
0xfffffff009db4cc8: 8bbe9497  bl	#0xfffffff0082e46f4
0xfffffff009db4ccc: 40300090  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db4cd0: 00003491  add	x0, x0, #0xd00
0xfffffff009db4cd4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009db4cd8: ff2303d5  autibsp	
0xfffffff009db4cdc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009db4ce0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009db4ce8
0xfffffff009db4ce4: 208e38d4  brk	#0xc471
0xfffffff009db4ce8: 83be9417  b	#0xfffffff0082e46f4
0xfffffff009db4cec: 5f2403d5  bti	c
0xfffffff009db4cf0: 48300090  adrp	x8, #0xfffffff00a3bc000
0xfffffff009db4cf4: 08e11d91  add	x8, x8, #0x778
0xfffffff009db4cf8: 100140f9  ldr	x16, [x8]
0xfffffff009db4cfc: 700000b4  cbz	x16, #0xfffffff009db4d08
0xfffffff009db4d00: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009db4d04: 110a1fd7  braa	x16, x17
0xfffffff009db4d08: 00008052  mov	w0, #0
0xfffffff009db4d0c: c0035fd6  ret	
0xfffffff009db4d10: 5f2403d5  bti	c
0xfffffff009db4d14: 48300090  adrp	x8, #0xfffffff00a3bc000
0xfffffff009db4d18: 08811a91  add	x8, x8, #0x6a0
0xfffffff009db4d1c: 00410091  add	x0, x8, #0x10
0xfffffff009db4d20: c0035fd6  ret	
0xfffffff009db4d24: 5f2403d5  bti	c
0xfffffff009db4d28: 48300090  adrp	x8, #0xfffffff00a3bc000
0xfffffff009db4d2c: 08811a91  add	x8, x8, #0x6a0
0xfffffff009db4d30: 00410191  add	x0, x8, #0x50
0xfffffff009db4d34: c0035fd6  ret	
0xfffffff009db4d38: 5f2403d5  bti	c
0xfffffff009db4d3c: 48300090  adrp	x8, #0xfffffff00a3bc000
