; Candidate 14746
; ADRP+ADD at VM 0xfffffff0098d9dbc (fileoff 0x28d5dbc): page=0x1fdd04000 add_imm=0xd2f

0xfffffff0098d9d3c: 080240f9  ldr	x8, [x16]
0xfffffff0098d9d40: e90310aa  mov	x9, x16
0xfffffff0098d9d44: 010080d2  mov	x1, #0
0xfffffff0098d9d48: f10309aa  mov	x17, x9
0xfffffff0098d9d4c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0098d9d50: 11093fd7  blraa	x8, x17
0xfffffff0098d9d54: f40300aa  mov	x20, x0
0xfffffff0098d9d58: e00313aa  mov	x0, x19
0xfffffff0098d9d5c: 3b3baa97  bl	#0xfffffff008368a48
0xfffffff0098d9d60: f70300aa  mov	x23, x0
0xfffffff0098d9d64: b00240f9  ldr	x16, [x21]
0xfffffff0098d9d68: f10315aa  mov	x17, x21
0xfffffff0098d9d6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098d9d70: 301ac1da  autda	x16, x17
0xfffffff0098d9d74: f10310aa  mov	x17, x16
0xfffffff0098d9d78: f147c1da  xpacd	x17
0xfffffff0098d9d7c: 1f0211eb  cmp	x16, x17
0xfffffff0098d9d80: 40000054  b.eq	#0xfffffff0098d9d88
0xfffffff0098d9d84: 408e38d4  brk	#0xc472
0xfffffff0098d9d88: 08a20791  add	x8, x16, #0x1e8
0xfffffff0098d9d8c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0098d9d90: e00315aa  mov	x0, x21
0xfffffff0098d9d94: 010080d2  mov	x1, #0
0xfffffff0098d9d98: f10308aa  mov	x17, x8
0xfffffff0098d9d9c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0098d9da0: 31093fd7  blraa	x9, x17
0xfffffff0098d9da4: f80300aa  mov	x24, x0
0xfffffff0098d9da8: e00315aa  mov	x0, x21
0xfffffff0098d9dac: 273baa97  bl	#0xfffffff008368a48
0xfffffff0098d9db0: e0db01a9  stp	x0, x22, [sp, #0x18]
0xfffffff0098d9db4: f7e300a9  stp	x23, x24, [sp, #8]
0xfffffff0098d9db8: f40300f9  str	x20, [sp]
0xfffffff0098d9dbc: 20e8fe90  adrp	x0, #0xfffffff0075dd000
0xfffffff0098d9dc0: 00bc3491  add	x0, x0, #0xd2f
0xfffffff0098d9dc4: 97f4a997  bl	#0xfffffff008357020
0xfffffff0098d9dc8: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff0098d9dcc: 002540a9  ldp	x0, x9, [x8]
0xfffffff0098d9dd0: 3f0100f1  cmp	x9, #0
0xfffffff0098d9dd4: 241155fa  ccmp	x9, x21, #4, ne
0xfffffff0098d9dd8: f4179f1a  cset	w20, eq
0xfffffff0098d9ddc: 100040f9  ldr	x16, [x0]
0xfffffff0098d9de0: f10300aa  mov	x17, x0
0xfffffff0098d9de4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098d9de8: 301ac1da  autda	x16, x17
0xfffffff0098d9dec: f10310aa  mov	x17, x16
0xfffffff0098d9df0: f147c1da  xpacd	x17
0xfffffff0098d9df4: 1f0211eb  cmp	x16, x17
0xfffffff0098d9df8: 40000054  b.eq	#0xfffffff0098d9e00
0xfffffff0098d9dfc: 408e38d4  brk	#0xc472
0xfffffff0098d9e00: 08420491  add	x8, x16, #0x110
0xfffffff0098d9e04: 098a40f9  ldr	x9, [x16, #0x110]
0xfffffff0098d9e08: e10315aa  mov	x1, x21
0xfffffff0098d9e0c: f10308aa  mov	x17, x8
0xfffffff0098d9e10: d170f9f2  movk	x17, #0xcb86, lsl #48
0xfffffff0098d9e14: 31093fd7  blraa	x9, x17
0xfffffff0098d9e18: 20070035  cbnz	w0, #0xfffffff0098d9efc
0xfffffff0098d9e1c: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff0098d9e20: 000140f9  ldr	x0, [x8]
0xfffffff0098d9e24: 100040f9  ldr	x16, [x0]
0xfffffff0098d9e28: f10300aa  mov	x17, x0
0xfffffff0098d9e2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098d9e30: 301ac1da  autda	x16, x17
0xfffffff0098d9e34: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff0098d9e38: e90310aa  mov	x9, x16
