; Candidate 3056
; ADRP+ADD at VM 0xfffffff00870fda4 (fileoff 0x170bda4): page=0x1fea22000 add_imm=0xd90

0xfffffff00870fd24: 687650f9  ldr	x8, [x19, #0x20e8]
0xfffffff00870fd28: 09d08452  mov	w9, #0x2680
0xfffffff00870fd2c: 0820a99b  umaddl	x8, w0, w9, x8
0xfffffff00870fd30: 29288352  mov	w9, #0x1941
0xfffffff00870fd34: 08696938  ldrb	w8, [x8, x9]
0xfffffff00870fd38: 48f6ff34  cbz	w8, #0xfffffff00870fc00
0xfffffff00870fd3c: e00313aa  mov	x0, x19
0xfffffff00870fd40: 92360294  bl	#0xfffffff00879d788
0xfffffff00870fd44: e0f50736  tbz	w0, #0, #0xfffffff00870fc00
0xfffffff00870fd48: 81020014  b	#0xfffffff00871074c
0xfffffff00870fd4c: 9f2403d5  bti	j
0xfffffff00870fd50: 686252f9  ldr	x8, [x19, #0x24c0]
0xfffffff00870fd54: 69824cb9  ldr	w9, [x19, #0xc80]
0xfffffff00870fd58: 2a008052  mov	w10, #1
0xfffffff00870fd5c: 0a7929b8  str	w10, [x8, x9, lsl #2]
0xfffffff00870fd60: 700240f9  ldr	x16, [x19]
0xfffffff00870fd64: f10313aa  mov	x17, x19
0xfffffff00870fd68: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00870fd6c: 301ac1da  autda	x16, x17
0xfffffff00870fd70: 113080d2  mov	x17, #0x180
0xfffffff00870fd74: 1002118b  add	x16, x16, x17
0xfffffff00870fd78: 080240f9  ldr	x8, [x16]
0xfffffff00870fd7c: e90310aa  mov	x9, x16
0xfffffff00870fd80: e00313aa  mov	x0, x19
0xfffffff00870fd84: 0100b012  mov	w1, #0x7fffffff
0xfffffff00870fd88: f10309aa  mov	x17, x9
0xfffffff00870fd8c: b136faf2  movk	x17, #0xd1b5, lsl #48
0xfffffff00870fd90: 11093fd7  blraa	x8, x17
0xfffffff00870fd94: 9bffff17  b	#0xfffffff00870fc00
0xfffffff00870fd98: 0852ffd0  adrp	x8, #0xfffffff007151000
0xfffffff00870fd9c: 08491591  add	x8, x8, #0x552
0xfffffff00870fda0: e80300f9  str	x8, [sp]
0xfffffff00870fda4: 0051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00870fda8: 00403691  add	x0, x0, #0xd90
0xfffffff00870fdac: 6197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870fdb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870fdb4: 4351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00870fdb8: 63ac2c91  add	x3, x3, #0xb2b
0xfffffff00870fdbc: 02008052  mov	w2, #0
0xfffffff00870fdc0: dc8cf097  bl	#0xfffffff008333130
0xfffffff00870fdc4: 68328052  mov	w8, #0x193
0xfffffff00870fdc8: dffbff17  b	#0xfffffff00870ed44
0xfffffff00870fdcc: 09008052  mov	w9, #0
0xfffffff00870fdd0: 69b23139  strb	w9, [x19, #0xc6c]
0xfffffff00870fdd4: 08014039  ldrb	w8, [x8]
0xfffffff00870fdd8: 1f050071  cmp	w8, #1
0xfffffff00870fddc: e8179f1a  cset	w8, eq
0xfffffff00870fde0: 68b63139  strb	w8, [x19, #0xc6d]
0xfffffff00870fde4: 796a0cb9  str	w25, [x19, #0xc68]
0xfffffff00870fde8: 62e23a91  add	x2, x19, #0xeb8
0xfffffff00870fdec: 700240f9  ldr	x16, [x19]
0xfffffff00870fdf0: f10313aa  mov	x17, x19
0xfffffff00870fdf4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00870fdf8: 301ac1da  autda	x16, x17
0xfffffff00870fdfc: f10310aa  mov	x17, x16
0xfffffff00870fe00: f147c1da  xpacd	x17
0xfffffff00870fe04: 1f0211eb  cmp	x16, x17
0xfffffff00870fe08: 40000054  b.eq	#0xfffffff00870fe10
0xfffffff00870fe0c: 408e38d4  brk	#0xc472
0xfffffff00870fe10: 08c20491  add	x8, x16, #0x130
0xfffffff00870fe14: 099a40f9  ldr	x9, [x16, #0x130]
0xfffffff00870fe18: e00313aa  mov	x0, x19
0xfffffff00870fe1c: e10315aa  mov	x1, x21
0xfffffff00870fe20: e30319aa  mov	x3, x25
