; Candidate 10025
; ADRP+ADD at VM 0xfffffff008c7cd88 (fileoff 0x1c78d88): page=0x1fe6cf000 add_imm=0xe90

0xfffffff008c7cd08: bf020091  mov	sp, x21
0xfffffff008c7cd0c: e00315aa  mov	x0, x21
0xfffffff008c7cd10: e10303aa  mov	x1, x3
0xfffffff008c7cd14: 8b3fc397  bl	#0xfffffff007d4cb40
0xfffffff008c7cd18: f00240f9  ldr	x16, [x23]
0xfffffff008c7cd1c: f10317aa  mov	x17, x23
0xfffffff008c7cd20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c7cd24: 301ac1da  autda	x16, x17
0xfffffff008c7cd28: f10310aa  mov	x17, x16
0xfffffff008c7cd2c: f147c1da  xpacd	x17
0xfffffff008c7cd30: 1f0211eb  cmp	x16, x17
0xfffffff008c7cd34: 40000054  b.eq	#0xfffffff008c7cd3c
0xfffffff008c7cd38: 408e38d4  brk	#0xc472
0xfffffff008c7cd3c: 08a21a91  add	x8, x16, #0x6a8
0xfffffff008c7cd40: 095643f9  ldr	x9, [x16, #0x6a8]
0xfffffff008c7cd44: e00317aa  mov	x0, x23
0xfffffff008c7cd48: e10316aa  mov	x1, x22
0xfffffff008c7cd4c: e20315aa  mov	x2, x21
0xfffffff008c7cd50: e30313aa  mov	x3, x19
0xfffffff008c7cd54: f10308aa  mov	x17, x8
0xfffffff008c7cd58: 5172fcf2  movk	x17, #0xe392, lsl #48
0xfffffff008c7cd5c: 31093fd7  blraa	x9, x17
0xfffffff008c7cd60: 680600d1  sub	x8, x19, #1
0xfffffff008c7cd64: 1ffd00f1  cmp	x8, #0x3f
0xfffffff008c7cd68: e8000054  b.hi	#0xfffffff008c7cd84
0xfffffff008c7cd6c: f60300aa  mov	x22, x0
0xfffffff008c7cd70: e00314aa  mov	x0, x20
0xfffffff008c7cd74: e10315aa  mov	x1, x21
0xfffffff008c7cd78: e20313aa  mov	x2, x19
0xfffffff008c7cd7c: 053fc397  bl	#0xfffffff007d4c990
0xfffffff008c7cd80: 08000014  b	#0xfffffff008c7cda0
0xfffffff008c7cd84: f30f1ff8  str	x19, [sp, #-0x10]!
0xfffffff008c7cd88: 6036fff0  adrp	x0, #0xfffffff00734b000
0xfffffff008c7cd8c: 00403a91  add	x0, x0, #0xe90
0xfffffff008c7cd90: a468db97  bl	#0xfffffff008357020
0xfffffff008c7cd94: ff430091  add	sp, sp, #0x10
0xfffffff008c7cd98: 56588052  mov	w22, #0x2c2
0xfffffff008c7cd9c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008c7cda0: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008c7cda4: 6971ff90  adrp	x9, #0xfffffff007aa8000
0xfffffff008c7cda8: 29e940f9  ldr	x9, [x9, #0x1d0]
0xfffffff008c7cdac: 290140f9  ldr	x9, [x9]
0xfffffff008c7cdb0: 3f0108eb  cmp	x9, x8
0xfffffff008c7cdb4: 01010054  b.ne	#0xfffffff008c7cdd4
0xfffffff008c7cdb8: e00316aa  mov	x0, x22
0xfffffff008c7cdbc: bfc300d1  sub	sp, x29, #0x30
0xfffffff008c7cdc0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008c7cdc4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008c7cdc8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008c7cdcc: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008c7cdd0: ff0f5fd6  retab	
0xfffffff008c7cdd4: 1e84c397  bl	#0xfffffff007d5de4c
0xfffffff008c7cdd8: 7f2303d5  pacibsp	
0xfffffff008c7cddc: ff4301d1  sub	sp, sp, #0x50
0xfffffff008c7cde0: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008c7cde4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008c7cde8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008c7cdec: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008c7cdf0: fd030191  add	x29, sp, #0x40
0xfffffff008c7cdf4: f50303aa  mov	x21, x3
0xfffffff008c7cdf8: f60302aa  mov	x22, x2
0xfffffff008c7cdfc: f40301aa  mov	x20, x1
0xfffffff008c7ce00: f30300aa  mov	x19, x0
0xfffffff008c7ce04: ff3f0039  strb	wzr, [sp, #0xf]
