; Candidate 16593
; ADRP+ADD at VM 0xfffffff009efc468 (fileoff 0x2ef8468): page=0x1fd955000 add_imm=0xcde

0xfffffff009efc3e8: 883640f9  ldr	x8, [x20, #0x68]
0xfffffff009efc3ec: 080ba037  tbnz	w8, #0x14, #0xfffffff009efc54c
0xfffffff009efc3f0: e80b9836  tbz	w8, #0x13, #0xfffffff009efc56c
0xfffffff009efc3f4: e00313aa  mov	x0, x19
0xfffffff009efc3f8: e14740f9  ldr	x1, [sp, #0x88]
0xfffffff009efc3fc: 02008852  mov	w2, #0x4000
0xfffffff009efc400: 03008052  mov	w3, #0
0xfffffff009efc404: 04008052  mov	w4, #0
0xfffffff009efc408: e50319aa  mov	x5, x25
0xfffffff009efc40c: baf4fc97  bl	#0xfffffff009e396f4
0xfffffff009efc410: 57000014  b	#0xfffffff009efc56c
0xfffffff009efc414: a8f24139  ldrb	w8, [x21, #0x7c]
0xfffffff009efc418: 68002836  tbz	w8, #5, #0xfffffff009efc424
0xfffffff009efc41c: a84a40f9  ldr	x8, [x21, #0x90]
0xfffffff009efc420: 28f5ffb5  cbnz	x8, #0xfffffff009efc2c4
0xfffffff009efc424: 48008052  mov	w8, #2
0xfffffff009efc428: a8060039  strb	w8, [x21, #1]
0xfffffff009efc42c: e00313aa  mov	x0, x19
0xfffffff009efc430: 21008052  mov	w1, #1
0xfffffff009efc434: e20315aa  mov	x2, x21
0xfffffff009efc438: e32b40f9  ldr	x3, [sp, #0x50]
0xfffffff009efc43c: 5ab4ff97  bl	#0xfffffff009ee95a4
0xfffffff009efc440: 60030034  cbz	w0, #0xfffffff009efc4ac
0xfffffff009efc444: fb0300aa  mov	x27, x0
0xfffffff009efc448: 083e8452  mov	w8, #0x21f0
0xfffffff009efc44c: 6802088b  add	x8, x19, x8
0xfffffff009efc450: a90640f9  ldr	x9, [x21, #8]
0xfffffff009efc454: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009efc458: a8cafeb0  adrp	x8, #0xfffffff007851000
0xfffffff009efc45c: 084d3391  add	x8, x8, #0xcd3
0xfffffff009efc460: c9f68752  mov	w9, #0x3fb6
0xfffffff009efc464: e82700a9  stp	x8, x9, [sp]
0xfffffff009efc468: a0cafeb0  adrp	x0, #0xfffffff007851000
0xfffffff009efc46c: 00783391  add	x0, x0, #0xcde
0xfffffff009efc470: 150dfe97  bl	#0xfffffff009e7f8c4
0xfffffff009efc474: 15008052  mov	w21, #0
0xfffffff009efc478: 010080d2  mov	x1, #0
0xfffffff009efc47c: 16008052  mov	w22, #0
0xfffffff009efc480: e85740f9  ldr	x8, [sp, #0xa8]
0xfffffff009efc484: 1b0100b9  str	w27, [x8]
0xfffffff009efc488: 17008052  mov	w23, #0
0xfffffff009efc48c: 1c008052  mov	w28, #0
0xfffffff009efc490: 14008052  mov	w20, #0
0xfffffff009efc494: 19008052  mov	w25, #0
0xfffffff009efc498: bf020071  cmp	w21, #0
0xfffffff009efc49c: f5079f1a  cset	w21, ne
0xfffffff009efc4a0: df020071  cmp	w22, #0
0xfffffff009efc4a4: f6079f1a  cset	w22, ne
0xfffffff009efc4a8: 66fdff17  b	#0xfffffff009efba40
0xfffffff009efc4ac: a2cafeb0  adrp	x2, #0xfffffff007851000
0xfffffff009efc4b0: 42283491  add	x2, x2, #0xd0a
0xfffffff009efc4b4: e00313aa  mov	x0, x19
0xfffffff009efc4b8: e10315aa  mov	x1, x21
0xfffffff009efc4bc: 2cb30094  bl	#0xfffffff009f2916c
0xfffffff009efc4c0: c0c9fed0  adrp	x0, #0xfffffff007836000
0xfffffff009efc4c4: 00b40f91  add	x0, x0, #0x3ed
0xfffffff009efc4c8: 010080d2  mov	x1, #0
0xfffffff009efc4cc: 02008052  mov	w2, #0
0xfffffff009efc4d0: bac29597  bl	#0xfffffff00846cfb8
0xfffffff009efc4d4: 60000035  cbnz	w0, #0xfffffff009efc4e0
0xfffffff009efc4d8: a8aa4139  ldrb	w8, [x21, #0x6a]
0xfffffff009efc4dc: c8123837  tbnz	w8, #7, #0xfffffff009efc734
0xfffffff009efc4e0: fc2300f9  str	x28, [sp, #0x40]
0xfffffff009efc4e4: e0031aaa  mov	x0, x26
