; Candidate 5521
; ADRP+ADD at VM 0xfffffff0087f62a0 (fileoff 0x17f22a0): page=0x1fe9f3000 add_imm=0xe80

0xfffffff0087f6220: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f6224: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f6228: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f622c: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6230: 08fd1691  add	x8, x8, #0x5bf
0xfffffff0087f6234: 898d8052  mov	w9, #0x46c
0xfffffff0087f6238: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f623c: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6240: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6244: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f6248: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f624c: e80e8052  mov	w8, #0x77
0xfffffff0087f6250: 0051ff90  adrp	x0, #0xfffffff007216000
0xfffffff0087f6254: 00081e91  add	x0, x0, #0x782
0xfffffff0087f6258: 96fcff17  b	#0xfffffff0087f54b0
0xfffffff0087f625c: d4f70294  bl	#0xfffffff0088b41ac
0xfffffff0087f6260: f40300aa  mov	x20, x0
0xfffffff0087f6264: 80008052  mov	w0, #4
0xfffffff0087f6268: 7a150294  bl	#0xfffffff00887b850
0xfffffff0087f626c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f6270: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f6274: f82704a9  stp	x24, x9, [sp, #0x40]
0xfffffff0087f6278: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087f627c: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6280: 08250991  add	x8, x8, #0x249
0xfffffff0087f6284: e9738052  mov	w9, #0x39f
0xfffffff0087f6288: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f628c: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6290: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6294: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f6298: e80e8052  mov	w8, #0x77
0xfffffff0087f629c: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f62a0: 804ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f62a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f62a8: 8190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f62ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f62b0: 4352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f62b4: 63403291  add	x3, x3, #0xc90
0xfffffff0087f62b8: 02008052  mov	w2, #0
0xfffffff0087f62bc: 9df3ec97  bl	#0xfffffff008333130
0xfffffff0087f62c0: 05fdff17  b	#0xfffffff0087f56d4
0xfffffff0087f62c4: e00e8052  mov	w0, #0x77
0xfffffff0087f62c8: 81008052  mov	w1, #4
0xfffffff0087f62cc: 41150294  bl	#0xfffffff00887b7d0
0xfffffff0087f62d0: 20a0ff34  cbz	w0, #0xfffffff0087f56d4
0xfffffff0087f62d4: e00e8052  mov	w0, #0x77
0xfffffff0087f62d8: 50150294  bl	#0xfffffff00887b818
0xfffffff0087f62dc: f50300aa  mov	x21, x0
0xfffffff0087f62e0: b3f70294  bl	#0xfffffff0088b41ac
0xfffffff0087f62e4: f40300aa  mov	x20, x0
0xfffffff0087f62e8: 80008052  mov	w0, #4
0xfffffff0087f62ec: 59150294  bl	#0xfffffff00887b850
0xfffffff0087f62f0: f5300034  cbz	w21, #0xfffffff0087f690c
0xfffffff0087f62f4: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f62f8: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f62fc: e9ef04a9  stp	x9, x27, [sp, #0x48]
0xfffffff0087f6300: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f6304: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6308: 08410591  add	x8, x8, #0x150
0xfffffff0087f630c: 89708052  mov	w9, #0x384
0xfffffff0087f6310: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f6314: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6318: 08213591  add	x8, x8, #0xd48
0xfffffff0087f631c: e8a701a9  stp	x8, x9, [sp, #0x18]
