; Candidate 14554
; ADRP+ADD at VM 0xfffffff00980d670 (fileoff 0x2809670): page=0x1fe441000 add_imm=0xe60

0xfffffff00980d5f0: 10820591  add	x16, x16, #0x160
0xfffffff00980d5f4: 10420091  add	x16, x16, #0x10
0xfffffff00980d5f8: f10300aa  mov	x17, x0
0xfffffff00980d5fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00980d600: 300ac1da  pacda	x16, x17
0xfffffff00980d604: 100000f9  str	x16, [x0]
0xfffffff00980d608: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00980d60c: ff0f5fd6  retab	
0xfffffff00980d610: 5f2403d5  bti	c
0xfffffff00980d614: a5060014  b	#0xfffffff00980f0a8
0xfffffff00980d618: 5f2403d5  bti	c
0xfffffff00980d61c: a3060014  b	#0xfffffff00980f0a8
0xfffffff00980d620: 7f2303d5  pacibsp	
0xfffffff00980d624: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00980d628: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00980d62c: fd430091  add	x29, sp, #0x10
0xfffffff00980d630: f30300aa  mov	x19, x0
0xfffffff00980d634: 9d060094  bl	#0xfffffff00980f0a8
0xfffffff00980d638: 0022ffb0  adrp	x0, #0xfffffff007c4e000
0xfffffff00980d63c: 00803991  add	x0, x0, #0xe60
0xfffffff00980d640: e10313aa  mov	x1, x19
0xfffffff00980d644: 020a8052  mov	w2, #0x50
0xfffffff00980d648: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00980d64c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00980d650: ff2303d5  autibsp	
0xfffffff00980d654: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00980d658: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00980d660
0xfffffff00980d65c: 208e38d4  brk	#0xc471
0xfffffff00980d660: 0f68ab17  b	#0xfffffff0082e769c
0xfffffff00980d664: 5f2403d5  bti	c
0xfffffff00980d668: e20301aa  mov	x2, x1
0xfffffff00980d66c: e10300aa  mov	x1, x0
0xfffffff00980d670: 0022ffb0  adrp	x0, #0xfffffff007c4e000
0xfffffff00980d674: 00803991  add	x0, x0, #0xe60
0xfffffff00980d678: 0968ab17  b	#0xfffffff0082e769c
0xfffffff00980d67c: 5f2403d5  bti	c
0xfffffff00980d680: 205c00d0  adrp	x0, #0xfffffff00a393000
0xfffffff00980d684: 00400891  add	x0, x0, #0x210
0xfffffff00980d688: c0035fd6  ret	
0xfffffff00980d68c: 7f2303d5  pacibsp	
0xfffffff00980d690: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00980d694: fd030091  mov	x29, sp
0xfffffff00980d698: 41edfed0  adrp	x1, #0xfffffff0075b7000
0xfffffff00980d69c: 210c0d91  add	x1, x1, #0x343
0xfffffff00980d6a0: 225c00d0  adrp	x2, #0xfffffff00a393000
0xfffffff00980d6a4: 42800991  add	x2, x2, #0x260
0xfffffff00980d6a8: 030a8052  mov	w3, #0x50
0xfffffff00980d6ac: 2359ab97  bl	#0xfffffff0082e3b38
0xfffffff00980d6b0: 1022ffb0  adrp	x16, #0xfffffff007c4e000
0xfffffff00980d6b4: 10c20991  add	x16, x16, #0x270
0xfffffff00980d6b8: 10420091  add	x16, x16, #0x10
0xfffffff00980d6bc: f10300aa  mov	x17, x0
0xfffffff00980d6c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00980d6c4: 300ac1da  pacda	x16, x17
0xfffffff00980d6c8: 100000f9  str	x16, [x0]
0xfffffff00980d6cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00980d6d0: ff0f5fd6  retab	
0xfffffff00980d6d4: 7f2303d5  pacibsp	
0xfffffff00980d6d8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00980d6dc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00980d6e0: fd430091  add	x29, sp, #0x10
0xfffffff00980d6e4: 0022ffb0  adrp	x0, #0xfffffff007c4e000
0xfffffff00980d6e8: 00803991  add	x0, x0, #0xe60
0xfffffff00980d6ec: 010a8052  mov	w1, #0x50
