; Candidate 13422
; ADRP+ADD at VM 0xfffffff0092cfb80 (fileoff 0x22cbb80): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cfb00: 400300b4  cbz	x0, #0xfffffff0092cfb68
0xfffffff0092cfb04: 700240f9  ldr	x16, [x19]
0xfffffff0092cfb08: f10313aa  mov	x17, x19
0xfffffff0092cfb0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfb10: 301ac1da  autda	x16, x17
0xfffffff0092cfb14: 116e80d2  mov	x17, #0x370
0xfffffff0092cfb18: 1002118b  add	x16, x16, x17
0xfffffff0092cfb1c: 080240f9  ldr	x8, [x16]
0xfffffff0092cfb20: e90310aa  mov	x9, x16
0xfffffff0092cfb24: e00313aa  mov	x0, x19
0xfffffff0092cfb28: f10309aa  mov	x17, x9
0xfffffff0092cfb2c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cfb30: 11093fd7  blraa	x8, x17
0xfffffff0092cfb34: 100040f9  ldr	x16, [x0]
0xfffffff0092cfb38: f10300aa  mov	x17, x0
0xfffffff0092cfb3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfb40: 301ac1da  autda	x16, x17
0xfffffff0092cfb44: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfb48: 1002118b  add	x16, x16, x17
0xfffffff0092cfb4c: 080240f9  ldr	x8, [x16]
0xfffffff0092cfb50: e90310aa  mov	x9, x16
0xfffffff0092cfb54: 010080d2  mov	x1, #0
0xfffffff0092cfb58: f10309aa  mov	x17, x9
0xfffffff0092cfb5c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfb60: 11093fd7  blraa	x8, x17
0xfffffff0092cfb64: 03000014  b	#0xfffffff0092cfb70
0xfffffff0092cfb68: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cfb6c: 00102191  add	x0, x0, #0x844
0xfffffff0092cfb70: a8024079  ldrh	w8, [x21]
0xfffffff0092cfb74: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cfb78: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cfb7c: f60300f9  str	x22, [sp]
0xfffffff0092cfb80: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cfb84: 00983891  add	x0, x0, #0xe26
0xfffffff0092cfb88: 261dc297  bl	#0xfffffff008357020
0xfffffff0092cfb8c: 75823a91  add	x21, x19, #0xea0
0xfffffff0092cfb90: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cfb94: 94ba3191  add	x20, x20, #0xc6e
0xfffffff0092cfb98: e00314aa  mov	x0, x20
0xfffffff0092cfb9c: e10315aa  mov	x1, x21
0xfffffff0092cfba0: 42008052  mov	w2, #2
0xfffffff0092cfba4: 0575c697  bl	#0xfffffff00846cfb8
0xfffffff0092cfba8: c0070034  cbz	w0, #0xfffffff0092cfca0
0xfffffff0092cfbac: 700240f9  ldr	x16, [x19]
0xfffffff0092cfbb0: f10313aa  mov	x17, x19
0xfffffff0092cfbb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfbb8: 301ac1da  autda	x16, x17
0xfffffff0092cfbbc: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfbc0: 1002118b  add	x16, x16, x17
0xfffffff0092cfbc4: 080240f9  ldr	x8, [x16]
0xfffffff0092cfbc8: e90310aa  mov	x9, x16
0xfffffff0092cfbcc: e00313aa  mov	x0, x19
0xfffffff0092cfbd0: 010080d2  mov	x1, #0
0xfffffff0092cfbd4: f10309aa  mov	x17, x9
0xfffffff0092cfbd8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfbdc: 11093fd7  blraa	x8, x17
0xfffffff0092cfbe0: f60300aa  mov	x22, x0
0xfffffff0092cfbe4: 700240f9  ldr	x16, [x19]
0xfffffff0092cfbe8: f10313aa  mov	x17, x19
0xfffffff0092cfbec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfbf0: 301ac1da  autda	x16, x17
0xfffffff0092cfbf4: 116e80d2  mov	x17, #0x370
0xfffffff0092cfbf8: 1002118b  add	x16, x16, x17
0xfffffff0092cfbfc: 080240f9  ldr	x8, [x16]
