; Candidate 12481
; ADRP+ADD at VM 0xfffffff0090a6cec (fileoff 0x20a2cec): page=0x1fe3bd000 add_imm=0xea9

0xfffffff0090a6c6c: f10302aa  mov	x17, x2
0xfffffff0090a6c70: b190eff2  movk	x17, #0x7c85, lsl #48
0xfffffff0090a6c74: 110a1fd7  braa	x16, x17
0xfffffff0090a6c78: 945a0051  sub	w20, w20, #0x16
0xfffffff0090a6c7c: e00314aa  mov	x0, x20
0xfffffff0090a6c80: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0090a6c84: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0090a6c88: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0090a6c8c: ff0f5fd6  retab	
0xfffffff0090a6c90: 7f2303d5  pacibsp	
0xfffffff0090a6c94: ff0301d1  sub	sp, sp, #0x40
0xfffffff0090a6c98: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0090a6c9c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0090a6ca0: fdc30091  add	x29, sp, #0x30
0xfffffff0090a6ca4: e11dffb0  adrp	x1, #0xfffffff007463000
0xfffffff0090a6ca8: 21e83991  add	x1, x1, #0xe7a
0xfffffff0090a6cac: 18000094  bl	#0xfffffff0090a6d0c
0xfffffff0090a6cb0: f30300aa  mov	x19, x0
0xfffffff0090a6cb4: 20020035  cbnz	w0, #0xfffffff0090a6cf8
0xfffffff0090a6cb8: 489300f0  adrp	x8, #0xfffffff00a311000
0xfffffff0090a6cbc: 08a10391  add	x8, x8, #0xe8
0xfffffff0090a6cc0: 08014039  ldrb	w8, [x8]
0xfffffff0090a6cc4: 1f190171  cmp	w8, #0x46
0xfffffff0090a6cc8: 88010054  b.hi	#0xfffffff0090a6cf8
0xfffffff0090a6ccc: a81dff90  adrp	x8, #0xfffffff00745a000
0xfffffff0090a6cd0: 08891691  add	x8, x8, #0x5a2
0xfffffff0090a6cd4: e91dffb0  adrp	x9, #0xfffffff007463000
0xfffffff0090a6cd8: 29f53b91  add	x9, x9, #0xefd
0xfffffff0090a6cdc: ea1dffb0  adrp	x10, #0xfffffff007463000
0xfffffff0090a6ce0: 4a212d91  add	x10, x10, #0xb48
0xfffffff0090a6ce4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0090a6ce8: ea0300f9  str	x10, [sp]
0xfffffff0090a6cec: e01dffb0  adrp	x0, #0xfffffff007463000
0xfffffff0090a6cf0: 00a43a91  add	x0, x0, #0xea9
0xfffffff0090a6cf4: cbc0ca97  bl	#0xfffffff008357020
0xfffffff0090a6cf8: e00313aa  mov	x0, x19
0xfffffff0090a6cfc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0090a6d00: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0090a6d04: ff030191  add	sp, sp, #0x40
0xfffffff0090a6d08: ff0f5fd6  retab	
0xfffffff0090a6d0c: 7f2303d5  pacibsp	
0xfffffff0090a6d10: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090a6d14: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090a6d18: fd430091  add	x29, sp, #0x10
0xfffffff0090a6d1c: 2968cd97  bl	#0xfffffff008400dc0
0xfffffff0090a6d20: 800200b4  cbz	x0, #0xfffffff0090a6d70
0xfffffff0090a6d24: 0855fff0  adrp	x8, #0xfffffff007b49000
0xfffffff0090a6d28: 08c541f9  ldr	x8, [x8, #0x388]
0xfffffff0090a6d2c: 080140f9  ldr	x8, [x8]
0xfffffff0090a6d30: 080140f9  ldr	x8, [x8]
0xfffffff0090a6d34: 1f0008eb  cmp	x0, x8
0xfffffff0090a6d38: f3179f1a  cset	w19, eq
0xfffffff0090a6d3c: 100040f9  ldr	x16, [x0]
0xfffffff0090a6d40: f10300aa  mov	x17, x0
0xfffffff0090a6d44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090a6d48: 301ac1da  autda	x16, x17
0xfffffff0090a6d4c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090a6d50: e90310aa  mov	x9, x16
0xfffffff0090a6d54: f10309aa  mov	x17, x9
0xfffffff0090a6d58: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090a6d5c: 11093fd7  blraa	x8, x17
0xfffffff0090a6d60: e00313aa  mov	x0, x19
0xfffffff0090a6d64: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090a6d68: f44fc2a8  ldp	x20, x19, [sp], #0x20
