; Candidate 16492
; ADRP+ADD at VM 0xfffffff009ec4b28 (fileoff 0x2ec0b28): page=0x1fd97f000 add_imm=0xdd5

0xfffffff009ec4aa8: 08210391  add	x8, x8, #0xc8
0xfffffff009ec4aac: 080140f9  ldr	x8, [x8]
0xfffffff009ec4ab0: 150140f9  ldr	x21, [x8]
0xfffffff009ec4ab4: 689640f9  ldr	x8, [x19, #0x128]
0xfffffff009ec4ab8: f68740b9  ldr	w22, [sp, #0x84]
0xfffffff009ec4abc: 080600b4  cbz	x8, #0xfffffff009ec4b7c
0xfffffff009ec4ac0: 686a40f9  ldr	x8, [x19, #0xd0]
0xfffffff009ec4ac4: 01b541f9  ldr	x1, [x8, #0x368]
0xfffffff009ec4ac8: e00313aa  mov	x0, x19
0xfffffff009ec4acc: 0d12fe97  bl	#0xfffffff009e49300
0xfffffff009ec4ad0: 60010034  cbz	w0, #0xfffffff009ec4afc
0xfffffff009ec4ad4: 083e8452  mov	w8, #0x21f0
0xfffffff009ec4ad8: 6802088b  add	x8, x19, x8
0xfffffff009ec4adc: 098c8152  mov	w9, #0xc60
0xfffffff009ec4ae0: eacbfef0  adrp	x10, #0xfffffff007843000
0xfffffff009ec4ae4: 4a353091  add	x10, x10, #0xc0d
0xfffffff009ec4ae8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ec4aec: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009ec4af0: e0cbfef0  adrp	x0, #0xfffffff007843000
0xfffffff009ec4af4: 008c3691  add	x0, x0, #0xda3
0xfffffff009ec4af8: 73ebfe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec4afc: e00313aa  mov	x0, x19
0xfffffff009ec4b00: 21008052  mov	w1, #1
0xfffffff009ec4b04: 04ebfe97  bl	#0xfffffff009e7f714
0xfffffff009ec4b08: 60010034  cbz	w0, #0xfffffff009ec4b34
0xfffffff009ec4b0c: 083e8452  mov	w8, #0x21f0
0xfffffff009ec4b10: 6802088b  add	x8, x19, x8
0xfffffff009ec4b14: 698d8152  mov	w9, #0xc6b
0xfffffff009ec4b18: eacbfef0  adrp	x10, #0xfffffff007843000
0xfffffff009ec4b1c: 4a353091  add	x10, x10, #0xc0d
0xfffffff009ec4b20: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ec4b24: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009ec4b28: e0cbfef0  adrp	x0, #0xfffffff007843000
0xfffffff009ec4b2c: 00543791  add	x0, x0, #0xdd5
0xfffffff009ec4b30: 65ebfe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec4b34: 28028052  mov	w8, #0x11
0xfffffff009ec4b38: c202082a  orr	w2, w22, w8
0xfffffff009ec4b3c: e00314aa  mov	x0, x20
0xfffffff009ec4b40: 010080d2  mov	x1, #0
0xfffffff009ec4b44: 9b228197  bl	#0xfffffff007f0d5b0
0xfffffff009ec4b48: 80030034  cbz	w0, #0xfffffff009ec4bb8
0xfffffff009ec4b4c: f90300aa  mov	x25, x0
0xfffffff009ec4b50: 083e8452  mov	w8, #0x21f0
0xfffffff009ec4b54: 6802088b  add	x8, x19, x8
0xfffffff009ec4b58: c98e8152  mov	w9, #0xc76
0xfffffff009ec4b5c: eacbfef0  adrp	x10, #0xfffffff007843000
0xfffffff009ec4b60: 4a353091  add	x10, x10, #0xc0d
0xfffffff009ec4b64: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ec4b68: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff009ec4b6c: e0cbfef0  adrp	x0, #0xfffffff007843000
0xfffffff009ec4b70: 00d03791  add	x0, x0, #0xdf4
0xfffffff009ec4b74: 54ebfe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec4b78: 52010014  b	#0xfffffff009ec50c0
0xfffffff009ec4b7c: e00313aa  mov	x0, x19
0xfffffff009ec4b80: baebff97  bl	#0xfffffff009ebfa68
0xfffffff009ec4b84: e0f9ff34  cbz	w0, #0xfffffff009ec4ac0
0xfffffff009ec4b88: 083e8452  mov	w8, #0x21f0
0xfffffff009ec4b8c: 6802088b  add	x8, x19, x8
0xfffffff009ec4b90: c98a8152  mov	w9, #0xc56
0xfffffff009ec4b94: eacbfef0  adrp	x10, #0xfffffff007843000
0xfffffff009ec4b98: 4a353091  add	x10, x10, #0xc0d
0xfffffff009ec4b9c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ec4ba0: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009ec4ba4: e0cbfef0  adrp	x0, #0xfffffff007843000
