; Candidate 4380
; ADRP+ADD at VM 0xfffffff0087a8de8 (fileoff 0x17a4de8): page=0x1fe989000 add_imm=0xd90

0xfffffff0087a8d68: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff0087a8d6c: 0941388b  add	x9, x8, w24, uxtw
0xfffffff0087a8d70: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087a8d74: c90100b4  cbz	x9, #0xfffffff0087a8dac
0xfffffff0087a8d78: 29e98052  mov	w9, #0x749
0xfffffff0087a8d7c: 284dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a8d80: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a8d84: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a8d88: 404cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a8d8c: 00403691  add	x0, x0, #0xd90
0xfffffff0087a8d90: a192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a8d94: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a8d98: 034dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a8d9c: 63f43791  add	x3, x3, #0xdfd
0xfffffff0087a8da0: 02008052  mov	w2, #0
0xfffffff0087a8da4: e328ee97  bl	#0xfffffff008333130
0xfffffff0087a8da8: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff0087a8dac: 0903080b  add	w9, w24, w8
0xfffffff0087a8db0: 8a0209ab  adds	x10, x20, x9
0xfffffff0087a8db4: 22030054  b.hs	#0xfffffff0087a8e18
0xfffffff0087a8db8: eb03182a  mov	w11, w24
0xfffffff0087a8dbc: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff0087a8dc0: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff0087a8dc4: aa8356f8  ldur	x10, [x29, #-0x98]
0xfffffff0087a8dc8: 540940f9  ldr	x20, [x10, #0x10]
0xfffffff0087a8dcc: 08010b8b  add	x8, x8, x11
0xfffffff0087a8dd0: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087a8dd4: e80100b4  cbz	x8, #0xfffffff0087a8e10
0xfffffff0087a8dd8: 49e98052  mov	w9, #0x74a
0xfffffff0087a8ddc: 284dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a8de0: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a8de4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a8de8: 404cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a8dec: 00403691  add	x0, x0, #0xd90
0xfffffff0087a8df0: a192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a8df4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a8df8: 034dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a8dfc: 63c43891  add	x3, x3, #0xe31
0xfffffff0087a8e00: 02008052  mov	w2, #0
0xfffffff0087a8e04: cb28ee97  bl	#0xfffffff008333130
0xfffffff0087a8e08: a80356b8  ldur	w8, [x29, #-0xa0]
0xfffffff0087a8e0c: 0903080b  add	w9, w24, w8
0xfffffff0087a8e10: 880209ab  adds	x8, x20, x9
0xfffffff0087a8e14: 63020054  b.lo	#0xfffffff0087a8e60
0xfffffff0087a8e18: 00008012  mov	w0, #-1
0xfffffff0087a8e1c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087a8e20: a992ffb0  adrp	x9, #0xfffffff0079fd000
0xfffffff0087a8e24: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff0087a8e28: 290140f9  ldr	x9, [x9]
0xfffffff0087a8e2c: 3f0108eb  cmp	x9, x8
0xfffffff0087a8e30: 21100054  b.ne	#0xfffffff0087a9034
0xfffffff0087a8e34: fd7b5ba9  ldp	x29, x30, [sp, #0x1b0]
0xfffffff0087a8e38: f44f5aa9  ldp	x20, x19, [sp, #0x1a0]
0xfffffff0087a8e3c: f65759a9  ldp	x22, x21, [sp, #0x190]
0xfffffff0087a8e40: f85f58a9  ldp	x24, x23, [sp, #0x180]
0xfffffff0087a8e44: fa6757a9  ldp	x26, x25, [sp, #0x170]
0xfffffff0087a8e48: fc6f56a9  ldp	x28, x27, [sp, #0x160]
0xfffffff0087a8e4c: ff030791  add	sp, sp, #0x1c0
0xfffffff0087a8e50: ff0f5fd6  retab	
0xfffffff0087a8e54: 204dfff0  adrp	x0, #0xfffffff00714f000
0xfffffff0087a8e58: 00dc1591  add	x0, x0, #0x577
0xfffffff0087a8e5c: 67030094  bl	#0xfffffff0087a9bf8
0xfffffff0087a8e60: a98353b8  ldur	w9, [x29, #-0xc8]
0xfffffff0087a8e64: 2901184b  sub	w9, w9, w24
