; Candidate 6482
; ADRP+ADD at VM 0xfffffff00882e4c8 (fileoff 0x182a4c8): page=0x1fe9bb000 add_imm=0xe80

0xfffffff00882e448: 00050034  cbz	w0, #0xfffffff00882e4e8
0xfffffff00882e44c: 400f8052  mov	w0, #0x7a
0xfffffff00882e450: f2340194  bl	#0xfffffff00887b818
0xfffffff00882e454: f60300aa  mov	x22, x0
0xfffffff00882e458: 55170294  bl	#0xfffffff0088b41ac
0xfffffff00882e45c: f70300aa  mov	x23, x0
0xfffffff00882e460: 00018052  mov	w0, #8
0xfffffff00882e464: fb340194  bl	#0xfffffff00887b850
0xfffffff00882e468: 96010034  cbz	w22, #0xfffffff00882e498
0xfffffff00882e46c: f54f03a9  stp	x21, x19, [sp, #0x30]
0xfffffff00882e470: fb5302a9  stp	x27, x20, [sp, #0x20]
0xfffffff00882e474: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882e478: 08a51791  add	x8, x8, #0x5e9
0xfffffff00882e47c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882e480: 480f8052  mov	w8, #0x7a
0xfffffff00882e484: 404fff90  adrp	x0, #0xfffffff007216000
0xfffffff00882e488: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00882e48c: f72300a9  stp	x23, x8, [sp]
0xfffffff00882e490: f423d697  bl	#0xfffffff007db7460
0xfffffff00882e494: 15000014  b	#0xfffffff00882e4e8
0xfffffff00882e498: 45170294  bl	#0xfffffff0088b41ac
0xfffffff00882e49c: f60300aa  mov	x22, x0
0xfffffff00882e4a0: 00018052  mov	w0, #8
0xfffffff00882e4a4: eb340194  bl	#0xfffffff00887b850
0xfffffff00882e4a8: e80313aa  mov	x8, x19
0xfffffff00882e4ac: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00882e4b0: fb5302a9  stp	x27, x20, [sp, #0x20]
0xfffffff00882e4b4: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882e4b8: 08a51791  add	x8, x8, #0x5e9
0xfffffff00882e4bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882e4c0: 480f8052  mov	w8, #0x7a
0xfffffff00882e4c4: f62300a9  stp	x22, x8, [sp]
0xfffffff00882e4c8: c04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882e4cc: 00003a91  add	x0, x0, #0xe80
0xfffffff00882e4d0: c18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882e4d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882e4d8: e350ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882e4dc: 63b82891  add	x3, x3, #0xa2e
0xfffffff00882e4e0: 02008052  mov	w2, #0
0xfffffff00882e4e4: 1313ec97  bl	#0xfffffff008333130
0xfffffff00882e4e8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00882e4ec: c98effd0  adrp	x9, #0xfffffff007a08000
0xfffffff00882e4f0: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882e4f4: 290140f9  ldr	x9, [x9]
0xfffffff00882e4f8: 3f0108eb  cmp	x9, x8
0xfffffff00882e4fc: 41010054  b.ne	#0xfffffff00882e524
0xfffffff00882e500: e00313aa  mov	x0, x19
0xfffffff00882e504: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff00882e508: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff00882e50c: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff00882e510: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff00882e514: fa6751a9  ldp	x26, x25, [sp, #0x110]
0xfffffff00882e518: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff00882e51c: ff830591  add	sp, sp, #0x160
0xfffffff00882e520: ff0f5fd6  retab	
0xfffffff00882e524: 4abed497  bl	#0xfffffff007d5de4c
0xfffffff00882e528: 7f2303d5  pacibsp	
0xfffffff00882e52c: ff0307d1  sub	sp, sp, #0x1c0
0xfffffff00882e530: fc6f16a9  stp	x28, x27, [sp, #0x160]
0xfffffff00882e534: fa6717a9  stp	x26, x25, [sp, #0x170]
0xfffffff00882e538: f85f18a9  stp	x24, x23, [sp, #0x180]
0xfffffff00882e53c: f65719a9  stp	x22, x21, [sp, #0x190]
0xfffffff00882e540: f44f1aa9  stp	x20, x19, [sp, #0x1a0]
0xfffffff00882e544: fd7b1ba9  stp	x29, x30, [sp, #0x1b0]
