; Candidate 3644
; ADRP+ADD at VM 0xfffffff008749a2c (fileoff 0x1745a2c): page=0x1fe9e8000 add_imm=0xd90

0xfffffff0087499ac: 2901086b  subs	w9, w9, w8
0xfffffff0087499b0: e94300b9  str	w9, [sp, #0x40]
0xfffffff0087499b4: fb179f1a  cset	w27, eq
0xfffffff0087499b8: 08000014  b	#0xfffffff0087499d8
0xfffffff0087499bc: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0087499c0: 06000014  b	#0xfffffff0087499d8
0xfffffff0087499c4: 9f2403d5  bti	j
0xfffffff0087499c8: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0087499cc: 690240f9  ldr	x9, [x19]
0xfffffff0087499d0: 2901088b  add	x9, x9, x8
0xfffffff0087499d4: 690200f9  str	x9, [x19]
0xfffffff0087499d8: 1803088b  add	x24, x24, x8
0xfffffff0087499dc: 1f031aeb  cmp	x24, x26
0xfffffff0087499e0: 63dfff54  b.lo	#0xfffffff0087495cc
0xfffffff0087499e4: 9f2403d5  bti	j
0xfffffff0087499e8: 00008052  mov	w0, #0
0xfffffff0087499ec: 4f000014  b	#0xfffffff008749b28
0xfffffff0087499f0: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff0087499f4: 086d0d91  add	x8, x8, #0x35b
0xfffffff0087499f8: e80300f9  str	x8, [sp]
0xfffffff0087499fc: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff008749a00: 00403691  add	x0, x0, #0xd90
0xfffffff008749a04: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008749a08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008749a0c: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff008749a10: 63403991  add	x3, x3, #0xe50
0xfffffff008749a14: 02008052  mov	w2, #0
0xfffffff008749a18: c6a5ef97  bl	#0xfffffff008333130
0xfffffff008749a1c: 42000014  b	#0xfffffff008749b24
0xfffffff008749a20: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff008749a24: 086d0d91  add	x8, x8, #0x35b
0xfffffff008749a28: e80300f9  str	x8, [sp]
0xfffffff008749a2c: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff008749a30: 00403691  add	x0, x0, #0xd90
0xfffffff008749a34: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008749a38: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008749a3c: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff008749a40: 63fc3a91  add	x3, x3, #0xebf
0xfffffff008749a44: 02008052  mov	w2, #0
0xfffffff008749a48: baa5ef97  bl	#0xfffffff008333130
0xfffffff008749a4c: 36000014  b	#0xfffffff008749b24
0xfffffff008749a50: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff008749a54: 00403691  add	x0, x0, #0xd90
0xfffffff008749a58: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008749a5c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008749a60: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff008749a64: 63943891  add	x3, x3, #0xe25
0xfffffff008749a68: 02008052  mov	w2, #0
0xfffffff008749a6c: b1a5ef97  bl	#0xfffffff008333130
0xfffffff008749a70: 2d000014  b	#0xfffffff008749b24
0xfffffff008749a74: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff008749a78: 086d0d91  add	x8, x8, #0x35b
0xfffffff008749a7c: e80300f9  str	x8, [sp]
0xfffffff008749a80: 404fff90  adrp	x0, #0xfffffff007131000
0xfffffff008749a84: 00403691  add	x0, x0, #0xd90
0xfffffff008749a88: a195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008749a8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008749a90: a34fffd0  adrp	x3, #0xfffffff00713f000
0xfffffff008749a94: 63903b91  add	x3, x3, #0xee4
0xfffffff008749a98: 02008052  mov	w2, #0
0xfffffff008749a9c: a5a5ef97  bl	#0xfffffff008333130
0xfffffff008749aa0: 21000014  b	#0xfffffff008749b24
0xfffffff008749aa4: 6850fff0  adrp	x8, #0xfffffff007158000
0xfffffff008749aa8: 086d0d91  add	x8, x8, #0x35b
