; Candidate 13688
; ADRP+ADD at VM 0xfffffff0093d04c8 (fileoff 0x23cc4c8): page=0x1fe13a000 add_imm=0xcf2

0xfffffff0093d0448: f1031aaa  mov	x17, x26
0xfffffff0093d044c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093d0450: 301ac1da  autda	x16, x17
0xfffffff0093d0454: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093d0458: e90310aa  mov	x9, x16
0xfffffff0093d045c: e0031aaa  mov	x0, x26
0xfffffff0093d0460: f10309aa  mov	x17, x9
0xfffffff0093d0464: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093d0468: 11093fd7  blraa	x8, x17
0xfffffff0093d046c: 1a008052  mov	w26, #0
0xfffffff0093d0470: e00317aa  mov	x0, x23
0xfffffff0093d0474: e10319aa  mov	x1, x25
0xfffffff0093d0478: 421abe97  bl	#0xfffffff008356d80
0xfffffff0093d047c: 1cf6ffb5  cbnz	x28, #0xfffffff0093d033c
0xfffffff0093d0480: b9ffff17  b	#0xfffffff0093d0364
0xfffffff0093d0484: 1a008052  mov	w26, #0
0xfffffff0093d0488: c4feff17  b	#0xfffffff0093cff98
0xfffffff0093d048c: e00313aa  mov	x0, x19
0xfffffff0093d0490: 73610b94  bl	#0xfffffff0096a8a5c
0xfffffff0093d0494: 800000b4  cbz	x0, #0xfffffff0093d04a4
0xfffffff0093d0498: e00313aa  mov	x0, x19
0xfffffff0093d049c: 70610b94  bl	#0xfffffff0096a8a5c
0xfffffff0093d04a0: 03000014  b	#0xfffffff0093d04ac
0xfffffff0093d04a4: c009ffd0  adrp	x0, #0xfffffff00750a000
0xfffffff0093d04a8: 00140291  add	x0, x0, #0x85
0xfffffff0093d04ac: e82f4139  ldrb	w8, [sp, #0x4b]
0xfffffff0093d04b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093d04b4: c809ffd0  adrp	x8, #0xfffffff00750a000
0xfffffff0093d04b8: 094d1f91  add	x9, x8, #0x7d3
0xfffffff0093d04bc: c809ffd0  adrp	x8, #0xfffffff00750a000
0xfffffff0093d04c0: 085d2591  add	x8, x8, #0x957
0xfffffff0093d04c4: e82700a9  stp	x8, x9, [sp]
0xfffffff0093d04c8: c009ffd0  adrp	x0, #0xfffffff00750a000
0xfffffff0093d04cc: 00c83391  add	x0, x0, #0xcf2
0xfffffff0093d04d0: b1feff17  b	#0xfffffff0093cff94
0xfffffff0093d04d4: 7f2303d5  pacibsp	
0xfffffff0093d04d8: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0093d04dc: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff0093d04e0: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0093d04e4: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0093d04e8: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0093d04ec: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0093d04f0: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0093d04f4: fd030391  add	x29, sp, #0xc0
0xfffffff0093d04f8: f60307aa  mov	x22, x7
0xfffffff0093d04fc: e65700b9  str	w6, [sp, #0x54]
0xfffffff0093d0500: f40305aa  mov	x20, x5
0xfffffff0093d0504: fa0304aa  mov	x26, x4
0xfffffff0093d0508: f80303aa  mov	x24, x3
0xfffffff0093d050c: e18b0b29  stp	w1, w2, [sp, #0x5c]
0xfffffff0093d0510: f50300aa  mov	x21, x0
0xfffffff0093d0514: bf831ab8  stur	wzr, [x29, #-0x58]
0xfffffff0093d0518: 008040f9  ldr	x0, [x0, #0x100]
0xfffffff0093d051c: 100040f9  ldr	x16, [x0]
0xfffffff0093d0520: f10300aa  mov	x17, x0
0xfffffff0093d0524: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093d0528: 301ac1da  autda	x16, x17
0xfffffff0093d052c: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0093d0530: e90310aa  mov	x9, x16
0xfffffff0093d0534: a16301d1  sub	x1, x29, #0x58
0xfffffff0093d0538: f10309aa  mov	x17, x9
0xfffffff0093d053c: 3144ecf2  movk	x17, #0x6221, lsl #48
0xfffffff0093d0540: 11093fd7  blraa	x8, x17
0xfffffff0093d0544: a9b35a38  ldurb	w9, [x29, #-0x55]
