; Candidate 10856
; ADRP+ADD at VM 0xfffffff008de9e50 (fileoff 0x1de5e50): page=0x1fe5db000 add_imm=0xe15

0xfffffff008de9dd0: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008de9dd4: f1ffff17  b	#0xfffffff008de9d98
0xfffffff008de9dd8: e88a8052  mov	w8, #0x457
0xfffffff008de9ddc: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9de0: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9de4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9de8: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9dec: 08493991  add	x8, x8, #0xe52
0xfffffff008de9df0: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de9df4: 4aad3291  add	x10, x10, #0xcab
0xfffffff008de9df8: e8ffff17  b	#0xfffffff008de9d98
0xfffffff008de9dfc: 088b8052  mov	w8, #0x458
0xfffffff008de9e00: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9e04: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9e08: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9e0c: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9e10: 08493991  add	x8, x8, #0xe52
0xfffffff008de9e14: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de9e18: 4a713091  add	x10, x10, #0xc1c
0xfffffff008de9e1c: dfffff17  b	#0xfffffff008de9d98
0xfffffff008de9e20: f30300aa  mov	x19, x0
0xfffffff008de9e24: 687e4093  sxtw	x8, w19
0xfffffff008de9e28: 898b8052  mov	w9, #0x45c
0xfffffff008de9e2c: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de9e30: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de9e34: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de9e38: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de9e3c: 29493991  add	x9, x9, #0xe52
0xfffffff008de9e40: cb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de9e44: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de9e48: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de9e4c: eb0300f9  str	x11, [sp]
0xfffffff008de9e50: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9e54: 00543891  add	x0, x0, #0xe15
0xfffffff008de9e58: 72b4d597  bl	#0xfffffff008357020
0xfffffff008de9e5c: c1ffff17  b	#0xfffffff008de9d60
0xfffffff008de9e60: a88b8052  mov	w8, #0x45d
0xfffffff008de9e64: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9e68: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9e6c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9e70: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9e74: 08493991  add	x8, x8, #0xe52
0xfffffff008de9e78: ca2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008de9e7c: 4ad50391  add	x10, x10, #0xf5
0xfffffff008de9e80: c6ffff17  b	#0xfffffff008de9d98
0xfffffff008de9e84: 7f2303d5  pacibsp	
0xfffffff008de9e88: ff0302d1  sub	sp, sp, #0x80
0xfffffff008de9e8c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008de9e90: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008de9e94: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008de9e98: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008de9e9c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008de9ea0: fdc30191  add	x29, sp, #0x70
0xfffffff008de9ea4: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008de9ea8: 801d00b4  cbz	x0, #0xfffffff008dea258
0xfffffff008de9eac: f40302aa  mov	x20, x2
0xfffffff008de9eb0: 221f00b4  cbz	x2, #0xfffffff008dea294
0xfffffff008de9eb4: f30303aa  mov	x19, x3
0xfffffff008de9eb8: 032000b4  cbz	x3, #0xfffffff008dea2b8
0xfffffff008de9ebc: f70301aa  mov	x23, x1
0xfffffff008de9ec0: 3f7c00f1  cmp	x1, #0x1f
0xfffffff008de9ec4: c9200054  b.ls	#0xfffffff008dea2dc
0xfffffff008de9ec8: f60300aa  mov	x22, x0
0xfffffff008de9ecc: 180040b9  ldr	w24, [x0]
