; Candidate 5818
; ADRP+ADD at VM 0xfffffff0088065fc (fileoff 0x18025fc): page=0x1fe9e3000 add_imm=0xe80

0xfffffff00880657c: e1008052  mov	w1, #7
0xfffffff008806580: 94d40194  bl	#0xfffffff00887b7d0
0xfffffff008806584: c0040034  cbz	w0, #0xfffffff00880661c
0xfffffff008806588: 800e8052  mov	w0, #0x74
0xfffffff00880658c: a3d40194  bl	#0xfffffff00887b818
0xfffffff008806590: f60300aa  mov	x22, x0
0xfffffff008806594: 06b70294  bl	#0xfffffff0088b41ac
0xfffffff008806598: f50300aa  mov	x21, x0
0xfffffff00880659c: e0008052  mov	w0, #7
0xfffffff0088065a0: acd40194  bl	#0xfffffff00887b850
0xfffffff0088065a4: 76010034  cbz	w22, #0xfffffff0088065d0
0xfffffff0088065a8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088065ac: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff0088065b0: 08690891  add	x8, x8, #0x21a
0xfffffff0088065b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088065b8: 880e8052  mov	w8, #0x74
0xfffffff0088065bc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088065c0: 6050fff0  adrp	x0, #0xfffffff007215000
0xfffffff0088065c4: 00a81591  add	x0, x0, #0x56a
0xfffffff0088065c8: a6c3d697  bl	#0xfffffff007db7460
0xfffffff0088065cc: 14000014  b	#0xfffffff00880661c
0xfffffff0088065d0: f7b60294  bl	#0xfffffff0088b41ac
0xfffffff0088065d4: f50300aa  mov	x21, x0
0xfffffff0088065d8: e0008052  mov	w0, #7
0xfffffff0088065dc: 9dd40194  bl	#0xfffffff00887b850
0xfffffff0088065e0: e80314aa  mov	x8, x20
0xfffffff0088065e4: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088065e8: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff0088065ec: 08690891  add	x8, x8, #0x21a
0xfffffff0088065f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088065f4: 880e8052  mov	w8, #0x74
0xfffffff0088065f8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088065fc: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806600: 00003a91  add	x0, x0, #0xe80
0xfffffff008806604: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806608: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880660c: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806610: 63a00f91  add	x3, x3, #0x3e8
0xfffffff008806614: 02008052  mov	w2, #0
0xfffffff008806618: c6b2ec97  bl	#0xfffffff008333130
0xfffffff00880661c: e00314aa  mov	x0, x20
0xfffffff008806620: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008806624: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008806628: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00880662c: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff008806630: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff008806634: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff008806638: ff430391  add	sp, sp, #0xd0
0xfffffff00880663c: ff0f5fd6  retab	
0xfffffff008806640: 080080d2  mov	x8, #0
0xfffffff008806644: 29008052  mov	w9, #1
0xfffffff008806648: 17ba8652  mov	w23, #0x35d0
0xfffffff00880664c: 7702a072  movk	w23, #0x13, lsl #16
0xfffffff008806650: f80309aa  mov	x24, x9
0xfffffff008806654: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff008806658: 006977f8  ldr	x0, [x8, x23]
0xfffffff00880665c: e00000b4  cbz	x0, #0xfffffff008806678
0xfffffff008806660: 432b75b9  ldr	w3, [x26, #0x3528]
0xfffffff008806664: 645f4b39  ldrb	w4, [x27, #0x2d7]
0xfffffff008806668: e10316aa  mov	x1, x22
0xfffffff00880666c: e20315aa  mov	x2, x21
0xfffffff008806670: b6d60294  bl	#0xfffffff0088bc148
0xfffffff008806674: a0230035  cbnz	w0, #0xfffffff008806ae8
0xfffffff008806678: 09008052  mov	w9, #0
