; Candidate 8610
; ADRP+ADD at VM 0xfffffff0088b752c (fileoff 0x18b352c): page=0x1fe932000 add_imm=0xe80

0xfffffff0088b74ac: f10313aa  mov	x17, x19
0xfffffff0088b74b0: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088b74b4: 301ac1da  autda	x16, x17
0xfffffff0088b74b8: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088b74bc: e90310aa  mov	x9, x16
0xfffffff0088b74c0: e00313aa  mov	x0, x19
0xfffffff0088b74c4: f10309aa  mov	x17, x9
0xfffffff0088b74c8: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088b74cc: 11093fd7  blraa	x8, x17
0xfffffff0088b74d0: e00314aa  mov	x0, x20
0xfffffff0088b74d4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088b74d8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088b74dc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088b74e0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088b74e4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0088b74e8: ff430291  add	sp, sp, #0x90
0xfffffff0088b74ec: ff0f5fd6  retab	
0xfffffff0088b74f0: 14008052  mov	w20, #0
0xfffffff0088b74f4: b3fdffb5  cbnz	x19, #0xfffffff0088b74a8
0xfffffff0088b74f8: f6ffff17  b	#0xfffffff0088b74d0
0xfffffff0088b74fc: 56731d12  and	w22, w26, #0xfffffff8
0xfffffff0088b7500: 2bf3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7504: f40300aa  mov	x20, x0
0xfffffff0088b7508: e0008052  mov	w0, #7
0xfffffff0088b750c: d110ff97  bl	#0xfffffff00887b850
0xfffffff0088b7510: a88240b9  ldr	w8, [x21, #0x80]
0xfffffff0088b7514: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088b7518: f6e702a9  stp	x22, x25, [sp, #0x28]
0xfffffff0088b751c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7520: 88088052  mov	w8, #0x44
0xfffffff0088b7524: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b7528: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088b752c: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b7530: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b7534: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b7538: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b753c: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b7540: 632c0b91  add	x3, x3, #0x2cb
0xfffffff0088b7544: 02008052  mov	w2, #0
0xfffffff0088b7548: faeee997  bl	#0xfffffff008333130
0xfffffff0088b754c: 14008052  mov	w20, #0
0xfffffff0088b7550: d6ffff17  b	#0xfffffff0088b74a8
0xfffffff0088b7554: 7f2303d5  pacibsp	
0xfffffff0088b7558: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088b755c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088b7560: fd430091  add	x29, sp, #0x10
0xfffffff0088b7564: f30300aa  mov	x19, x0
0xfffffff0088b7568: 810000b4  cbz	x1, #0xfffffff0088b7578
0xfffffff0088b756c: e00313aa  mov	x0, x19
0xfffffff0088b7570: 82458152  mov	w2, #0xa2c
0xfffffff0088b7574: 0755d297  bl	#0xfffffff007d4c990
0xfffffff0088b7578: 88458152  mov	w8, #0xa2c
0xfffffff0088b757c: 680200b9  str	w8, [x19]
0xfffffff0088b7580: 7f2606b9  str	wzr, [x19, #0x624]
0xfffffff0088b7584: 60a21891  add	x0, x19, #0x628
0xfffffff0088b7588: 01008052  mov	w1, #0
0xfffffff0088b758c: 02808052  mov	w2, #0x400
0xfffffff0088b7590: 8c55d297  bl	#0xfffffff007d4cbc0
0xfffffff0088b7594: 7f5a0ab9  str	wzr, [x19, #0xa58]
0xfffffff0088b7598: 28008052  mov	w8, #1
0xfffffff0088b759c: 682600b9  str	w8, [x19, #0x24]
0xfffffff0088b75a0: e00313aa  mov	x0, x19
0xfffffff0088b75a4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088b75a8: f44fc2a8  ldp	x20, x19, [sp], #0x20
