; Candidate 11068
; ADRP+ADD at VM 0xfffffff008e4814c (fileoff 0x1e4414c): page=0x1fecc3000 add_imm=0xec0

0xfffffff008e480cc: 23008052  mov	w3, #1
0xfffffff008e480d0: 4a240194  bl	#0xfffffff008e911f8
0xfffffff008e480d4: 700240f9  ldr	x16, [x19]
0xfffffff008e480d8: f10313aa  mov	x17, x19
0xfffffff008e480dc: 1178f1f2  movk	x17, #0x8bc0, lsl #48
0xfffffff008e480e0: 301ac1da  autda	x16, x17
0xfffffff008e480e4: f10310aa  mov	x17, x16
0xfffffff008e480e8: f147c1da  xpacd	x17
0xfffffff008e480ec: 1f0211eb  cmp	x16, x17
0xfffffff008e480f0: 40000054  b.eq	#0xfffffff008e480f8
0xfffffff008e480f4: 408e38d4  brk	#0xc472
0xfffffff008e480f8: 08620e91  add	x8, x16, #0x398
0xfffffff008e480fc: 09ce41f9  ldr	x9, [x16, #0x398]
0xfffffff008e48100: e00313aa  mov	x0, x19
0xfffffff008e48104: f10308aa  mov	x17, x8
0xfffffff008e48108: 316cf4f2  movk	x17, #0xa361, lsl #48
0xfffffff008e4810c: 31093fd7  blraa	x9, x17
0xfffffff008e48110: e00313aa  mov	x0, x19
0xfffffff008e48114: 4e010094  bl	#0xfffffff008e4864c
0xfffffff008e48118: e00313aa  mov	x0, x19
0xfffffff008e4811c: 62010094  bl	#0xfffffff008e486a4
0xfffffff008e48120: e00313aa  mov	x0, x19
0xfffffff008e48124: 8d010094  bl	#0xfffffff008e48758
0xfffffff008e48128: 60724ef9  ldr	x0, [x19, #0x1ce0]
0xfffffff008e4812c: ea010094  bl	#0xfffffff008e488d4
0xfffffff008e48130: e80300aa  mov	x8, x0
0xfffffff008e48134: 00008052  mov	w0, #0
0xfffffff008e48138: 08deff34  cbz	w8, #0xfffffff008e47cf8
0xfffffff008e4813c: e00313aa  mov	x0, x19
0xfffffff008e48140: 40160194  bl	#0xfffffff008e8da40
0xfffffff008e48144: 600700b4  cbz	x0, #0xfffffff008e48230
0xfffffff008e48148: f40300aa  mov	x20, x0
0xfffffff008e4814c: 0066fff0  adrp	x0, #0xfffffff007b0b000
0xfffffff008e48150: 00003b91  add	x0, x0, #0xec0
0xfffffff008e48154: e838d497  bl	#0xfffffff0083564f4
0xfffffff008e48158: f50300aa  mov	x21, x0
0xfffffff008e4815c: e10313aa  mov	x1, x19
0xfffffff008e48160: 37020094  bl	#0xfffffff008e48a3c
0xfffffff008e48164: e00314aa  mov	x0, x20
0xfffffff008e48168: e10315aa  mov	x1, x21
0xfffffff008e4816c: d0182c94  bl	#0xfffffff00994e4ac
0xfffffff008e48170: b00240f9  ldr	x16, [x21]
0xfffffff008e48174: f10315aa  mov	x17, x21
0xfffffff008e48178: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e4817c: 301ac1da  autda	x16, x17
0xfffffff008e48180: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008e48184: e90310aa  mov	x9, x16
0xfffffff008e48188: e00315aa  mov	x0, x21
0xfffffff008e4818c: f10309aa  mov	x17, x9
0xfffffff008e48190: 1122f8f2  movk	x17, #0xc110, lsl #48
0xfffffff008e48194: 11093fd7  blraa	x8, x17
0xfffffff008e48198: 0066fff0  adrp	x0, #0xfffffff007b0b000
0xfffffff008e4819c: 00003d91  add	x0, x0, #0xf40
0xfffffff008e481a0: d538d497  bl	#0xfffffff0083564f4
0xfffffff008e481a4: f50300aa  mov	x21, x0
0xfffffff008e481a8: e10313aa  mov	x1, x19
0xfffffff008e481ac: 54020094  bl	#0xfffffff008e48afc
0xfffffff008e481b0: e00314aa  mov	x0, x20
0xfffffff008e481b4: e10315aa  mov	x1, x21
0xfffffff008e481b8: bd182c94  bl	#0xfffffff00994e4ac
0xfffffff008e481bc: b00240f9  ldr	x16, [x21]
0xfffffff008e481c0: f10315aa  mov	x17, x21
0xfffffff008e481c4: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e481c8: 301ac1da  autda	x16, x17
