; Candidate 149
; ADRP+ADD at VM 0xfffffff007e2b934 (fileoff 0xe27934): page=0x23a6000 add_imm=0xd20

0xfffffff007e2b8b4: 9f3a00f9  str	xzr, [x20, #0x70]
0xfffffff007e2b8b8: 9f6e00b9  str	wzr, [x20, #0x6c]
0xfffffff007e2b8bc: e00314aa  mov	x0, x20
0xfffffff007e2b8c0: 21018052  mov	w1, #9
0xfffffff007e2b8c4: 02008052  mov	w2, #0
0xfffffff007e2b8c8: ddf5ff97  bl	#0xfffffff007e2903c
0xfffffff007e2b8cc: 998600b9  str	w25, [x20, #0x84]
0xfffffff007e2b8d0: 28008052  mov	w8, #1
0xfffffff007e2b8d4: 88220239  strb	w8, [x20, #0x88]
0xfffffff007e2b8d8: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e2b8dc: e20308aa  mov	x2, x8
0xfffffff007e2b8e0: 1fffa288  casl	w2, wzr, [x24]
0xfffffff007e2b8e4: 5f00086b  cmp	w2, w8
0xfffffff007e2b8e8: 61020054  b.ne	#0xfffffff007e2b934
0xfffffff007e2b8ec: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007e2b8f0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007e2b8f4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007e2b8f8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007e2b8fc: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff007e2b900: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff007e2b904: ff0f5fd6  retab	
0xfffffff007e2b908: 201d01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2b90c: 00803491  add	x0, x0, #0xd20
0xfffffff007e2b910: e10313aa  mov	x1, x19
0xfffffff007e2b914: 42008052  mov	w2, #2
0xfffffff007e2b918: 7800fe97  bl	#0xfffffff007dabaf8
0xfffffff007e2b91c: 9dffff17  b	#0xfffffff007e2b790
0xfffffff007e2b920: e00314aa  mov	x0, x20
0xfffffff007e2b924: e10313aa  mov	x1, x19
0xfffffff007e2b928: 42008052  mov	w2, #2
0xfffffff007e2b92c: 7300fe97  bl	#0xfffffff007dabaf8
0xfffffff007e2b930: a3ffff17  b	#0xfffffff007e2b7bc
0xfffffff007e2b934: 201d01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2b938: 00803491  add	x0, x0, #0xd20
0xfffffff007e2b93c: e10313aa  mov	x1, x19
0xfffffff007e2b940: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007e2b944: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007e2b948: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007e2b94c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007e2b950: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff007e2b954: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff007e2b958: ff2303d5  autibsp	
0xfffffff007e2b95c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e2b960: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e2b968
0xfffffff007e2b964: 208e38d4  brk	#0xc471
0xfffffff007e2b968: 7f03fe17  b	#0xfffffff007dac764
0xfffffff007e2b96c: 7f2303d5  pacibsp	
0xfffffff007e2b970: ff0301d1  sub	sp, sp, #0x40
0xfffffff007e2b974: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007e2b978: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007e2b97c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007e2b980: fdc30091  add	x29, sp, #0x30
0xfffffff007e2b984: f40301aa  mov	x20, x1
0xfffffff007e2b988: f30300aa  mov	x19, x0
0xfffffff007e2b98c: a1000035  cbnz	w1, #0xfffffff007e2b9a0
0xfffffff007e2b990: 201d01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2b994: 00803491  add	x0, x0, #0xd20
0xfffffff007e2b998: 4103fe97  bl	#0xfffffff007dac69c
0xfffffff007e2b99c: e0050034  cbz	w0, #0xfffffff007e2ba58
0xfffffff007e2b9a0: 15008052  mov	w21, #0
0xfffffff007e2b9a4: 68924878  ldurh	w8, [x19, #0x89]
0xfffffff007e2b9a8: 28011837  tbnz	w8, #3, #0xfffffff007e2b9cc
0xfffffff007e2b9ac: 091d0453  ubfx	w9, w8, #4, #4
0xfffffff007e2b9b0: 3f290071  cmp	w9, #0xa
