; Candidate 16197
; ADRP+ADD at VM 0xfffffff009e2fcf8 (fileoff 0x2e2bcf8): page=0x1fd874000 add_imm=0xe00

0xfffffff009e2fc78: 3fdb0771  cmp	w25, #0x1f6
0xfffffff009e2fc7c: 83050054  b.lo	#0xfffffff009e2fd2c
0xfffffff009e2fc80: e00319aa  mov	x0, x25
0xfffffff009e2fc84: 00cdff97  bl	#0xfffffff009e23084
0xfffffff009e2fc88: a00800b4  cbz	x0, #0xfffffff009e2fd9c
0xfffffff009e2fc8c: f70300aa  mov	x23, x0
0xfffffff009e2fc90: 1a0c40f9  ldr	x26, [x0, #0x18]
0xfffffff009e2fc94: 9a0900b4  cbz	x26, #0xfffffff009e2fdc4
0xfffffff009e2fc98: f71b00f9  str	x23, [sp, #0x30]
0xfffffff009e2fc9c: e0031aaa  mov	x0, x26
0xfffffff009e2fca0: 58b67c97  bl	#0xfffffff007d5d600
0xfffffff009e2fca4: d802008b  add	x24, x22, x0
0xfffffff009e2fca8: 194b00d1  sub	x25, x24, #0x12
0xfffffff009e2fcac: e00319aa  mov	x0, x25
0xfffffff009e2fcb0: 9094ff97  bl	#0xfffffff009e14ef0
0xfffffff009e2fcb4: 200b00b4  cbz	x0, #0xfffffff009e2fe18
0xfffffff009e2fcb8: f70300aa  mov	x23, x0
0xfffffff009e2fcbc: 184f00d1  sub	x24, x24, #0x13
0xfffffff009e2fcc0: a84e0091  add	x8, x21, #0x13
0xfffffff009e2fcc4: e81700f9  str	x8, [sp, #0x28]
0xfffffff009e2fcc8: e1031aaa  mov	x1, x26
0xfffffff009e2fccc: e20319aa  mov	x2, x25
0xfffffff009e2fcd0: e30319aa  mov	x3, x25
0xfffffff009e2fcd4: 58c08197  bl	#0xfffffff007e9fe34
0xfffffff009e2fcd8: e00317aa  mov	x0, x23
0xfffffff009e2fcdc: e11740f9  ldr	x1, [sp, #0x28]
0xfffffff009e2fce0: e20319aa  mov	x2, x25
0xfffffff009e2fce4: e30319aa  mov	x3, x25
0xfffffff009e2fce8: 16c08197  bl	#0xfffffff007e9fd40
0xfffffff009e2fcec: f7e301a9  stp	x23, x24, [sp, #0x18]
0xfffffff009e2fcf0: f5db00a9  stp	x21, x22, [sp, #8]
0xfffffff009e2fcf4: fb0300f9  str	x27, [sp]
0xfffffff009e2fcf8: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2fcfc: 00003891  add	x0, x0, #0xe00
0xfffffff009e2fd00: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2fd04: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2fd08: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2fd0c: 63141691  add	x3, x3, #0x585
0xfffffff009e2fd10: 22008052  mov	w2, #1
0xfffffff009e2fd14: 070d9497  bl	#0xfffffff008333130
0xfffffff009e2fd18: e01b40f9  ldr	x0, [sp, #0x30]
0xfffffff009e2fd1c: f4ccff97  bl	#0xfffffff009e230ec
0xfffffff009e2fd20: f60318aa  mov	x22, x24
0xfffffff009e2fd24: f50317aa  mov	x21, x23
0xfffffff009e2fd28: 02000014  b	#0xfffffff009e2fd30
0xfffffff009e2fd2c: 170080d2  mov	x23, #0
0xfffffff009e2fd30: 9fbf0071  cmp	w28, #0x2f
0xfffffff009e2fd34: 61000054  b.ne	#0xfffffff009e2fd40
0xfffffff009e2fd38: 04008052  mov	w4, #0
0xfffffff009e2fd3c: 06000014  b	#0xfffffff009e2fd54
0xfffffff009e2fd40: 04018052  mov	w4, #8
0xfffffff009e2fd44: 04000014  b	#0xfffffff009e2fd54
0xfffffff009e2fd48: 170080d2  mov	x23, #0
0xfffffff009e2fd4c: 04008052  mov	w4, #0
0xfffffff009e2fd50: 36008052  mov	w22, #1
0xfffffff009e2fd54: e0e30091  add	x0, sp, #0x38
0xfffffff009e2fd58: e10313aa  mov	x1, x19
0xfffffff009e2fd5c: e20315aa  mov	x2, x21
0xfffffff009e2fd60: e30316aa  mov	x3, x22
0xfffffff009e2fd64: 9dd7ff97  bl	#0xfffffff009e25bd8
0xfffffff009e2fd68: f50300aa  mov	x21, x0
0xfffffff009e2fd6c: c0000035  cbnz	w0, #0xfffffff009e2fd84
0xfffffff009e2fd70: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff009e2fd74: e10313aa  mov	x1, x19
