; Candidate 13282
; ADRP+ADD at VM 0xfffffff009266588 (fileoff 0x2262588): page=0x1fe256000 add_imm=0xe48

0xfffffff009266508: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff00926650c: ffc30191  add	sp, sp, #0x70
0xfffffff009266510: ff0f5fd6  retab	
0xfffffff009266514: 8849ff90  adrp	x8, #0xfffffff007b96000
0xfffffff009266518: 08f946f9  ldr	x8, [x8, #0xdf0]
0xfffffff00926651c: 080140b9  ldr	w8, [x8]
0xfffffff009266520: 48030034  cbz	w8, #0xfffffff009266588
0xfffffff009266524: 9d8c0094  bl	#0xfffffff009289798
0xfffffff009266528: 8849ff90  adrp	x8, #0xfffffff007b96000
0xfffffff00926652c: 08f946f9  ldr	x8, [x8, #0xdf0]
0xfffffff009266530: 080140b9  ldr	w8, [x8]
0xfffffff009266534: a8020034  cbz	w8, #0xfffffff009266588
0xfffffff009266538: b38c0094  bl	#0xfffffff009289804
0xfffffff00926653c: 8849ff90  adrp	x8, #0xfffffff007b96000
0xfffffff009266540: 08f946f9  ldr	x8, [x8, #0xdf0]
0xfffffff009266544: 080140b9  ldr	w8, [x8]
0xfffffff009266548: 08020034  cbz	w8, #0xfffffff009266588
0xfffffff00926654c: 818c0094  bl	#0xfffffff009289750
0xfffffff009266550: 8849ff90  adrp	x8, #0xfffffff007b96000
0xfffffff009266554: 08f946f9  ldr	x8, [x8, #0xdf0]
0xfffffff009266558: 080140b9  ldr	w8, [x8]
0xfffffff00926655c: 68010034  cbz	w8, #0xfffffff009266588
0xfffffff009266560: 858c0094  bl	#0xfffffff009289774
0xfffffff009266564: 8849ff90  adrp	x8, #0xfffffff007b96000
0xfffffff009266568: 08f946f9  ldr	x8, [x8, #0xdf0]
0xfffffff00926656c: 080140b9  ldr	w8, [x8]
0xfffffff009266570: c8000034  cbz	w8, #0xfffffff009266588
0xfffffff009266574: 928c0094  bl	#0xfffffff0092897bc
0xfffffff009266578: 8849ff90  adrp	x8, #0xfffffff007b96000
0xfffffff00926657c: 08f946f9  ldr	x8, [x8, #0xdf0]
0xfffffff009266580: 080140b9  ldr	w8, [x8]
0xfffffff009266584: c8000035  cbnz	w8, #0xfffffff00926659c
0xfffffff009266588: a012ffd0  adrp	x0, #0xfffffff0074bc000
0xfffffff00926658c: 00203991  add	x0, x0, #0xe48
0xfffffff009266590: a4c2c397  bl	#0xfffffff008357020
0xfffffff009266594: 00008052  mov	w0, #0
0xfffffff009266598: d7ffff17  b	#0xfffffff0092664f4
0xfffffff00926659c: 918c0094  bl	#0xfffffff0092897e0
0xfffffff0092665a0: 7f2303d5  pacibsp	
0xfffffff0092665a4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0092665a8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0092665ac: fd430091  add	x29, sp, #0x10
0xfffffff0092665b0: f30300aa  mov	x19, x0
0xfffffff0092665b4: 8849ff90  adrp	x8, #0xfffffff007b96000
0xfffffff0092665b8: 08c546f9  ldr	x8, [x8, #0xd88]
0xfffffff0092665bc: 09210b91  add	x9, x8, #0x2c8
0xfffffff0092665c0: 086541f9  ldr	x8, [x8, #0x2c8]
0xfffffff0092665c4: f10309aa  mov	x17, x9
0xfffffff0092665c8: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0092665cc: 11093fd7  blraa	x8, x17
0xfffffff0092665d0: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0092665d4: 600100b4  cbz	x0, #0xfffffff009266600
0xfffffff0092665d8: 100040f9  ldr	x16, [x0]
0xfffffff0092665dc: f10300aa  mov	x17, x0
0xfffffff0092665e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092665e4: 301ac1da  autda	x16, x17
0xfffffff0092665e8: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0092665ec: e90310aa  mov	x9, x16
0xfffffff0092665f0: f10309aa  mov	x17, x9
0xfffffff0092665f4: b116e7f2  movk	x17, #0x38b5, lsl #48
0xfffffff0092665f8: 11093fd7  blraa	x8, x17
0xfffffff0092665fc: 7f4e00f9  str	xzr, [x19, #0x98]
0xfffffff009266600: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009266604: f44fc2a8  ldp	x20, x19, [sp], #0x20
