; Candidate 3950
; ADRP+ADD at VM 0xfffffff00877591c (fileoff 0x177191c): page=0x1fe9bc000 add_imm=0xd90

0xfffffff00877589c: 7f01096b  cmp	w11, w9
0xfffffff0087758a0: 88080054  b.hi	#0xfffffff0087759b0
0xfffffff0087758a4: 08010aab  adds	x8, x8, x10
0xfffffff0087758a8: ea379f1a  cset	w10, hs
0xfffffff0087758ac: 49014093  sbfx	x9, x10, #0, #1
0xfffffff0087758b0: 2a010aca  eor	x10, x9, x10
0xfffffff0087758b4: 0a0900b5  cbnz	x10, #0xfffffff0087759d4
0xfffffff0087758b8: e908f8b7  tbnz	x9, #0x3f, #0xfffffff0087759d4
0xfffffff0087758bc: 000140f9  ldr	x0, [x8]
0xfffffff0087758c0: 100040f9  ldr	x16, [x0]
0xfffffff0087758c4: f10300aa  mov	x17, x0
0xfffffff0087758c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087758cc: 301ac1da  autda	x16, x17
0xfffffff0087758d0: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff0087758d4: e90310aa  mov	x9, x16
0xfffffff0087758d8: e10313aa  mov	x1, x19
0xfffffff0087758dc: f10309aa  mov	x17, x9
0xfffffff0087758e0: 7197e7f2  movk	x17, #0x3cbb, lsl #48
0xfffffff0087758e4: 11093fd7  blraa	x8, x17
0xfffffff0087758e8: 93578052  mov	w19, #0x2bc
0xfffffff0087758ec: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087758f0: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087758f4: 00403691  add	x0, x0, #0xd90
0xfffffff0087758f8: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087758fc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008775900: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff008775904: 639c2191  add	x3, x3, #0x867
0xfffffff008775908: 02008052  mov	w2, #0
0xfffffff00877590c: 09f6ee97  bl	#0xfffffff008333130
0xfffffff008775910: 23000014  b	#0xfffffff00877599c
0xfffffff008775914: 93578052  mov	w19, #0x2bc
0xfffffff008775918: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00877591c: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff008775920: 00403691  add	x0, x0, #0xd90
0xfffffff008775924: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775928: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877592c: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff008775930: 63941f91  add	x3, x3, #0x7e5
0xfffffff008775934: 02008052  mov	w2, #0
0xfffffff008775938: fef5ee97  bl	#0xfffffff008333130
0xfffffff00877593c: 18000014  b	#0xfffffff00877599c
0xfffffff008775940: 93578052  mov	w19, #0x2bc
0xfffffff008775944: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008775948: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877594c: 00403691  add	x0, x0, #0xd90
0xfffffff008775950: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775954: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008775958: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877595c: 63302091  add	x3, x3, #0x80c
0xfffffff008775960: 02008052  mov	w2, #0
0xfffffff008775964: f3f5ee97  bl	#0xfffffff008333130
0xfffffff008775968: 0d000014  b	#0xfffffff00877599c
0xfffffff00877596c: 93578052  mov	w19, #0x2bc
0xfffffff008775970: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008775974: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff008775978: 00403691  add	x0, x0, #0xd90
0xfffffff00877597c: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775980: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008775984: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff008775988: 63f42091  add	x3, x3, #0x83d
0xfffffff00877598c: 02008052  mov	w2, #0
0xfffffff008775990: e8f5ee97  bl	#0xfffffff008333130
0xfffffff008775994: 02000014  b	#0xfffffff00877599c
0xfffffff008775998: 13008052  mov	w19, #0
