; Candidate 10101
; ADRP+ADD at VM 0xfffffff008ca4f1c (fileoff 0x1ca0f1c): page=0x1fe6b0000 add_imm=0xdc2

0xfffffff008ca4e9c: e90310aa  mov	x9, x16
0xfffffff008ca4ea0: ff1b00b9  str	wzr, [sp, #0x18]
0xfffffff008ca4ea4: aa008052  mov	w10, #5
0xfffffff008ca4ea8: eaff00a9  stp	x10, xzr, [sp, #8]
0xfffffff008ca4eac: ff030079  strh	wzr, [sp]
0xfffffff008ca4eb0: e2730091  add	x2, sp, #0x1c
0xfffffff008ca4eb4: e30314aa  mov	x3, x20
0xfffffff008ca4eb8: 040080d2  mov	x4, #0
0xfffffff008ca4ebc: 050080d2  mov	x5, #0
0xfffffff008ca4ec0: 060080d2  mov	x6, #0
0xfffffff008ca4ec4: e70313aa  mov	x7, x19
0xfffffff008ca4ec8: f10309aa  mov	x17, x9
0xfffffff008ca4ecc: b1e2ecf2  movk	x17, #0x6715, lsl #48
0xfffffff008ca4ed0: 11093fd7  blraa	x8, x17
0xfffffff008ca4ed4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008ca4ed8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008ca4edc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008ca4ee0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008ca4ee4: ff830191  add	sp, sp, #0x60
0xfffffff008ca4ee8: ff0f5fd6  retab	
0xfffffff008ca4eec: 7f2303d5  pacibsp	
0xfffffff008ca4ef0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008ca4ef4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008ca4ef8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008ca4efc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008ca4f00: fdc30091  add	x29, sp, #0x30
0xfffffff008ca4f04: f30300aa  mov	x19, x0
0xfffffff008ca4f08: 21010037  tbnz	w1, #0, #0xfffffff008ca4f2c
0xfffffff008ca4f0c: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca4f10: 28082036  tbz	w8, #4, #0xfffffff008ca5014
0xfffffff008ca4f14: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008ca4f18: e80300f9  str	x8, [sp]
0xfffffff008ca4f1c: 8035ff90  adrp	x0, #0xfffffff007354000
0xfffffff008ca4f20: 00083791  add	x0, x0, #0xdc2
0xfffffff008ca4f24: 3fc8da97  bl	#0xfffffff008357020
0xfffffff008ca4f28: 3b000014  b	#0xfffffff008ca5014
0xfffffff008ca4f2c: 681a7d39  ldrb	w8, [x19, #0xf46]
0xfffffff008ca4f30: 68000035  cbnz	w8, #0xfffffff008ca4f3c
0xfffffff008ca4f34: 691e7d39  ldrb	w9, [x19, #0xf47]
0xfffffff008ca4f38: c9010034  cbz	w9, #0xfffffff008ca4f70
0xfffffff008ca4f3c: 69627d39  ldrb	w9, [x19, #0xf58]
0xfffffff008ca4f40: 3f010071  cmp	w9, #0
0xfffffff008ca4f44: ea179f1a  cset	w10, eq
0xfffffff008ca4f48: 2b010052  eor	w11, w9, #1
0xfffffff008ca4f4c: 4a791f53  lsl	w10, w10, #1
0xfffffff008ca4f50: 6ba23f39  strb	w11, [x19, #0xfe8]
0xfffffff008ca4f54: 6b008052  mov	w11, #3
0xfffffff008ca4f58: eb038b1a  csel	w11, wzr, w11, eq
0xfffffff008ca4f5c: 6aa63f39  strb	w10, [x19, #0xfe9]
0xfffffff008ca4f60: 29751e53  lsl	w9, w9, #2
0xfffffff008ca4f64: 6baa3f39  strb	w11, [x19, #0xfea]
0xfffffff008ca4f68: 69ae3f39  strb	w9, [x19, #0xfeb]
0xfffffff008ca4f6c: 7fda1f79  strh	wzr, [x19, #0xfec]
0xfffffff008ca4f70: 69227d39  ldrb	w9, [x19, #0xf48]
0xfffffff008ca4f74: 89030034  cbz	w9, #0xfffffff008ca4fe4
0xfffffff008ca4f78: 292c0a53  ubfx	w9, w1, #0xa, #2
0xfffffff008ca4f7c: 69c63d39  strb	w9, [x19, #0xf71]
0xfffffff008ca4f80: 3f050071  cmp	w9, #1
0xfffffff008ca4f84: 68010054  b.hi	#0xfffffff008ca4fb0
0xfffffff008ca4f88: 69627d39  ldrb	w9, [x19, #0xf58]
0xfffffff008ca4f8c: e9010034  cbz	w9, #0xfffffff008ca4fc8
0xfffffff008ca4f90: 68000035  cbnz	w8, #0xfffffff008ca4f9c
0xfffffff008ca4f94: 681e7d39  ldrb	w8, [x19, #0xf47]
0xfffffff008ca4f98: 68230034  cbz	w8, #0xfffffff008ca5404
