; Candidate 532
; ADRP+ADD at VM 0xfffffff007f739e8 (fileoff 0xf6f9e8): page=0x224b000 add_imm=0xe70

0xfffffff007f73968: 21008052  mov	w1, #1
0xfffffff007f7396c: 21050094  bl	#0xfffffff007f74df0
0xfffffff007f73970: 081f40f9  ldr	x8, [x24, #0x38]
0xfffffff007f73974: 14054039  ldrb	w20, [x8, #1]
0xfffffff007f73978: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff007f7397c: 09230091  add	x9, x24, #8
0xfffffff007f73980: e20308aa  mov	x2, x8
0xfffffff007f73984: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f73988: 5f00086b  cmp	w2, w8
0xfffffff007f7398c: e1030054  b.ne	#0xfffffff007f73a08
0xfffffff007f73990: e00313aa  mov	x0, x19
0xfffffff007f73994: 25ebf897  bl	#0xfffffff007dae628
0xfffffff007f73998: e0018052  mov	w0, #0xf
0xfffffff007f7399c: e10318aa  mov	x1, x24
0xfffffff007f739a0: 39e00094  bl	#0xfffffff007faba84
0xfffffff007f739a4: e00318aa  mov	x0, x24
0xfffffff007f739a8: c9020094  bl	#0xfffffff007f744cc
0xfffffff007f739ac: 97000037  tbnz	w23, #0, #0xfffffff007f739bc
0xfffffff007f739b0: 9f4a0071  cmp	w20, #0x12
0xfffffff007f739b4: 40000054  b.eq	#0xfffffff007f739bc
0xfffffff007f739b8: b4000035  cbnz	w20, #0xfffffff007f739cc
0xfffffff007f739bc: e00313aa  mov	x0, x19
0xfffffff007f739c0: 21268d52  mov	w1, #0x6931
0xfffffff007f739c4: 0104b072  movk	w1, #0x8020, lsl #16
0xfffffff007f739c8: c93e0094  bl	#0xfffffff007f834ec
0xfffffff007f739cc: 683a43b9  ldr	w8, [x19, #0x338]
0xfffffff007f739d0: 88000034  cbz	w8, #0xfffffff007f739e0
0xfffffff007f739d4: 18008052  mov	w24, #0
0xfffffff007f739d8: 7f3a03b9  str	wzr, [x19, #0x338]
0xfffffff007f739dc: f5feff17  b	#0xfffffff007f735b0
0xfffffff007f739e0: 18008052  mov	w24, #0
0xfffffff007f739e4: f3feff17  b	#0xfffffff007f735b0
0xfffffff007f739e8: 401201f0  adrp	x0, #0xfffffff00a1be000
0xfffffff007f739ec: 00c03991  add	x0, x0, #0xe70
0xfffffff007f739f0: 07b21494  bl	#0xfffffff0084a020c
0xfffffff007f739f4: e00318aa  mov	x0, x24
0xfffffff007f739f8: e10315aa  mov	x1, x21
0xfffffff007f739fc: 02008052  mov	w2, #0
0xfffffff007f73a00: 3ee0f897  bl	#0xfffffff007dabaf8
0xfffffff007f73a04: c8ffff17  b	#0xfffffff007f73924
0xfffffff007f73a08: e00318aa  mov	x0, x24
0xfffffff007f73a0c: e10315aa  mov	x1, x21
0xfffffff007f73a10: 55e3f897  bl	#0xfffffff007dac764
0xfffffff007f73a14: dfffff17  b	#0xfffffff007f73990
0xfffffff007f73a18: 6087ffd0  adrp	x0, #0xfffffff007061000
0xfffffff007f73a1c: 00e01891  add	x0, x0, #0x638
0xfffffff007f73a20: 6187ffd0  adrp	x1, #0xfffffff007061000
0xfffffff007f73a24: 216c0091  add	x1, x1, #0x1b
0xfffffff007f73a28: e2ab8252  mov	w2, #0x155f
0xfffffff007f73a2c: 7aaf1494  bl	#0xfffffff00849f814
0xfffffff007f73a30: e00317aa  mov	x0, x23
0xfffffff007f73a34: e10319aa  mov	x1, x25
0xfffffff007f73a38: 02008052  mov	w2, #0
0xfffffff007f73a3c: 2fe0f897  bl	#0xfffffff007dabaf8
0xfffffff007f73a40: 7bffff17  b	#0xfffffff007f7382c
0xfffffff007f73a44: e00317aa  mov	x0, x23
0xfffffff007f73a48: e10319aa  mov	x1, x25
0xfffffff007f73a4c: 46e3f897  bl	#0xfffffff007dac764
0xfffffff007f73a50: 83ffff17  b	#0xfffffff007f7385c
0xfffffff007f73a54: 6087ffd0  adrp	x0, #0xfffffff007061000
0xfffffff007f73a58: 00f81891  add	x0, x0, #0x63e
0xfffffff007f73a5c: 6187ffd0  adrp	x1, #0xfffffff007061000
0xfffffff007f73a60: 216c0091  add	x1, x1, #0x1b
0xfffffff007f73a64: a2ac8252  mov	w2, #0x1565
