; Candidate 14373
; ADRP+ADD at VM 0xfffffff00976e0b4 (fileoff 0x276a0b4): page=0xc1d000 add_imm=0xea8

0xfffffff00976e034: c00100b5  cbnz	x0, #0xfffffff00976e06c
0xfffffff00976e038: 900240f9  ldr	x16, [x20]
0xfffffff00976e03c: f10314aa  mov	x17, x20
0xfffffff00976e040: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976e044: 301ac1da  autda	x16, x17
0xfffffff00976e048: 114380d2  mov	x17, #0x218
0xfffffff00976e04c: 1002118b  add	x16, x16, x17
0xfffffff00976e050: 080240f9  ldr	x8, [x16]
0xfffffff00976e054: e90310aa  mov	x9, x16
0xfffffff00976e058: e00314aa  mov	x0, x20
0xfffffff00976e05c: 010080d2  mov	x1, #0
0xfffffff00976e060: f10309aa  mov	x17, x9
0xfffffff00976e064: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976e068: 11093fd7  blraa	x8, x17
0xfffffff00976e06c: e00313aa  mov	x0, x19
0xfffffff00976e070: 8778fd97  bl	#0xfffffff0096cc28c
0xfffffff00976e074: fbf0fed0  adrp	x27, #0xfffffff00758c000
0xfffffff00976e078: 7b1b0091  add	x27, x27, #6
0xfffffff00976e07c: fcf0fed0  adrp	x28, #0xfffffff00758c000
0xfffffff00976e080: 9c2b0091  add	x28, x28, #0xa
0xfffffff00976e084: df020071  cmp	w22, #0
0xfffffff00976e088: 89039b9a  csel	x9, x28, x27, eq
0xfffffff00976e08c: 5f030071  cmp	w26, #0
0xfffffff00976e090: 68139c9a  csel	x8, x27, x28, ne
0xfffffff00976e094: a8273aa9  stp	x8, x9, [x29, #-0x60]
0xfffffff00976e098: ff020071  cmp	w23, #0
0xfffffff00976e09c: 69139c9a  csel	x9, x27, x28, ne
0xfffffff00976e0a0: 1f030071  cmp	w24, #0
0xfffffff00976e0a4: 68139c9a  csel	x8, x27, x28, ne
0xfffffff00976e0a8: e8a706a9  stp	x8, x9, [sp, #0x68]
0xfffffff00976e0ac: e00313aa  mov	x0, x19
0xfffffff00976e0b0: 5e80fd97  bl	#0xfffffff0096ce228
0xfffffff00976e0b4: e06000b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00976e0b8: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976e0bc: 27daad97  bl	#0xfffffff0082e4958
0xfffffff00976e0c0: a08319f8  stur	x0, [x29, #-0x68]
0xfffffff00976e0c4: e00314aa  mov	x0, x20
0xfffffff00976e0c8: 65eafc97  bl	#0xfffffff0096a8a5c
0xfffffff00976e0cc: f70300aa  mov	x23, x0
0xfffffff00976e0d0: e00100b5  cbnz	x0, #0xfffffff00976e10c
0xfffffff00976e0d4: 900240f9  ldr	x16, [x20]
0xfffffff00976e0d8: f10314aa  mov	x17, x20
0xfffffff00976e0dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976e0e0: 301ac1da  autda	x16, x17
0xfffffff00976e0e4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976e0e8: 1002118b  add	x16, x16, x17
0xfffffff00976e0ec: 080240f9  ldr	x8, [x16]
0xfffffff00976e0f0: e90310aa  mov	x9, x16
0xfffffff00976e0f4: e00314aa  mov	x0, x20
0xfffffff00976e0f8: 010080d2  mov	x1, #0
0xfffffff00976e0fc: f10309aa  mov	x17, x9
0xfffffff00976e100: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976e104: 11093fd7  blraa	x8, x17
0xfffffff00976e108: f70300aa  mov	x23, x0
0xfffffff00976e10c: e00314aa  mov	x0, x20
0xfffffff00976e110: 53eafc97  bl	#0xfffffff0096a8a5c
0xfffffff00976e114: f8f0fef0  adrp	x24, #0xfffffff00758d000
0xfffffff00976e118: 18c73491  add	x24, x24, #0xd31
0xfffffff00976e11c: e8f0fef0  adrp	x8, #0xfffffff00758d000
0xfffffff00976e120: 08c93491  add	x8, x8, #0xd32
0xfffffff00976e124: 1f0000f1  cmp	x0, #0
0xfffffff00976e128: 1601989a  csel	x22, x8, x24, eq
0xfffffff00976e12c: e00314aa  mov	x0, x20
0xfffffff00976e130: 4beafc97  bl	#0xfffffff0096a8a5c
