; Candidate 4028
; ADRP+ADD at VM 0xfffffff008788050 (fileoff 0x1784050): page=0x1fe9a9000 add_imm=0xd90

0xfffffff008787fd0: 1f090072  tst	w8, #7
0xfffffff008787fd4: 00010054  b.eq	#0xfffffff008787ff4
0xfffffff008787fd8: 16008052  mov	w22, #0
0xfffffff008787fdc: 081d0011  add	w8, w8, #7
0xfffffff008787fe0: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff008787fe4: e80200b9  str	w8, [x23]
0xfffffff008787fe8: 04000014  b	#0xfffffff008787ff8
0xfffffff008787fec: 16090012  and	w22, w8, #7
0xfffffff008787ff0: 02000014  b	#0xfffffff008787ff8
0xfffffff008787ff4: 16008052  mov	w22, #0
0xfffffff008787ff8: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff008787ffc: 08b0a552  mov	w8, #0x2d800000
0xfffffff008788000: c80a1133  bfi	w8, w22, #0xf, #3
0xfffffff008788004: 689e03b9  str	w8, [x19, #0x39c]
0xfffffff008788008: 750c40f9  ldr	x21, [x3, #0x18]
0xfffffff00878800c: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff008788010: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff008788014: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff008788018: a26301d1  sub	x2, x29, #0x58
0xfffffff00878801c: e3830191  add	x3, sp, #0x60
0xfffffff008788020: e00315aa  mov	x0, x21
0xfffffff008788024: b4b80094  bl	#0xfffffff0087b62f4
0xfffffff008788028: e0050034  cbz	w0, #0xfffffff0087880e4
0xfffffff00878802c: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008788030: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff008788034: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008788038: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00878803c: c90100b4  cbz	x9, #0xfffffff008788074
0xfffffff008788040: 68cb8052  mov	w8, #0x65b
0xfffffff008788044: 494efff0  adrp	x9, #0xfffffff007153000
0xfffffff008788048: 29593f91  add	x9, x9, #0xfd6
0xfffffff00878804c: e92300a9  stp	x9, x8, [sp]
0xfffffff008788050: 404dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008788054: 00403691  add	x0, x0, #0xd90
0xfffffff008788058: a193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878805c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008788060: e34dffb0  adrp	x3, #0xfffffff007145000
0xfffffff008788064: 63e42e91  add	x3, x3, #0xbb9
0xfffffff008788068: 02008052  mov	w2, #0
0xfffffff00878806c: 31acee97  bl	#0xfffffff008333130
0xfffffff008788070: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008788074: 094328ab  adds	x9, x24, w8, uxtw
0xfffffff008788078: 62030054  b.hs	#0xfffffff0087880e4
0xfffffff00878807c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008788080: 6a9e43b9  ldr	w10, [x19, #0x39c]
0xfffffff008788084: 4a7d0453  lsr	w10, w10, #4
0xfffffff008788088: 496d1c33  bfi	w9, w10, #4, #0x1c
0xfffffff00878808c: 699e03b9  str	w9, [x19, #0x39c]
0xfffffff008788090: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008788094: 380940f9  ldr	x24, [x9, #0x10]
0xfffffff008788098: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00878809c: 690000b5  cbnz	x9, #0xfffffff0087880a8
0xfffffff0087880a0: 087d4092  and	x8, x8, #0xffffffff
0xfffffff0087880a4: 0e000014  b	#0xfffffff0087880dc
0xfffffff0087880a8: 88cb8052  mov	w8, #0x65c
0xfffffff0087880ac: 494efff0  adrp	x9, #0xfffffff007153000
0xfffffff0087880b0: 29593f91  add	x9, x9, #0xfd6
0xfffffff0087880b4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087880b8: 404dffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087880bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087880c0: a193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087880c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087880c8: e34dffb0  adrp	x3, #0xfffffff007145000
0xfffffff0087880cc: 63b42f91  add	x3, x3, #0xbed
