; Candidate 12542
; ADRP+ADD at VM 0xfffffff0090b74a8 (fileoff 0x20b34a8): page=0x1fe3a2000 add_imm=0xe24

0xfffffff0090b7428: e6feff97  bl	#0xfffffff0090b6fc0
0xfffffff0090b742c: f40300aa  mov	x20, x0
0xfffffff0090b7430: 1f000071  cmp	w0, #0
0xfffffff0090b7434: c8088052  mov	w8, #0x46
0xfffffff0090b7438: 49018052  mov	w9, #0xa
0xfffffff0090b743c: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090b7440: a9a24339  ldrb	w9, [x21, #0xe8]
0xfffffff0090b7444: 1f01096b  cmp	w8, w9
0xfffffff0090b7448: 63030054  b.lo	#0xfffffff0090b74b4
0xfffffff0090b744c: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b7450: e8010034  cbz	w8, #0xfffffff0090b748c
0xfffffff0090b7454: 700240f9  ldr	x16, [x19]
0xfffffff0090b7458: f10313aa  mov	x17, x19
0xfffffff0090b745c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b7460: 301ac1da  autda	x16, x17
0xfffffff0090b7464: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b7468: 1002118b  add	x16, x16, x17
0xfffffff0090b746c: 080240f9  ldr	x8, [x16]
0xfffffff0090b7470: e90310aa  mov	x9, x16
0xfffffff0090b7474: e00313aa  mov	x0, x19
0xfffffff0090b7478: 010080d2  mov	x1, #0
0xfffffff0090b747c: f10309aa  mov	x17, x9
0xfffffff0090b7480: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b7484: 11093fd7  blraa	x8, x17
0xfffffff0090b7488: 03000014  b	#0xfffffff0090b7494
0xfffffff0090b748c: 601dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b7490: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b7494: 887e4093  sxtw	x8, w20
0xfffffff0090b7498: 891dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090b749c: 29a90791  add	x9, x9, #0x1ea
0xfffffff0090b74a0: e02700a9  stp	x0, x9, [sp]
0xfffffff0090b74a4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090b74a8: 001dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090b74ac: 00903891  add	x0, x0, #0xe24
0xfffffff0090b74b0: dc7eca97  bl	#0xfffffff008357020
0xfffffff0090b74b4: e00314aa  mov	x0, x20
0xfffffff0090b74b8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0090b74bc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0090b74c0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0090b74c4: ff430191  add	sp, sp, #0x50
0xfffffff0090b74c8: ff0f5fd6  retab	
0xfffffff0090b74cc: 7f2303d5  pacibsp	
0xfffffff0090b74d0: ff4301d1  sub	sp, sp, #0x50
0xfffffff0090b74d4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0090b74d8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0090b74dc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0090b74e0: fd030191  add	x29, sp, #0x40
0xfffffff0090b74e4: f30300aa  mov	x19, x0
0xfffffff0090b74e8: d59200d0  adrp	x21, #0xfffffff00a311000
0xfffffff0090b74ec: a8a24339  ldrb	w8, [x21, #0xe8]
0xfffffff0090b74f0: 1f290071  cmp	w8, #0xa
0xfffffff0090b74f4: 28030054  b.hi	#0xfffffff0090b7558
0xfffffff0090b74f8: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b74fc: e8010034  cbz	w8, #0xfffffff0090b7538
0xfffffff0090b7500: 700240f9  ldr	x16, [x19]
0xfffffff0090b7504: f10313aa  mov	x17, x19
0xfffffff0090b7508: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b750c: 301ac1da  autda	x16, x17
0xfffffff0090b7510: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b7514: 1002118b  add	x16, x16, x17
0xfffffff0090b7518: 080240f9  ldr	x8, [x16]
0xfffffff0090b751c: e90310aa  mov	x9, x16
0xfffffff0090b7520: e00313aa  mov	x0, x19
0xfffffff0090b7524: 010080d2  mov	x1, #0
