; Candidate 3410
; ADRP+ADD at VM 0xfffffff00873d188 (fileoff 0x1739188): page=0x1fe9f4000 add_imm=0xd90

0xfffffff00873d108: 080080d2  mov	x8, #0
0xfffffff00873d10c: 29008052  mov	w9, #1
0xfffffff00873d110: f60309aa  mov	x22, x9
0xfffffff00873d114: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff00873d118: 00a140f9  ldr	x0, [x8, #0x140]
0xfffffff00873d11c: 100040f9  ldr	x16, [x0]
0xfffffff00873d120: f10300aa  mov	x17, x0
0xfffffff00873d124: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873d128: 301ac1da  autda	x16, x17
0xfffffff00873d12c: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff00873d130: e90310aa  mov	x9, x16
0xfffffff00873d134: f10309aa  mov	x17, x9
0xfffffff00873d138: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff00873d13c: 11093fd7  blraa	x8, x17
0xfffffff00873d140: 09008052  mov	w9, #0
0xfffffff00873d144: 28008052  mov	w8, #1
0xfffffff00873d148: 56fe0737  tbnz	w22, #0, #0xfffffff00873d110
0xfffffff00873d14c: 689e40f9  ldr	x8, [x19, #0x138]
0xfffffff00873d150: 680800b4  cbz	x8, #0xfffffff00873d25c
0xfffffff00873d154: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873d158: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873d15c: 00403691  add	x0, x0, #0xd90
0xfffffff00873d160: 0196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00873d164: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873d168: e34ffff0  adrp	x3, #0xfffffff00713c000
0xfffffff00873d16c: 633c0891  add	x3, x3, #0x20f
0xfffffff00873d170: 02008052  mov	w2, #0
0xfffffff00873d174: efd7ef97  bl	#0xfffffff008333130
0xfffffff00873d178: 54000014  b	#0xfffffff00873d2c8
0xfffffff00873d17c: c850ffb0  adrp	x8, #0xfffffff007156000
0xfffffff00873d180: 08b12e91  add	x8, x8, #0xbac
0xfffffff00873d184: e80300f9  str	x8, [sp]
0xfffffff00873d188: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873d18c: 00403691  add	x0, x0, #0xd90
0xfffffff00873d190: 0196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00873d194: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873d198: e34ffff0  adrp	x3, #0xfffffff00713c000
0xfffffff00873d19c: 63f00291  add	x3, x3, #0xbc
0xfffffff00873d1a0: 02008052  mov	w2, #0
0xfffffff00873d1a4: e3d7ef97  bl	#0xfffffff008333130
0xfffffff00873d1a8: db000014  b	#0xfffffff00873d514
0xfffffff00873d1ac: c850ffb0  adrp	x8, #0xfffffff007156000
0xfffffff00873d1b0: 08b12e91  add	x8, x8, #0xbac
0xfffffff00873d1b4: e80300f9  str	x8, [sp]
0xfffffff00873d1b8: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873d1bc: 00403691  add	x0, x0, #0xd90
0xfffffff00873d1c0: 0196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00873d1c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873d1c8: e34ffff0  adrp	x3, #0xfffffff00713c000
0xfffffff00873d1cc: 63780391  add	x3, x3, #0xde
0xfffffff00873d1d0: 02008052  mov	w2, #0
0xfffffff00873d1d4: d7d7ef97  bl	#0xfffffff008333130
0xfffffff00873d1d8: cf000014  b	#0xfffffff00873d514
0xfffffff00873d1dc: c850ffb0  adrp	x8, #0xfffffff007156000
0xfffffff00873d1e0: 08b12e91  add	x8, x8, #0xbac
0xfffffff00873d1e4: e80300f9  str	x8, [sp]
0xfffffff00873d1e8: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873d1ec: 00403691  add	x0, x0, #0xd90
0xfffffff00873d1f0: 0196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00873d1f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873d1f8: e34ffff0  adrp	x3, #0xfffffff00713c000
0xfffffff00873d1fc: 63ec0391  add	x3, x3, #0xfb
0xfffffff00873d200: 02008052  mov	w2, #0
0xfffffff00873d204: cbd7ef97  bl	#0xfffffff008333130
