; Candidate 16274
; ADRP+ADD at VM 0xfffffff009e3d1dc (fileoff 0x2e391dc): page=0x1fd9e9000 add_imm=0xe55

0xfffffff009e3d15c: 29448252  mov	w9, #0x1221
0xfffffff009e3d160: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3d164: 40cffeb0  adrp	x0, #0xfffffff007826000
0xfffffff009e3d168: 00583791  add	x0, x0, #0xdd6
0xfffffff009e3d16c: 1e000014  b	#0xfffffff009e3d1e4
0xfffffff009e3d170: 28008052  mov	w8, #1
0xfffffff009e3d174: 010d084e  dup	v1.2d, x8
0xfffffff009e3d178: 611f084e  mov	v1.d[0], x27
0xfffffff009e3d17c: e082c33c  ldur	q0, [x23, #0x38]
0xfffffff009e3d180: e117803d  str	q1, [sp, #0x50]
0xfffffff009e3d184: 0084e14e  add	v0.2d, v0.2d, v1.2d
0xfffffff009e3d188: e082833c  stur	q0, [x23, #0x38]
0xfffffff009e3d18c: a83640f9  ldr	x8, [x21, #0x68]
0xfffffff009e3d190: 08f96c92  and	x8, x8, #0xfffffffffff7ffff
0xfffffff009e3d194: a83600f9  str	x8, [x21, #0x68]
0xfffffff009e3d198: e00313aa  mov	x0, x19
0xfffffff009e3d19c: 21008052  mov	w1, #1
0xfffffff009e3d1a0: e20315aa  mov	x2, x21
0xfffffff009e3d1a4: e30316aa  mov	x3, x22
0xfffffff009e3d1a8: 21b80294  bl	#0xfffffff009eeb22c
0xfffffff009e3d1ac: 20040034  cbz	w0, #0xfffffff009e3d230
0xfffffff009e3d1b0: fa0300aa  mov	x26, x0
0xfffffff009e3d1b4: 083e8452  mov	w8, #0x21f0
0xfffffff009e3d1b8: 6802088b  add	x8, x19, x8
0xfffffff009e3d1bc: aa0640f9  ldr	x10, [x21, #8]
0xfffffff009e3d1c0: e90300aa  mov	x9, x0
0xfffffff009e3d1c4: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009e3d1c8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3d1cc: 48cffeb0  adrp	x8, #0xfffffff007826000
0xfffffff009e3d1d0: 08d93291  add	x8, x8, #0xcb6
0xfffffff009e3d1d4: 294a8252  mov	w9, #0x1251
0xfffffff009e3d1d8: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3d1dc: 40cffeb0  adrp	x0, #0xfffffff007826000
0xfffffff009e3d1e0: 00543991  add	x0, x0, #0xe55
0xfffffff009e3d1e4: b8090194  bl	#0xfffffff009e7f8c4
0xfffffff009e3d1e8: 1ce5ff34  cbz	w28, #0xfffffff009e3ce88
0xfffffff009e3d1ec: 44d1feb0  adrp	x4, #0xfffffff007866000
0xfffffff009e3d1f0: 84400b91  add	x4, x4, #0x2d0
0xfffffff009e3d1f4: e1c30591  add	x1, sp, #0x170
0xfffffff009e3d1f8: e00313aa  mov	x0, x19
0xfffffff009e3d1fc: 020080d2  mov	x2, #0
0xfffffff009e3d200: 030080d2  mov	x3, #0
0xfffffff009e3d204: 25008052  mov	w5, #1
0xfffffff009e3d208: e60316aa  mov	x6, x22
0xfffffff009e3d20c: 41dc0294  bl	#0xfffffff009ef4310
0xfffffff009e3d210: 1effff17  b	#0xfffffff009e3ce88
0xfffffff009e3d214: e00319aa  mov	x0, x25
0xfffffff009e3d218: 61008052  mov	w1, #3
0xfffffff009e3d21c: 0b750494  bl	#0xfffffff009f5a648
0xfffffff009e3d220: a87e40b9  ldr	w8, [x21, #0x7c]
0xfffffff009e3d224: 08791912  and	w8, w8, #0xffffffbf
0xfffffff009e3d228: a87e00b9  str	w8, [x21, #0x7c]
0xfffffff009e3d22c: 76ffff17  b	#0xfffffff009e3d004
0xfffffff009e3d230: ff7700f9  str	xzr, [sp, #0xe8]
0xfffffff009e3d234: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e3d238: e0838d3c  stur	q0, [sp, #0xd8]
0xfffffff009e3d23c: e0838c3c  stur	q0, [sp, #0xc8]
0xfffffff009e3d240: 28008052  mov	w8, #1
0xfffffff009e3d244: e86300f9  str	x8, [sp, #0xc0]
0xfffffff009e3d248: e2030391  add	x2, sp, #0xc0
0xfffffff009e3d24c: e00313aa  mov	x0, x19
0xfffffff009e3d250: e10318aa  mov	x1, x24
0xfffffff009e3d254: e30316aa  mov	x3, x22
0xfffffff009e3d258: 2d700494  bl	#0xfffffff009f5930c
