; Candidate 7798
; ADRP+ADD at VM 0xfffffff00887fe14 (fileoff 0x187be14): page=0x1fe96a000 add_imm=0xe80

0xfffffff00887fd94: 00050034  cbz	w0, #0xfffffff00887fe34
0xfffffff00887fd98: 600d8052  mov	w0, #0x6b
0xfffffff00887fd9c: 9feeff97  bl	#0xfffffff00887b818
0xfffffff00887fda0: f70300aa  mov	x23, x0
0xfffffff00887fda4: 02d10094  bl	#0xfffffff0088b41ac
0xfffffff00887fda8: f60300aa  mov	x22, x0
0xfffffff00887fdac: 00018052  mov	w0, #8
0xfffffff00887fdb0: a8eeff97  bl	#0xfffffff00887b850
0xfffffff00887fdb4: 97010034  cbz	w23, #0xfffffff00887fde4
0xfffffff00887fdb8: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00887fdbc: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887fdc0: 08352591  add	x8, x8, #0x94d
0xfffffff00887fdc4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887fdc8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887fdcc: 680d8052  mov	w8, #0x6b
0xfffffff00887fdd0: 604dffb0  adrp	x0, #0xfffffff00722c000
0xfffffff00887fdd4: 00cc2791  add	x0, x0, #0x9f3
0xfffffff00887fdd8: f62300a9  stp	x22, x8, [sp]
0xfffffff00887fddc: a1ddd497  bl	#0xfffffff007db7460
0xfffffff00887fde0: 15000014  b	#0xfffffff00887fe34
0xfffffff00887fde4: f2d00094  bl	#0xfffffff0088b41ac
0xfffffff00887fde8: f60300aa  mov	x22, x0
0xfffffff00887fdec: 00018052  mov	w0, #8
0xfffffff00887fdf0: 98eeff97  bl	#0xfffffff00887b850
0xfffffff00887fdf4: e80315aa  mov	x8, x21
0xfffffff00887fdf8: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00887fdfc: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887fe00: 08352591  add	x8, x8, #0x94d
0xfffffff00887fe04: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887fe08: 680d8052  mov	w8, #0x6b
0xfffffff00887fe0c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887fe10: f60300f9  str	x22, [sp]
0xfffffff00887fe14: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887fe18: 00003a91  add	x0, x0, #0xe80
0xfffffff00887fe1c: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887fe20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887fe24: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887fe28: 63442191  add	x3, x3, #0x851
0xfffffff00887fe2c: 02008052  mov	w2, #0
0xfffffff00887fe30: c0ccea97  bl	#0xfffffff008333130
0xfffffff00887fe34: e00315aa  mov	x0, x21
0xfffffff00887fe38: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00887fe3c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00887fe40: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00887fe44: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00887fe48: ff030291  add	sp, sp, #0x80
0xfffffff00887fe4c: ff0f5fd6  retab	
0xfffffff00887fe50: 7f2303d5  pacibsp	
0xfffffff00887fe54: ffc301d1  sub	sp, sp, #0x70
0xfffffff00887fe58: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00887fe5c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00887fe60: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00887fe64: fd830191  add	x29, sp, #0x60
0xfffffff00887fe68: f30300aa  mov	x19, x0
0xfffffff00887fe6c: 600d8052  mov	w0, #0x6b
0xfffffff00887fe70: 01018052  mov	w1, #8
0xfffffff00887fe74: 57eeff97  bl	#0xfffffff00887b7d0
0xfffffff00887fe78: 40020034  cbz	w0, #0xfffffff00887fec0
0xfffffff00887fe7c: 600d8052  mov	w0, #0x6b
0xfffffff00887fe80: 66eeff97  bl	#0xfffffff00887b818
0xfffffff00887fe84: f50300aa  mov	x21, x0
0xfffffff00887fe88: c9d00094  bl	#0xfffffff0088b41ac
0xfffffff00887fe8c: f40300aa  mov	x20, x0
0xfffffff00887fe90: 00018052  mov	w0, #8
