; Candidate 4700
; ADRP+ADD at VM 0xfffffff0087c2fcc (fileoff 0x17befcc): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c2f4c: 602630b9  str	w0, [x19, #0x3024]
0xfffffff0087c2f50: e00313aa  mov	x0, x19
0xfffffff0087c2f54: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2f58: 21bc2291  add	x1, x1, #0x8af
0xfffffff0087c2f5c: 02028052  mov	w2, #0x10
0xfffffff0087c2f60: d8e0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2f64: 602a30b9  str	w0, [x19, #0x3028]
0xfffffff0087c2f68: e00313aa  mov	x0, x19
0xfffffff0087c2f6c: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2f70: 21282391  add	x1, x1, #0x8ca
0xfffffff0087c2f74: 02048052  mov	w2, #0x20
0xfffffff0087c2f78: d2e0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2f7c: 602e30b9  str	w0, [x19, #0x302c]
0xfffffff0087c2f80: e00313aa  mov	x0, x19
0xfffffff0087c2f84: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2f88: 21602391  add	x1, x1, #0x8d8
0xfffffff0087c2f8c: 02048052  mov	w2, #0x20
0xfffffff0087c2f90: cce0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2f94: 603230b9  str	w0, [x19, #0x3030]
0xfffffff0087c2f98: bc020014  b	#0xfffffff0087c3a88
0xfffffff0087c2f9c: 9f2403d5  bti	j
0xfffffff0087c2fa0: e00313aa  mov	x0, x19
0xfffffff0087c2fa4: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2fa8: 21982391  add	x1, x1, #0x8e6
0xfffffff0087c2fac: 02018052  mov	w2, #8
0xfffffff0087c2fb0: c4e0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2fb4: 603630b9  str	w0, [x19, #0x3034]
0xfffffff0087c2fb8: 1f000471  cmp	w0, #0x100
0xfffffff0087c2fbc: 63310054  b.lo	#0xfffffff0087c35e8
0xfffffff0087c2fc0: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2fc4: 08ed2391  add	x8, x8, #0x8fb
0xfffffff0087c2fc8: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c2fcc: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2fd0: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2fd4: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2fd8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2fdc: 02008052  mov	w2, #0
0xfffffff0087c2fe0: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2fe4: 634c3591  add	x3, x3, #0xd53
0xfffffff0087c2fe8: 52c0ed97  bl	#0xfffffff008333130
0xfffffff0087c2fec: a7020014  b	#0xfffffff0087c3a88
0xfffffff0087c2ff0: 9f2403d5  bti	j
0xfffffff0087c2ff4: e00313aa  mov	x0, x19
0xfffffff0087c2ff8: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2ffc: 21741f91  add	x1, x1, #0x7dd
0xfffffff0087c3000: 02018052  mov	w2, #8
0xfffffff0087c3004: afe0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c3008: 60fe2fb9  str	w0, [x19, #0x2ffc]
0xfffffff0087c300c: 1f000471  cmp	w0, #0x100
0xfffffff0087c3010: 83310054  b.lo	#0xfffffff0087c3640
0xfffffff0087c3014: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3018: 08d11f91  add	x8, x8, #0x7f4
0xfffffff0087c301c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3020: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3024: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3028: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c302c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3030: 02008052  mov	w2, #0
0xfffffff0087c3034: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3038: 63203291  add	x3, x3, #0xc88
0xfffffff0087c303c: 3dc0ed97  bl	#0xfffffff008333130
0xfffffff0087c3040: 92020014  b	#0xfffffff0087c3a88
0xfffffff0087c3044: 9f2403d5  bti	j
0xfffffff0087c3048: e00313aa  mov	x0, x19
