; Candidate 2795
; ADRP+ADD at VM 0xfffffff0086e82f0 (fileoff 0x16e42f0): page=0x1fea49000 add_imm=0xd90

0xfffffff0086e8270: 1f01146a  tst	w8, w20
0xfffffff0086e8274: e0010054  b.eq	#0xfffffff0086e82b0
0xfffffff0086e8278: f52b00a9  stp	x21, x10, [sp]
0xfffffff0086e827c: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e8280: 00403691  add	x0, x0, #0xd90
0xfffffff0086e8284: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e8288: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e828c: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e8290: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e8294: 02008052  mov	w2, #0
0xfffffff0086e8298: a62bf197  bl	#0xfffffff008333130
0xfffffff0086e829c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e82a0: 05000014  b	#0xfffffff0086e82b4
0xfffffff0086e82a4: 17008052  mov	w23, #0
0xfffffff0086e82a8: 16028052  mov	w22, #0x10
0xfffffff0086e82ac: 03000014  b	#0xfffffff0086e82b8
0xfffffff0086e82b0: e8030aaa  mov	x8, x10
0xfffffff0086e82b4: e90315aa  mov	x9, x21
0xfffffff0086e82b8: ea03164b  neg	w10, w22
0xfffffff0086e82bc: 2a25ca1a  lsr	w10, w9, w10
0xfffffff0086e82c0: 5501172a  orr	w21, w10, w23
0xfffffff0086e82c4: 2921d61a  lsl	w9, w9, w22
0xfffffff0086e82c8: 0801164b  sub	w8, w8, w22
0xfffffff0086e82cc: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e82d0: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e82d4: 3f01146a  tst	w9, w20
0xfffffff0086e82d8: c0010054  b.eq	#0xfffffff0086e8310
0xfffffff0086e82dc: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e82e0: 4853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e82e4: 08e50e91  add	x8, x8, #0x3b9
0xfffffff0086e82e8: 09028052  mov	w9, #0x10
0xfffffff0086e82ec: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e82f0: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e82f4: 00403691  add	x0, x0, #0xd90
0xfffffff0086e82f8: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e82fc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e8300: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e8304: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e8308: 02008052  mov	w2, #0
0xfffffff0086e830c: 892bf197  bl	#0xfffffff008333130
0xfffffff0086e8310: a8060011  add	w8, w21, #1
0xfffffff0086e8314: 692a40f9  ldr	x9, [x19, #0x50]
0xfffffff0086e8318: 2a4d40b9  ldr	w10, [x9, #0x4c]
0xfffffff0086e831c: 4a1d0011  add	w10, w10, #7
0xfffffff0086e8320: 4a7d0353  lsr	w10, w10, #3
0xfffffff0086e8324: 28290a29  stp	w8, w10, [x9, #0x50]
0xfffffff0086e8328: a8220011  add	w8, w21, #8
0xfffffff0086e832c: 087d0353  lsr	w8, w8, #3
0xfffffff0086e8330: 4a1d0011  add	w10, w10, #7
0xfffffff0086e8334: 4a7d0353  lsr	w10, w10, #3
0xfffffff0086e8338: 28290b29  stp	w8, w10, [x9, #0x58]
0xfffffff0086e833c: 081d0011  add	w8, w8, #7
0xfffffff0086e8340: 087d0353  lsr	w8, w8, #3
0xfffffff0086e8344: 286100b9  str	w8, [x9, #0x60]
0xfffffff0086e8348: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0086e834c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0086e8350: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0086e8354: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0086e8358: ff830191  add	sp, sp, #0x60
0xfffffff0086e835c: ff0f5fd6  retab	
0xfffffff0086e8360: 7f2303d5  pacibsp	
0xfffffff0086e8364: ff8301d1  sub	sp, sp, #0x60
0xfffffff0086e8368: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0086e836c: f65703a9  stp	x22, x21, [sp, #0x30]
