; Candidate 7363
; ADRP+ADD at VM 0xfffffff00886a1f0 (fileoff 0x18661f0): page=0x1fe97f000 add_imm=0xe80

0xfffffff00886a170: f86705a9  stp	x24, x25, [sp, #0x50]
0xfffffff00886a174: f45f04a9  stp	x20, x23, [sp, #0x40]
0xfffffff00886a178: f36f03a9  stp	x19, x27, [sp, #0x30]
0xfffffff00886a17c: 48cd8052  mov	w8, #0x66a
0xfffffff00886a180: 294dfff0  adrp	x9, #0xfffffff007211000
0xfffffff00886a184: 29012691  add	x9, x9, #0x980
0xfffffff00886a188: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886a18c: e84dffb0  adrp	x8, #0xfffffff007227000
0xfffffff00886a190: 08811191  add	x8, x8, #0x460
0xfffffff00886a194: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff00886a198: 680c8052  mov	w8, #0x63
0xfffffff00886a19c: e04dfff0  adrp	x0, #0xfffffff007229000
0xfffffff00886a1a0: 00282991  add	x0, x0, #0xa4a
0xfffffff00886a1a4: f52300a9  stp	x21, x8, [sp]
0xfffffff00886a1a8: ae34d597  bl	#0xfffffff007db7460
0xfffffff00886a1ac: 7a110034  cbz	w26, #0xfffffff00886a3d8
0xfffffff00886a1b0: f57e8012  mov	w21, #-0x3f8
0xfffffff00886a1b4: cf000014  b	#0xfffffff00886a4f0
0xfffffff00886a1b8: fd270194  bl	#0xfffffff0088b41ac
0xfffffff00886a1bc: f50300aa  mov	x21, x0
0xfffffff00886a1c0: 00018052  mov	w0, #8
0xfffffff00886a1c4: a3450094  bl	#0xfffffff00887b850
0xfffffff00886a1c8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886a1cc: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00886a1d0: 284dfff0  adrp	x8, #0xfffffff007211000
0xfffffff00886a1d4: 08012691  add	x8, x8, #0x980
0xfffffff00886a1d8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00886a1dc: e84dffb0  adrp	x8, #0xfffffff007227000
0xfffffff00886a1e0: 08811191  add	x8, x8, #0x460
0xfffffff00886a1e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886a1e8: 680c8052  mov	w8, #0x63
0xfffffff00886a1ec: f52300a9  stp	x21, x8, [sp]
0xfffffff00886a1f0: e04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886a1f4: 00003a91  add	x0, x0, #0xe80
0xfffffff00886a1f8: e18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00886a1fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886a200: 634fffb0  adrp	x3, #0xfffffff007257000
0xfffffff00886a204: 63ec2591  add	x3, x3, #0x97b
0xfffffff00886a208: 02008052  mov	w2, #0
0xfffffff00886a20c: c923eb97  bl	#0xfffffff008333130
0xfffffff00886a210: 94f4ffb5  cbnz	x20, #0xfffffff00886a0a0
0xfffffff00886a214: 600c8052  mov	w0, #0x63
0xfffffff00886a218: 81008052  mov	w1, #4
0xfffffff00886a21c: 6d450094  bl	#0xfffffff00887b7d0
0xfffffff00886a220: a0060034  cbz	w0, #0xfffffff00886a2f4
0xfffffff00886a224: 600c8052  mov	w0, #0x63
0xfffffff00886a228: 7c450094  bl	#0xfffffff00887b818
0xfffffff00886a22c: f60300aa  mov	x22, x0
0xfffffff00886a230: df270194  bl	#0xfffffff0088b41ac
0xfffffff00886a234: f50300aa  mov	x21, x0
0xfffffff00886a238: 80008052  mov	w0, #4
0xfffffff00886a23c: 85450094  bl	#0xfffffff00887b850
0xfffffff00886a240: 76020034  cbz	w22, #0xfffffff00886a28c
0xfffffff00886a244: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886a248: 494dfff0  adrp	x9, #0xfffffff007215000
0xfffffff00886a24c: 29691591  add	x9, x9, #0x55a
0xfffffff00886a250: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00886a254: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00886a258: 88cb8052  mov	w8, #0x65c
0xfffffff00886a25c: 294dfff0  adrp	x9, #0xfffffff007211000
0xfffffff00886a260: 29012691  add	x9, x9, #0x980
0xfffffff00886a264: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886a268: e84dffb0  adrp	x8, #0xfffffff007227000
0xfffffff00886a26c: 08811191  add	x8, x8, #0x460
