; Candidate 14436
; ADRP+ADD at VM 0xfffffff0097879fc (fileoff 0x27839fc): page=0x1fde06000 add_imm=0xd31

0xfffffff00978797c: f60300aa  mov	x22, x0
0xfffffff009787980: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff009787984: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787988: 00600491  add	x0, x0, #0x118
0xfffffff00978798c: f373ad97  bl	#0xfffffff0082e4958
0xfffffff009787990: c07240f9  ldr	x0, [x22, #0xe0]
0xfffffff009787994: 400100b4  cbz	x0, #0xfffffff0097879bc
0xfffffff009787998: 100040f9  ldr	x16, [x0]
0xfffffff00978799c: f10300aa  mov	x17, x0
0xfffffff0097879a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097879a4: 301ac1da  autda	x16, x17
0xfffffff0097879a8: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0097879ac: e90310aa  mov	x9, x16
0xfffffff0097879b0: f10309aa  mov	x17, x9
0xfffffff0097879b4: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0097879b8: 11093fd7  blraa	x8, x17
0xfffffff0097879bc: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff0097879c0: 00600491  add	x0, x0, #0x118
0xfffffff0097879c4: e573ad97  bl	#0xfffffff0082e4958
0xfffffff0097879c8: f30300aa  mov	x19, x0
0xfffffff0097879cc: c07240f9  ldr	x0, [x22, #0xe0]
0xfffffff0097879d0: 600100b4  cbz	x0, #0xfffffff0097879fc
0xfffffff0097879d4: 100040f9  ldr	x16, [x0]
0xfffffff0097879d8: f10300aa  mov	x17, x0
0xfffffff0097879dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097879e0: 301ac1da  autda	x16, x17
0xfffffff0097879e4: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0097879e8: e90310aa  mov	x9, x16
0xfffffff0097879ec: f10309aa  mov	x17, x9
0xfffffff0097879f0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0097879f4: 11093fd7  blraa	x8, x17
0xfffffff0097879f8: 03000014  b	#0xfffffff009787a04
0xfffffff0097879fc: 20f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff009787a00: 00c43491  add	x0, x0, #0xd31
0xfffffff009787a04: 15588052  mov	w21, #0x2c0
0xfffffff009787a08: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff009787a0c: a8f0fe90  adrp	x8, #0xfffffff00759b000
0xfffffff009787a10: 08d11791  add	x8, x8, #0x5f4
0xfffffff009787a14: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009787a18: f30300f9  str	x19, [sp]
0xfffffff009787a1c: 20f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009787a20: 00802191  add	x0, x0, #0x860
0xfffffff009787a24: 6124fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009787a28: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009787a2c: 03f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff009787a30: 63fc3791  add	x3, x3, #0xdff
0xfffffff009787a34: 02008052  mov	w2, #0
0xfffffff009787a38: beadae97  bl	#0xfffffff008333130
0xfffffff009787a3c: 973640f9  ldr	x23, [x20, #0x68]
0xfffffff009787a40: 770000b4  cbz	x23, #0xfffffff009787a4c
0xfffffff009787a44: 130080d2  mov	x19, #0
0xfffffff009787a48: 09000014  b	#0xfffffff009787a6c
0xfffffff009787a4c: 802e40f9  ldr	x0, [x20, #0x58]
0xfffffff009787a50: 816240b9  ldr	w1, [x20, #0x60]
0xfffffff009787a54: 62008052  mov	w2, #3
0xfffffff009787a58: 03008052  mov	w3, #0
0xfffffff009787a5c: ceddb097  bl	#0xfffffff0083bf194
0xfffffff009787a60: f70300aa  mov	x23, x0
0xfffffff009787a64: f30300aa  mov	x19, x0
0xfffffff009787a68: 201800b4  cbz	x0, #0xfffffff009787d6c
0xfffffff009787a6c: c87640f9  ldr	x8, [x22, #0xe8]
0xfffffff009787a70: 280f00b4  cbz	x8, #0xfffffff009787c54
0xfffffff009787a74: e00316aa  mov	x0, x22
0xfffffff009787a78: 77f4af97  bl	#0xfffffff008384c54
