; Candidate 2173
; ADRP+ADD at VM 0xfffffff008598084 (fileoff 0x1594084): page=0x1feb54000 add_imm=0xd28

0xfffffff008598004: 100000f9  str	x16, [x0]
0xfffffff008598008: 90a0fff0  adrp	x16, #0xfffffff0079ab000
0xfffffff00859800c: 10222091  add	x16, x16, #0x808
0xfffffff008598010: 10421891  add	x16, x16, #0x610
0xfffffff008598014: f10308aa  mov	x17, x8
0xfffffff008598018: 914df4f2  movk	x17, #0xa26c, lsl #48
0xfffffff00859801c: 300ac1da  pacda	x16, x17
0xfffffff008598020: 105800f9  str	x16, [x0, #0xb0]
0xfffffff008598024: e00314aa  mov	x0, x20
0xfffffff008598028: 4334f597  bl	#0xfffffff0082e5134
0xfffffff00859802c: e00313aa  mov	x0, x19
0xfffffff008598030: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008598034: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008598038: ff0f5fd6  retab	
0xfffffff00859803c: 7f2303d5  pacibsp	
0xfffffff008598040: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008598044: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008598048: fd430091  add	x29, sp, #0x10
0xfffffff00859804c: f30300aa  mov	x19, x0
0xfffffff008598050: 88a0ffd0  adrp	x8, #0xfffffff0079aa000
0xfffffff008598054: 080941f9  ldr	x8, [x8, #0x210]
0xfffffff008598058: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff00859805c: 010080d2  mov	x1, #0
0xfffffff008598060: f10308aa  mov	x17, x8
0xfffffff008598064: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff008598068: 31093fd7  blraa	x9, x17
0xfffffff00859806c: 80030034  cbz	w0, #0xfffffff0085980dc
0xfffffff008598070: 00038052  mov	w0, #0x18
0xfffffff008598074: 25030094  bl	#0xfffffff008598d08
0xfffffff008598078: f40300aa  mov	x20, x0
0xfffffff00859807c: 28030094  bl	#0xfffffff008598d1c
0xfffffff008598080: c00200b4  cbz	x0, #0xfffffff0085980d8
0xfffffff008598084: a05aff90  adrp	x0, #0xfffffff0070ec000
0xfffffff008598088: 00a03491  add	x0, x0, #0xd28
0xfffffff00859808c: a15affb0  adrp	x1, #0xfffffff0070ed000
0xfffffff008598090: 21c80c91  add	x1, x1, #0x332
0xfffffff008598094: 236cf697  bl	#0xfffffff008333120
0xfffffff008598098: 800a00f9  str	x0, [x20, #0x10]
0xfffffff00859809c: 600000b4  cbz	x0, #0xfffffff0085980a8
0xfffffff0085980a0: 20008052  mov	w0, #1
0xfffffff0085980a4: 0d000014  b	#0xfffffff0085980d8
0xfffffff0085980a8: 900240f9  ldr	x16, [x20]
0xfffffff0085980ac: f10314aa  mov	x17, x20
0xfffffff0085980b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085980b4: 301ac1da  autda	x16, x17
0xfffffff0085980b8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0085980bc: e90310aa  mov	x9, x16
0xfffffff0085980c0: e00314aa  mov	x0, x20
0xfffffff0085980c4: f10309aa  mov	x17, x9
0xfffffff0085980c8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0085980cc: 11093fd7  blraa	x8, x17
0xfffffff0085980d0: 140080d2  mov	x20, #0
0xfffffff0085980d4: 00008052  mov	w0, #0
0xfffffff0085980d8: 746600f9  str	x20, [x19, #0xc8]
0xfffffff0085980dc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085980e0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085980e4: ff0f5fd6  retab	
0xfffffff0085980e8: 7f2303d5  pacibsp	
0xfffffff0085980ec: ff4301d1  sub	sp, sp, #0x50
0xfffffff0085980f0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0085980f4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0085980f8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0085980fc: fd030191  add	x29, sp, #0x40
0xfffffff008598100: f40301aa  mov	x20, x1
