; Candidate 1602
; ADRP+ADD at VM 0xfffffff0084ba860 (fileoff 0x14b6860): page=0x1feb99000 add_imm=0xd0e

0xfffffff0084ba7e0: e00314aa  mov	x0, x20
0xfffffff0084ba7e4: 01008852  mov	w1, #0x4000
0xfffffff0084ba7e8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0084ba7ec: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0084ba7f0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0084ba7f4: ff830191  add	sp, sp, #0x60
0xfffffff0084ba7f8: ff2303d5  autibsp	
0xfffffff0084ba7fc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0084ba800: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0084ba808
0xfffffff0084ba804: 208e38d4  brk	#0xc471
0xfffffff0084ba808: ce48e217  b	#0xfffffff007d4cb40
0xfffffff0084ba80c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0084ba810: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0084ba814: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0084ba818: ff830191  add	sp, sp, #0x60
0xfffffff0084ba81c: ff0f5fd6  retab	
0xfffffff0084ba820: 48c98752  mov	w8, #0x3e4a
0xfffffff0084ba824: a95cffd0  adrp	x9, #0xfffffff007050000
0xfffffff0084ba828: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084ba82c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084ba830: e04f00a9  stp	x0, x19, [sp]
0xfffffff0084ba834: c05cffb0  adrp	x0, #0xfffffff007053000
0xfffffff0084ba838: 00643391  add	x0, x0, #0xcd9
0xfffffff0084ba83c: 3467ff97  bl	#0xfffffff00849450c
0xfffffff0084ba840: 0aca8752  mov	w10, #0x3e50
0xfffffff0084ba844: a85cffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084ba848: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084ba84c: c95cffb0  adrp	x9, #0xfffffff007053000
0xfffffff0084ba850: 29213591  add	x9, x9, #0xd48
0xfffffff0084ba854: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084ba858: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff0084ba85c: e90300f9  str	x9, [sp]
0xfffffff0084ba860: c05cffb0  adrp	x0, #0xfffffff007053000
0xfffffff0084ba864: 00383491  add	x0, x0, #0xd0e
0xfffffff0084ba868: 2967ff97  bl	#0xfffffff00849450c
0xfffffff0084ba86c: 7f2303d5  pacibsp	
0xfffffff0084ba870: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff0084ba874: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0084ba878: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0084ba87c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0084ba880: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0084ba884: fd030191  add	x29, sp, #0x40
0xfffffff0084ba888: f30305aa  mov	x19, x5
0xfffffff0084ba88c: f40304aa  mov	x20, x4
0xfffffff0084ba890: f50303aa  mov	x21, x3
0xfffffff0084ba894: f60302aa  mov	x22, x2
0xfffffff0084ba898: f70301aa  mov	x23, x1
0xfffffff0084ba89c: f90300aa  mov	x25, x0
0xfffffff0084ba8a0: e00305aa  mov	x0, x5
0xfffffff0084ba8a4: 01008852  mov	w1, #0x4000
0xfffffff0084ba8a8: 22008052  mov	w2, #1
0xfffffff0084ba8ac: b4070094  bl	#0xfffffff0084bc77c
0xfffffff0084ba8b0: f80300aa  mov	x24, x0
0xfffffff0084ba8b4: a0010035  cbnz	w0, #0xfffffff0084ba8e8
0xfffffff0084ba8b8: 650240f9  ldr	x5, [x19]
0xfffffff0084ba8bc: e00319aa  mov	x0, x25
0xfffffff0084ba8c0: e10317aa  mov	x1, x23
0xfffffff0084ba8c4: e20316aa  mov	x2, x22
0xfffffff0084ba8c8: e30315aa  mov	x3, x21
0xfffffff0084ba8cc: e40314aa  mov	x4, x20
0xfffffff0084ba8d0: 26009052  mov	w6, #0x8001
0xfffffff0084ba8d4: bad1ff97  bl	#0xfffffff0084aefbc
0xfffffff0084ba8d8: f80300aa  mov	x24, x0
0xfffffff0084ba8dc: 60000034  cbz	w0, #0xfffffff0084ba8e8
