; Candidate 7985
; ADRP+ADD at VM 0xfffffff00888c394 (fileoff 0x1888394): page=0x1fe95d000 add_imm=0xe80

0xfffffff00888c314: b70000b4  cbz	x23, #0xfffffff00888c328
0xfffffff00888c318: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c31c: 01008052  mov	w1, #0
0xfffffff00888c320: efd54894  bl	#0xfffffff009ac1adc
0xfffffff00888c324: e00200b9  str	w0, [x23]
0xfffffff00888c328: 150900b4  cbz	x21, #0xfffffff00888c448
0xfffffff00888c32c: df0a0071  cmp	w22, #2
0xfffffff00888c330: 8b080054  b.lt	#0xfffffff00888c440
0xfffffff00888c334: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c338: 21008052  mov	w1, #1
0xfffffff00888c33c: e8d54894  bl	#0xfffffff009ac1adc
0xfffffff00888c340: 41000014  b	#0xfffffff00888c444
0xfffffff00888c344: 9a9f0094  bl	#0xfffffff0088b41ac
0xfffffff00888c348: f40300aa  mov	x20, x0
0xfffffff00888c34c: 80008052  mov	w0, #4
0xfffffff00888c350: 40bdff97  bl	#0xfffffff00887b850
0xfffffff00888c354: ff7f04a9  stp	xzr, xzr, [sp, #0x40]
0xfffffff00888c358: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff00888c35c: 084dffd0  adrp	x8, #0xfffffff00722e000
0xfffffff00888c360: 08a93c91  add	x8, x8, #0xf2a
0xfffffff00888c364: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888c368: 08ae8052  mov	w8, #0x570
0xfffffff00888c36c: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c370: 297d3c91  add	x9, x9, #0xf1f
0xfffffff00888c374: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888c378: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c37c: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c380: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888c384: 88098052  mov	w8, #0x4c
0xfffffff00888c388: 834effb0  adrp	x3, #0xfffffff00725d000
0xfffffff00888c38c: 63cc3b91  add	x3, x3, #0xef3
0xfffffff00888c390: f42300a9  stp	x20, x8, [sp]
0xfffffff00888c394: e04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888c398: 00003a91  add	x0, x0, #0xe80
0xfffffff00888c39c: e18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00888c3a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888c3a4: 02008052  mov	w2, #0
0xfffffff00888c3a8: 629bea97  bl	#0xfffffff008333130
0xfffffff00888c3ac: 007d8012  mov	w0, #-0x3e9
0xfffffff00888c3b0: 1e000014  b	#0xfffffff00888c428
0xfffffff00888c3b4: 207d8012  mov	w0, #-0x3ea
0xfffffff00888c3b8: 1c000014  b	#0xfffffff00888c428
0xfffffff00888c3bc: 7c9f0094  bl	#0xfffffff0088b41ac
0xfffffff00888c3c0: f40300aa  mov	x20, x0
0xfffffff00888c3c4: 80008052  mov	w0, #4
0xfffffff00888c3c8: 22bdff97  bl	#0xfffffff00887b850
0xfffffff00888c3cc: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888c3d0: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00888c3d4: 084dffd0  adrp	x8, #0xfffffff00722e000
0xfffffff00888c3d8: 0a412691  add	x10, x8, #0x990
0xfffffff00888c3dc: 88ae8052  mov	w8, #0x574
0xfffffff00888c3e0: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c3e4: 297d3c91  add	x9, x9, #0xf1f
0xfffffff00888c3e8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888c3ec: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c3f0: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c3f4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888c3f8: 88098052  mov	w8, #0x4c
0xfffffff00888c3fc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888c400: f40300f9  str	x20, [sp]
0xfffffff00888c404: e04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888c408: 00003a91  add	x0, x0, #0xe80
0xfffffff00888c40c: e18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00888c410: 212c42f9  ldr	x1, [x1, #0x458]
