; Candidate 5449
; ADRP+ADD at VM 0xfffffff0087f1574 (fileoff 0x17ed574): page=0x1fe9f8000 add_imm=0xe80

0xfffffff0087f14f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f14f8: fa0300f9  str	x26, [sp]
0xfffffff0087f14fc: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1500: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f1504: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f1508: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f150c: 02008052  mov	w2, #0
0xfffffff0087f1510: 0807ed97  bl	#0xfffffff008333130
0xfffffff0087f1514: 1a7d8012  mov	w26, #-0x3e9
0xfffffff0087f1518: 1e000014  b	#0xfffffff0087f1590
0xfffffff0087f151c: 240b0394  bl	#0xfffffff0088b41ac
0xfffffff0087f1520: fa0300aa  mov	x26, x0
0xfffffff0087f1524: e0008052  mov	w0, #7
0xfffffff0087f1528: ca280294  bl	#0xfffffff00887b850
0xfffffff0087f152c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f1530: 895b40b9  ldr	w9, [x28, #0x58]
0xfffffff0087f1534: ea1a40b9  ldr	w10, [x23, #0x18]
0xfffffff0087f1538: eb2240b9  ldr	w11, [x23, #0x20]
0xfffffff0087f153c: ea2f06a9  stp	x10, x11, [sp, #0x60]
0xfffffff0087f1540: ea0318aa  mov	x10, x24
0xfffffff0087f1544: ea6705a9  stp	x10, x25, [sp, #0x50]
0xfffffff0087f1548: e95f04a9  stp	x9, x23, [sp, #0x40]
0xfffffff0087f154c: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff0087f1550: c8808052  mov	w8, #0x406
0xfffffff0087f1554: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087f1558: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f155c: 08990d91  add	x8, x8, #0x366
0xfffffff0087f1560: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f1564: 080f8052  mov	w8, #0x78
0xfffffff0087f1568: 6352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f156c: 63243291  add	x3, x3, #0xc89
0xfffffff0087f1570: fa2300a9  stp	x26, x8, [sp]
0xfffffff0087f1574: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1578: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f157c: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f1580: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f1584: 02008052  mov	w2, #0
0xfffffff0087f1588: ea06ed97  bl	#0xfffffff008333130
0xfffffff0087f158c: 1a008052  mov	w26, #0
0xfffffff0087f1590: 000f8052  mov	w0, #0x78
0xfffffff0087f1594: 01018052  mov	w1, #8
0xfffffff0087f1598: 8e280294  bl	#0xfffffff00887b7d0
0xfffffff0087f159c: 80050034  cbz	w0, #0xfffffff0087f164c
0xfffffff0087f15a0: 000f8052  mov	w0, #0x78
0xfffffff0087f15a4: 9d280294  bl	#0xfffffff00887b818
0xfffffff0087f15a8: fc0300aa  mov	x28, x0
0xfffffff0087f15ac: 000b0394  bl	#0xfffffff0088b41ac
0xfffffff0087f15b0: fb0300aa  mov	x27, x0
0xfffffff0087f15b4: 00018052  mov	w0, #8
0xfffffff0087f15b8: a6280294  bl	#0xfffffff00887b850
0xfffffff0087f15bc: dc010034  cbz	w28, #0xfffffff0087f15f4
0xfffffff0087f15c0: f96b05a9  stp	x25, x26, [sp, #0x50]
0xfffffff0087f15c4: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0087f15c8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087f15cc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f15d0: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f15d4: 08990d91  add	x8, x8, #0x366
0xfffffff0087f15d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f15dc: 080f8052  mov	w8, #0x78
0xfffffff0087f15e0: 2051ff90  adrp	x0, #0xfffffff007215000
0xfffffff0087f15e4: 00c40c91  add	x0, x0, #0x331
0xfffffff0087f15e8: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087f15ec: 9d17d797  bl	#0xfffffff007db7460
0xfffffff0087f15f0: 17000014  b	#0xfffffff0087f164c
